user,p1_position,p1_time,p2_position,p2_time
Ian DeHaan,1,231,,
Antonio Molina ,2,255,53,722
Oskar Haarklou Veileborg,3,266,11,482
Anish Singhani,4,295,1,366
Xavier Rene Plourde,5,296,37,653
Thomas Feld,6,306,72,770
mangoqwq,7,306,2,371
xiaowuc1,8,312,,
boboquack,9,314,3,399
@AlexSkidanov,10,320,6,455
Lewin Gan,11,320,,
TimHuisman1703,12,338,16,522
Kye W. Shi,13,339,13,504
glguy,14,343,24,596
Eldar Bogdanov,15,345,56,735
Clancy Woodburn,16,347,8,474
nthistle,17,350,5,425
nim-ka,18,354,10,478
Egor Kulikov ,19,355,7,470
jonathanpaulson,20,358,4,413
Jan Verbeek,21,362,34,642
Filip Hlasek,22,368,,
jebouin,23,370,,
Kuma-TachiRen,24,371,9,478
anonymous user #1350909,25,378,,
Zack Chroman,26,393,29,621
leijurv,27,394,18,554
Jimmy Mårdell,28,399,71,769
AmoleR,29,405,,
Magnus Hokland Hegdahl,30,405,,
scanhex,31,407,40,679
SeptaCube,32,409,,
Alexey Shmelev,33,411,,
Vince7778,34,411,,
Ross Dempsey,35,412,59,743
Samuel Chen,36,413,,
WutPu,37,413,17,551
int-e,38,413,61,751
hyper-neutrino,39,415,15,515
tckmn,40,416,,
Etienne Vouga,41,419,14,512
Brett Math,42,423,,
Nicholas Foo,43,425,,
Ethan C,44,427,,
val tron,45,427,,
Ryan Croucher,46,429,25,597
rhendric,47,431,23,596
Nicky Skybytskyi,48,434,12,497
Nico-Posada,49,436,,
willwam,50,439,,
Bing-Dong Liu,51,443,,
Patrick Hogg,52,444,64,756
Kroppeb,53,451,81,791
Mathis Hammel ,54,455,,
Ahmed Siadomar,55,462,26,600
nwtnni,56,463,,
yuizumi,57,463,,
Herman,58,464,,
DayDun,59,465,,
Ryan O’Hara,60,465,,
TLSM,61,466,,
the-chenergy,62,466,,
Gabriel Wu,63,466,,
Joseph Durie,64,468,19,577
Alex Weil ,65,469,,
ttalvitie,66,472,22,586
Tanner Hoke,67,477,,
Anthony Li,68,479,,
CPlusMinus2000,69,480,,
Adavya Goyal,70,482,,
Manish Kundu,71,483,32,638
Alexander Haupt,72,486,21,586
Joel Jonsson,73,487,,
mayoff,74,489,,
Liresol,75,489,36,651
Max Nilsson,76,496,20,584
anonymous user #2698856,77,496,,
M1ngXU,78,497,,
Erik Amirell Eklöf,79,498,31,636
coolcomputery,80,499,,
jorendorff,81,500,,
nick-hiebl,82,500,98,822
Lovemathboy H,83,506,55,734
Carl Schildkraut,84,507,,
Marcus Oscarsson,85,514,,
Ivan Kazmenko,86,517,,
Andrew X. ,87,520,,
Kami Leon,88,522,,
Davis Yoshida ,89,522,,
Yoshiap,90,524,54,732
SeanRBurton,91,524,,
RodrigoLlanes,92,526,,
Paul Zagieboylo ,93,527,,
qerhgqe67fwq8fqw867f,94,527,,
Mark Sturtevant,95,528,43,689
Nathan Wang,96,530,28,619
Zeyu Chen,97,531,38,665
Zack Lee,98,535,,
Dmitry Ivanov,99,537,74,773
zachs18,100,538,,
Yiming Li,,,27,617
Evgeniy Krasko ,,,30,635
Lief,,,33,638
SoodonymAlias,,,35,645
benmor20,,,39,667
dan-simon,,,41,680
Jessica Yuan,,,42,684
anonymous user #387166,,,44,692
Oliver Ni,,,45,698
etotheipi1,,,46,705
NovaSagittarii,,,47,706
quentinmit,,,48,711
tenth,,,49,711
James Leung,,,50,711
Also looking 4 an internship! ,,,51,713
Sneed's Feeduck and Seeduck,,,52,714
Jimmy Ding,,,57,736
Amel Avdic,,,58,740
bluepichu,,,60,743
Tobias Sargeant,,,62,754
Mile Druzijanic,,,63,754
Alena Yadvichuk,,,65,758
Sead Durakovic,,,66,759
artheadsweden,,,67,759
Dan Schafer,,,68,760
sandbergjakob,,,69,761
Venkat Rao,,,70,763
bradleysigma,,,73,773
Dylan Smith,,,75,775
Pervushin brothers,,,76,777
fmoeran,,,77,781
Kevin Gasperich,,,78,782
Vishnu Remesh,,,79,785
btrotta,,,80,786
ConsiderPhlebas,,,82,792
zhangjunyan2580,,,83,792
ezraft,,,84,793
bcc32,,,85,795
ColeTrammer,,,86,797
James Sorenson,,,87,797
tom-fibo,,,88,797
PhoenixReaper,,,89,798
Kostero,,,90,799
Dominika Javorová,,,91,800
Riley,,,92,806
Golovanov399,,,93,807
Saketh Reddy,,,94,814
n1punp,,,95,814
wisewizardofthestars,,,96,819
RWayne93,,,97,821
Satya Anshu,,,99,826
Iliya Yanev,,,100,826
