user,p1_position,p1_time,p2_position,p2_time
anonymous user #1067586,1,37,5,179
Corentin THOMASSET,2,54,1,94
Carl Oscar Aaro,3,66,76,355
tung491,4,66,2,97
zach1502,5,79,6,182
bunceandbean,6,86,72,351
anonymous user #60233,7,96,22,273
@Dusknt,8,111,9,212
Shawn Hagler,9,111,7,189
Ian DeHaan,10,119,8,194
RobertDWhite,11,119,,
Anango Prabhat,12,120,,
Austin,13,121,60,338
xiaowuc1,14,125,3,172
anonymous user #3487639,15,131,48,326
João Salavisa,16,136,88,368
Anish Singhani,17,140,12,227
5space,18,142,4,178
eniraa,19,144,11,225
sopyb,20,152,17,252
Noble Mushtak,21,160,16,250
anonymous user #1556836,22,161,23,277
swhitt,23,162,,
Neal Wu,24,163,13,232
jonathanpaulson,25,164,18,254
hyper-neutrino,26,166,15,245
boboquack,27,168,10,219
Anthony Li,28,168,58,335
leijurv,29,168,19,260
bcc32,30,182,70,348
PoustouFlan,31,188,27,285
Hannah Rose,32,189,67,346
Maxim Volkov,33,189,,
Oliver Ni,34,189,14,242
ruuddotorg,35,190,,
petertseng,36,191,79,357
Natanaelel,37,195,,
Kevin Yap,38,196,26,285
lonerz,39,197,,
Level 51,40,199,31,293
Paul Martinez ,41,202,61,341
Jasper van Merle,42,202,29,290
Xavier Cooney,43,203,94,372
Ben,44,204,,
PDDG Glaser,45,205,39,309
Antonio Molina ,46,208,25,284
Cameron Wu ,47,208,83,365
anonymous user #2724128,48,209,32,296
S. Teikn Smith,49,209,,
Mathis Hammel ,50,210,36,305
Oleksandr Nikitin,51,211,20,266
tckmn,52,212,65,345
Carl Schildkraut,53,213,21,271
anonymous user #637942,54,214,35,304
shakespeare1564 ,55,214,37,306
James Sorenson,56,216,53,330
Badtz,57,218,,
LK,58,218,,
Tanner Hoke,59,218,34,304
vstrimaitis,60,221,,
the-chenergy,61,221,28,286
Jan Verbeek,62,222,24,277
Geoffrey Kleinberg,63,222,68,347
zacharybarbanell,64,222,30,293
mdlu,65,227,,
Ryan Hitchman,66,228,51,329
JackMacWindows,67,229,43,322
Robert Xiao,68,229,89,368
Olle Lapidus,69,229,40,312
sampersand,70,230,,
Mercerenies,71,230,45,323
kaveripriyap,72,230,,
Angelica Naguio,73,230,99,375
Talchas,74,231,92,370
Davis Yoshida ,75,231,66,346
gabekanegae,76,232,69,348
Koen Oostveen,77,232,50,327
qpwoeirut,78,233,74,351
Gorane7,79,233,54,331
Jieruei Chang,80,234,42,318
drysle,81,237,,
Erik Amirell Eklöf,82,237,47,324
Jimmy Ding,83,238,77,356
Ross Dempsey,84,238,33,303
Daniel Cepeda,85,239,,
LegionMammal978,86,240,41,313
grhkm21,87,242,71,349
tbodt,88,242,95,373
Tyler Lemburg,89,243,91,370
Ryan Eaton,90,244,,
periodically-makes-puns,91,244,,
Kevin Sheng,92,244,97,374
denilblecodeur,93,245,,
trigtbh,94,247,,
Thomas Neill,95,247,62,342
Михаил Минков ,96,247,,
Lucas M.,97,247,44,322
Nikhil Menon,98,247,,
carro,99,248,,
Adavya Goyal,100,250,59,337
rak1507,,,38,307
Zack Chroman,,,46,323
5joshi,,,49,326
William Y. Feng,,,52,330
tluo5458,,,55,333
Brian Liu,,,56,335
miriam-rittenberg,,,57,335
Cameron Aavik,,,63,343
david-why,,,64,343
horo,,,73,351
Gabriel Wu,,,75,353
tenth,,,78,356
connorjayr,,,80,362
Ben Zydney,,,81,362
anonymous user #1565212,,,82,363
Sreeram Ramachandran,,,84,365
icemoon97,,,85,366
MikeXander,,,86,366
mrkeldon,,,87,366
Lewin Gan,,,90,370
anonymous user #1759814,,,93,372
scanhex,,,96,373
ouwou,,,98,374
Cameron Montag ,,,100,375
