user,p1_position,p1_time,p2_position,p2_time
anonymous user #1067586,1,122,,
secemp9,2,135,,
xiaowuc1,3,191,71,1235
Cody Carlsen ,4,195,,
glguy,5,205,,
hyper-neutrino,6,205,38,1050
Роман Курмаев,7,216,,
yusent,8,224,,
Eero Väkiparta,9,228,,
eagely,10,238,,
Andrew Macheret,11,239,,
Anish Singhani,12,243,,
Robert Xiao,13,253,,
Lewin Gan,14,255,,
Chi Feng,15,256,,
nthistle,16,278,53,1154
ZED.Charley William Thairo,17,283,,
Nathan Fenner,18,301,1,358
msullivan,19,301,,
Tanner Hoke,20,305,63,1203
jonathanpaulson,21,306,13,783
Justin Yokota,22,310,92,1336
Tristan Sharma,23,321,,
Antonio Molina ,24,322,52,1148
connorjayr,25,324,,
Sean Yawning,26,334,69,1230
Oliver Ni,27,336,,
Joseph Durie,28,338,,
Daniel Gu,29,343,,
Ryan O’Hara,30,346,28,974
rak1507,31,350,,
Mathis Hammel ,32,350,,
Nikitosh,33,354,,
mrkeldon,34,356,,
Xavier Rene Plourde,35,360,57,1174
scanhex,36,362,,
alexirpan,37,367,,
ruuddotorg,38,367,,
Patrick Gu,39,372,,
Carl Schildkraut,40,373,,
tckmn,41,377,47,1119
pt1243,42,380,,
vstrimaitis,43,381,,
Thomas,44,382,93,1338
rhendric,45,383,,
ulrikdem,46,385,82,1306
Defelo,47,388,,
5space,48,395,61,1201
D. Salgado,49,407,2,485
Thomas Feld,50,411,,
Ethan C,51,412,,
icicl,52,415,,
Looking for blog readers!,53,417,,
Verulean,54,419,,
Nick Liu,55,423,,
Radoslav Kirov,56,423,,
Gorane7,57,423,,
dkalak,58,423,,
anonymous user #3415866,59,425,,
Michael Fogleman,60,427,,
Shawn Hagler,61,431,,
CY Wong,62,436,,
coolcomputery,63,436,,
lutyj,64,439,95,1358
HiggstonRainbird,65,442,,
Strikeeaglechase,66,444,,
grhkm21,67,444,,
Aaron ,68,445,,
LegionMammal978,69,448,,
drysle,70,448,,
Timothy Mou,71,448,,
Balint R,72,449,66,1211
Daniel Breiner,73,449,,
Shashank Bhatt,74,450,,
F2 ,75,451,,
ast-ral,76,453,,
Daniel Yang,77,454,,
Kostero,78,456,70,1230
Pedro Osório,79,457,,
anonymous user #3623430,80,459,,
Alex Liang,81,460,,
Abraham Guo,82,460,,
Parker Williams,83,461,,
Anango Prabhat,84,461,,
Md Abedin,85,463,,
SizableShrimp,86,466,,
Magnus Hokland Hegdahl,87,468,60,1201
zhangjunyan2580,88,469,,
Kevin Yap,89,469,,
Arthur Rudolph,90,473,,
solstice23,91,475,,
quentinmit,92,476,,
Daniel Anker Hermansen,93,477,,
the-chenergy,94,477,3,573
Egor Kulikov ,95,481,7,667
Proximity Trigger,96,481,,
PCSwingle,97,487,,
denilblecodeur,98,490,,
pvillano,99,491,,
Elmer Le,100,492,,
@AlexSkidanov,,,4,590
anonymous user #1510407,,,5,643
Erik Amirell Eklöf,,,6,649
Maks Verver,,,8,668
boboquack,,,9,676
Timothy Elling ,,,10,715
Noble Mushtak,,,11,723
Adavya Goyal,,,12,764
Vladislav Isenbaev,,,14,810
Shik Chen,,,15,814
ttalvitie,,,16,830
aropan ,,,17,865
Muhammad Rais Fathin Mudzakir,,,18,893
Oskar Haarklou Veileborg,,,19,893
Kroppeb,,,20,901
Joshua Wise,,,21,904
Liresol,,,22,906
Noureldin,,,23,912
leijurv,,,24,915
Paul Wild,,,25,938
teekaytai,,,26,959
Vitalii Nevidomyi,,,27,961
Thrythe,,,29,975
Vince7778,,,30,979
ObamaLover1281231312,,,31,991
bluepichu,,,32,993
thuustalu,,,33,999
Golovanov399,,,34,1006
qwewqa,,,35,1023
Yusuf Elsharawy,,,36,1034
Ivan Kazmenko,,,37,1042
vash3r,,,39,1052
Ahmed Siadomar,,,40,1057
hakiobo,,,41,1058
Mattéo Delabre,,,42,1067
nife,,,43,1070
Yik Chun Wong,,,44,1082
Larry,,,45,1083
dan-simon,,,46,1100
mdlu,,,48,1142
UnrelatedString,,,49,1144
Brian Liu,,,50,1144
andrewhuang56,,,51,1148
Zack Lee,,,54,1155
Gabriel Wu,,,55,1159
Filip Hlasek,,,56,1162
Nicky Skybytskyi,,,58,1184
Qiqi Impact,,,59,1194
int-e,,,62,1202
Lovemathboy H,,,64,1206
Sohom Sahaun,,,65,1210
Max Nilsson,,,67,1220
Xiongqi ZHANG ,,,68,1227
tbodt,,,72,1240
anonymous user #1917058,,,73,1253
Lief,,,74,1269
Sans Cipher,,,75,1269
hltk,,,76,1276
mayoff,,,77,1276
phenomist,,,78,1279
most90,,,79,1293
Herman,,,80,1301
SeanRBurton,,,81,1302
Jimmy Mårdell,,,83,1307
aidangottlieb ,,,84,1318
joefarebrother,,,85,1318
paladin8,,,86,1319
Tim Black,,,87,1322
mangoqwq,,,88,1323
N_z_,,,89,1324
Sławek Biel ,,,90,1327
Yuliy Pisetsky,,,91,1331
Sagartoke510,,,94,1341
anonymous user #3813216,,,96,1361
PoustouFlan,,,97,1363
anonymous user #637942,,,98,1368
Tomas Rokicki,,,99,1374
TINA WANG - STUDENT,,,100,1377
