user,p1_position,p1_time,p2_position,p2_time
Mihhail Novik,1,76,,
Cody Carlsen ,2,81,2,117
Oliver Ni,3,88,1,108
tenth,4,104,6,174
5space,5,108,69,297
Louis Grennell,6,111,3,153
Shawn Hagler,7,113,,
Anish Singhani,8,118,17,214
tckmn,9,120,19,217
Zack Lee,10,128,4,159
jonathanpaulson,11,129,11,187
Ross Dempsey,12,131,7,183
Also looking 4 an internship! ,13,131,,
phenomist,14,135,14,204
Mercerenies,15,136,10,186
Joseph Malagon,16,142,38,251
Oleksandr Nikitin,17,143,20,221
Ian DeHaan,18,144,56,273
int-e,19,145,8,185
David K. Zhang,20,145,5,164
nim-ka,21,146,21,221
mserrano,22,153,43,258
Noble Mushtak,23,154,9,185
Brian Liu,24,157,12,189
Frunze Dzvakeryan ,25,164,,
anonymous user #3623430,26,166,,
glaukias,27,167,,
boboquack,28,167,13,198
Lau Xin Wei,29,168,,
tirefire,30,170,,
zacharybarbanell,31,172,73,303
periodically-makes-puns,32,172,15,205
Antonio Molina ,33,174,,
Samuel Chen,34,176,23,222
nthistle,35,177,,
bcc32,36,179,57,279
Avi Swartz,37,179,35,248
mrphlip,38,180,58,282
hyper-neutrino,39,182,16,209
david-why,40,182,24,228
vstrimaitis,41,185,60,284
xiaowuc1,42,186,32,245
Clancy Woodburn,43,187,,
mlucy,44,187,27,233
Magnus Hokland Hegdahl,45,187,25,231
anonymous user #146689,46,189,,
mdlu,47,189,22,221
rhendric,48,190,54,272
evanphoward,49,190,,
Craig Gidney,50,193,18,215
bluepichu,51,194,37,249
Davis Yoshida ,52,195,,
Yoshiap,53,200,30,236
Alexander Haupt,54,201,,
grhkm21,55,201,48,266
mangoqwq,56,202,36,248
jebouin,57,202,26,232
sun-bachung,58,202,,
Radoslav Kirov,59,203,,
the-chenergy,60,203,45,260
Allen Huang,61,203,29,235
TINA WANG - STUDENT,62,206,28,234
Bradley Louie,63,207,46,262
Omkar Bhalerao,64,207,49,267
joefarebrother,65,208,85,319
David Sharick,66,209,47,262
Dan Schafer,67,210,40,253
penteract,68,211,34,245
Sumudu Fernando ,69,211,65,287
Kevin Sheng,70,213,39,253
Sean Yawning,71,213,31,241
Tristan Sharma,72,214,70,297
Khanh Hiep Tran,73,214,,
Zeyu Chen,74,215,99,335
meexwaal,75,216,41,254
Zach Hacking,76,217,,
Adavya Goyal,77,219,33,245
anonymous user #393546,78,220,,
ephemient,79,221,,
LyricLy,80,221,42,255
dan-simon,81,221,61,285
Derek Dong,82,221,62,286
Thomas Feld,83,222,,
S. Teikn Smith,84,222,53,272
William Y. Feng,85,223,44,260
etotheipi1,86,223,77,310
Olle Lapidus,87,223,50,269
coolcomputery,88,223,79,314
Tommy Vadakumchery,89,224,68,297
Maarten Sijm,90,225,,
qpwoeirut,91,227,67,296
Carl Schildkraut,92,229,51,269
Jiacheng (Alan) Liang,93,230,,
Lukáš Folwarczný,94,230,,
Jan Verbeek,95,233,,
qwewqa,96,235,,
Yiming Li,97,236,63,286
Brett Math,98,239,87,320
Maks Verver,99,240,71,298
Dan Roche,100,242,,
Epiphane,,,52,271
D. Salgado,,,55,273
Justin Yokota,,,59,283
anonymous user #637942,,,64,287
teekaytai,,,66,295
eeuropium,,,72,299
Golovanov399,,,74,303
Oskar Haarklou Veileborg,,,75,304
Gabriel Wu,,,76,309
elu00,,,78,313
Jason Feng,,,80,314
anonymous user #44119,,,81,318
Tobias Sargeant,,,82,318
ulrikdem,,,83,318
Ryan O’Hara,,,84,319
isnbh0,,,86,320
Joshua Wise,,,88,320
Nikhil Vijai,,,89,322
Redstone_Flash,,,90,326
drdilyor,,,91,326
gemdude46,,,92,327
Kevin Wang,,,93,327
ndimov,,,94,328
Joe L.,,,95,330
Saji Kamdod ,,,96,332
Thomas,,,97,333
Patrick Hogg,,,98,335
SimpleArt,,,100,336
