user,p1_position,p1_time,p2_position,p2_time
secemp9,1,191,,
xiaowuc1,2,219,1,309
bluepichu,3,237,19,495
Nikitosh,4,244,16,484
Ian DeHaan,5,249,5,431
hyper-neutrino,6,252,2,391
mwk48,7,254,10,464
Springo,8,256,79,664
Oskar Haarklou Veileborg,9,262,61,620
anonymous user #1565212,10,268,12,471
Adrian Smith,11,277,,
nthistle,12,278,24,528
anonymous user #1759814,13,291,9,451
D. Salgado,14,296,18,494
PoustouFlan,15,298,,
Oliver Ni,16,298,15,475
Robert Xiao,17,301,7,447
Yik Chun Wong,18,308,83,667
milesman34,19,310,77,659
Zeyu Chen,20,310,8,449
HertzDevil,21,313,76,651
anonymous user #1510407,22,314,17,489
Alexey Shmelev,23,318,67,636
Manish Kundu,24,319,,
Joseph Durie,25,319,3,407
Jasper van Merle,26,321,11,465
boboquack,27,321,49,583
alexxyu,28,322,,
ruuddotorg,29,323,4,422
Egor Kulikov ,30,327,30,542
S. Teikn Smith,31,331,25,532
seligman99,32,331,,
ZED.Charley William Thairo,33,332,36,556
Xavier Cooney,34,335,70,642
Enterprize1,35,336,,
BelgianSalamander,36,336,,
Carl Schildkraut,37,338,28,534
Yiming Li,38,340,20,505
Alex Liang,39,341,44,572
leonard-weininger,40,344,55,600
@AlexSkidanov,41,344,22,517
Kuma-TachiRen,42,345,85,668
sguest,43,346,,
Defelo,44,346,29,537
Jan Verbeek,45,351,,
jebouin,46,351,,
Md Abedin,47,352,88,673
bruteforceboy,48,352,,
Timothy Mou,49,353,26,533
Balint R,50,354,64,628
Kevin Sheng,51,356,13,472
Rustam Musin,52,357,,
Erik Amirell Eklöf,53,357,41,567
coolcomputery,54,363,63,622
dan-simon,55,365,23,527
yuizumi,56,367,,
Ryan Hitchman,57,367,6,439
Muhammad Rais Fathin Mudzakir,58,367,69,642
Martin Camacho,59,368,21,511
mangoqwq,60,369,,
Robert Pham,61,369,,
Sreeram Ramachandran,62,370,47,577
Maks Verver,63,374,57,608
nkitsaini,64,374,,
qpwoeirut,65,375,,
Nick Liu,66,378,52,591
Craig Gidney,67,378,65,629
Etienne Vouga,68,378,71,643
Proximity Trigger,69,380,38,559
Kostero,70,381,,
Gabriel Wu,71,382,39,566
Kami Leon,72,382,80,665
masecla22,73,384,14,473
mayoff,74,384,,
Thomas Feld,75,385,75,648
RootCubed,76,386,,
DayDun,77,388,,
noblematt,78,390,46,575
Pedro Osório,79,393,84,668
Andrew X. ,80,396,34,552
andriigrynenko,81,397,45,574
Liresol,82,397,43,572
bcc32,83,399,,
Kroppeb,84,399,,
Chi Feng,85,401,,
willwam,86,401,60,620
Jerry Xu,87,401,,
Paul McMullin,88,403,,
NBonaparte,89,410,,
radoslav11,90,416,,
Vince7778,91,416,51,589
Dragon-Hatcher,92,416,,
Emil Kaczyński ,93,416,,
grhkm21,94,421,68,639
Vitalii Nevidomyi,95,421,58,614
Edward Lue,96,424,,
Sam Le,97,426,,
Verulean,98,426,59,618
Jeff Zhang,99,428,90,677
Antonio Molina ,100,429,33,552
Andrew Von Stieglitz,,,27,533
Craig Silverstein,,,31,542
Ryan O’Hara,,,32,549
skanev,,,35,552
Dylan Smith,,,37,557
5space,,,40,567
John Kesler,,,42,569
Jacob Wood,,,48,578
Nathan Fenner,,,50,587
Liwei Cai,,,53,594
sampersand,,,54,595
hltk,,,56,608
Thomas,,,62,621
anonymous user #387166,,,66,629
RandomLB,,,72,643
Lucas M.,,,73,644
bradleysigma,,,74,646
Lawrence Kesteloot,,,78,661
MeepMoop,,,81,666
Sobhan Mohammadpour,,,82,667
Ivan Kazmenko,,,86,669
anonymous user #1132516,,,87,670
mrphlip,,,89,674
gabekanegae,,,91,677
Elijah-Huang,,,92,678
LegionMammal978,,,93,679
RundownRhino,,,94,685
nick-hiebl,,,95,690
orfest,,,96,691
otisdog8,,,97,693
Dmytro Kozhevin,,,98,696
Roman Elizarov,,,99,697
Ryan Dewey ,,,100,697
