user,p1_position,p1_time,p2_position,p2_time
RWayne93,1,121,,
Andrew Von Stieglitz,2,165,,
Louis Grennell,3,191,,
Oleksandr Nikitin,4,255,,
tckmn,5,294,2,859
Oliver Ni,6,330,,
leijurv,7,342,6,1015
Robert Xiao,8,345,,
Antonio Molina ,9,345,5,1014
Kirby703,10,354,4,1014
Oskar Haarklou Veileborg,11,359,1,776
Ryan O’Hara,12,360,28,1317
sagarbrathod1,13,361,,
Anish Singhani,14,364,36,1367
jonathanpaulson,15,401,15,1213
skanev,16,407,,
WutPu,17,416,43,1413
Joshua Wise,18,418,,
Ryan Hitchman,19,418,18,1237
Thomas Neill,20,419,7,1035
Kevin Sheng,21,422,45,1434
Carl Oscar Aaro,22,431,,
Tristan Sharma,23,436,,
Josh Mandel,24,437,80,1640
PCSwingle,25,443,21,1262
Lief,26,448,50,1458
Adavya Goyal,27,450,32,1331
5space,28,452,9,1068
the-glu ,29,459,,
dan-simon,30,460,34,1343
Verulean,31,464,,
Carl Schildkraut,32,467,52,1463
msullivan,33,489,,
hyper-neutrino,34,489,3,978
SeanRBurton,35,490,,
David Sharick,36,490,,
Yves77Yves,37,492,,
Alex Weil ,38,492,,
Paul McMullin,39,493,,
cefqrn,40,494,70,1590
DottedCalculator,41,499,,
Noble Mushtak,42,503,,
the-chenergy,43,505,,
mserrano,44,508,,
Maha Zainab,45,508,,
Gorane7,46,512,19,1248
Tobias Sargeant,47,513,54,1476
Renske Idzenga,48,514,,
nthistle,49,516,26,1281
trillian,50,517,92,1703
paladin8,51,518,,
Jan Verbeek,52,519,84,1646
mlucy,53,520,,
Vladislav Isenbaev,54,523,12,1190
Ian DeHaan,55,530,16,1223
connorjayr,56,536,25,1280
boboquack,57,537,46,1442
onionfarmerr,58,537,,
UnrelatedString,59,540,55,1481
anonymous user #1067586,60,541,,
ruuddotorg,61,543,,
horo,62,545,,
abailey2020,63,555,,
evanphoward,64,555,,
Neal Wu,65,562,56,1516
icicl,66,568,,
Sam Hindess,67,569,,
Thomas Tu,68,570,,
RussellDash332,69,572,,
Defelo,70,575,74,1616
LyricLy,71,577,99,1746
SeptaCube,72,578,13,1194
scanhex,73,580,53,1468
Venkat Rao,74,583,,
qerhgqe67fwq8fqw867f,75,585,73,1610
JackMacWindows,76,585,,
Zeyu Chen,77,586,44,1432
Magnus Hokland Hegdahl,78,587,39,1399
zacharybarbanell,79,587,30,1326
Nifley,80,590,,
Nathan Fenner,81,591,23,1277
tenth,82,593,,
grhkm21,83,594,48,1448
Evan Kwan,84,596,,
tpospisi,85,597,,
Crowthebird,86,597,,
Jieruei Chang,87,598,61,1540
Nick Gavalas,88,603,,
Epiphane,89,606,,
DayDun,90,607,27,1296
Paul Draper,91,607,49,1455
Robin Allen,92,608,,
qwewqa,93,611,,
bluepichu,94,613,8,1061
nim-ka,95,616,,
vash3r,96,617,,
david-why,97,618,,
Bahnschrift,98,618,,
Ahmed Siadomar,99,622,,
Nicky Skybytskyi,100,623,47,1446
Lewin Gan,,,10,1129
Pi-Hsun Shih,,,11,1174
Starwort,,,14,1197
D. Salgado,,,17,1230
Joseph Durie,,,20,1256
xiaowuc1,,,22,1276
Egor Kulikov ,,,24,1279
0e4ef622,,,29,1322
vstrimaitis,,,31,1327
VasilyDK,,,33,1339
Nathan Wang,,,35,1363
TimHuisman1703,,,37,1391
Davis Yoshida ,,,38,1394
LegionMammal978,,,40,1400
Kroppeb,,,41,1401
ZED.Charley William Thairo,,,42,1408
Maarten Sijm,,,51,1461
Jerry Z. Li,,,57,1518
Level 51,,,58,1521
Liresol,,,59,1523
Jiacheng (Alan) Liang,,,60,1532
Lilian,,,62,1544
coolcomputery,,,63,1560
fadaaszhi,,,64,1571
Pakkapong Sricharoen,,,65,1574
andy-k,,,66,1577
thecatrine ,,,67,1584
Robert Pham,,,68,1588
Jeroen Op de Beek,,,69,1590
Sobhan Mohammadpour,,,71,1598
Kami Leon,,,72,1602
tbodt,,,75,1617
Michael Fogleman,,,76,1617
Balint R,,,77,1618
int-e,,,78,1619
Gaurav Gosain,,,79,1639
Xavier Rene Plourde,,,81,1640
ENAILIS,,,82,1641
Willie Zhu,,,83,1642
Lovemathboy H,,,85,1653
Ferdinand Davidenko ,,,86,1653
sudhackar,,,87,1657
Noureldin,,,88,1659
anjhe18,,,89,1660
Justin Xu,,,90,1690
jzhe727,,,91,1691
Kostero,,,93,1708
Dan Schafer,,,94,1725
Bradley Louie,,,95,1730
pppery,,,96,1732
Alex Steele,,,97,1733
anonymous user #1132516,,,98,1739
Dmytro Soboliev,,,100,1752
