user,p1_position,p1_time,p2_position,p2_time
superjarle,1,120,,
dan-simon,2,136,24,375
tckmn,3,141,8,292
Adavya Goyal,4,143,,
Kroppeb,5,150,47,452
bluepichu,6,154,4,256
xiaowuc1,7,161,1,217
Oleksandr Nikitin,8,193,,
Lewin Gan,9,198,6,275
Antonio Molina ,10,211,5,258
Oliver Ni,11,211,3,254
rak1507,12,215,,
Lovemathboy H,13,222,12,330
Kevin Wang,14,227,2,246
glguy,15,227,,
Ross Dempsey,16,230,25,377
Thomas Feld,17,233,26,387
D. Salgado,18,234,9,307
Dylan Smith,19,248,34,404
Neal Wu,20,250,40,424
michaelzhan1,21,252,,
Bergschaf,22,255,,
anonymous user #1510407,23,258,7,281
David Sharick,24,268,22,367
Sean Yawning,25,270,14,334
andriigrynenko,26,271,,
5space,27,271,30,401
Jeffrey H.,28,272,,
Venkat Rao,29,273,66,494
Thomas Neill,30,280,20,361
int-e,31,282,,
chunkybanana,32,284,,
Liresol,33,284,48,453
Patrick Gu,34,285,16,344
Balint R,35,289,13,333
Andrew Badr,36,294,,
Level 51,37,296,69,503
Pi-Hsun Shih,38,297,10,316
nim-ka,39,298,19,359
mangoqwq,40,298,21,363
anonymous user #44119,41,298,11,323
hyper-neutrino,42,299,32,404
grhkm21,43,299,,
Bahnschrift,44,301,,
Nnnes,45,301,,
anonymous user #2510185,46,304,,
mrphlip,47,305,15,342
Jan Verbeek,48,313,80,531
Eldar Bogdanov,49,314,45,437
the-chenergy,50,314,,
Olle Lapidus,51,316,,
zach1502,52,317,,
Ryan Hitchman,53,319,39,418
JsonJ__,54,320,,
Carl Schildkraut,55,325,88,539
thuustalu,56,326,,
Lukas Gelbmann,57,326,41,428
ericlovesmath,58,328,57,478
Daniel Gu,59,328,,
Tony Jiang,60,330,,
Marcus Oscarsson,61,332,,
Kelly Dance,62,335,,
bcdean,63,335,,
@AlexSkidanov,64,336,27,388
Joseph Durie,65,336,17,358
danzou56,66,337,,
Jieruei Chang,67,338,28,394
0e4ef622,68,339,18,359
pvillano,69,339,,
seligman99,70,339,23,368
Anish Singhani,71,342,36,408
Cameron Aavik,72,343,,
milesman34,73,345,37,411
Jeroen Bransen,74,346,,
Brandon Young,75,346,50,457
piman51277,76,347,,
Kye W. Shi,77,348,33,404
sourishsharma17,78,348,,
Colin Stewart,79,350,59,481
Justin Yokota,80,350,,
tluo5458,81,350,,
Jerry Xu,82,351,,
Parker Williams,83,353,,
Daniel Yang,84,353,73,511
Vince7778,85,355,29,399
isnbh0,86,356,,
Avi Swartz,87,356,,
chrwoods,88,357,,
Mantra Trambadia,89,360,61,483
Kevin Guo,90,361,,
sschr15,91,363,,
Hugues Hoppe ,92,363,,
Andrew X. ,93,363,,
petertseng,94,365,,
Oskar Haarklou Veileborg,95,365,51,458
mlucy,96,366,35,405
HiggstonRainbird,97,366,,
scanhex,98,366,99,555
Noble Mushtak,99,367,81,532
Alexander Pfanne,100,367,56,477
anonymous user #999046,,,31,402
blaumeise20,,,38,418
Måns Magnusson,,,42,429
Alexander Haupt,,,43,430
andy-k,,,44,431
ruuddotorg,,,46,442
Egor Kulikov ,,,49,455
ttalvitie,,,52,459
lonerz,,,53,459
SeanRBurton,,,54,467
Pradeep Mathias,,,55,468
RootCubed,,,58,480
RundownRhino,,,60,483
Vladislav Isenbaev,,,62,485
Albert Tam,,,63,488
jebouin,,,64,489
MatthewB384,,,65,492
Edward Lue,,,67,496
Pedro Osório,,,68,498
zhangjunyan2580,,,70,506
ephemient,,,71,507
TLSM,,,72,508
anonymous user #1213461,,,74,512
Patrick Hogg,,,75,515
Zeyu Chen,,,76,519
Jeffrey Fan,,,77,520
Maarten Sijm,,,78,528
ezraft,,,79,529
anonymous user #975121,,,82,533
leijurv,,,83,533
Salomon Trujillo ,,,84,537
Paweł Kubiak,,,85,537
Stevie-O ,,,86,538
Craig Gidney,,,87,539
Zach Farr,,,89,540
mrkeldon,,,90,542
Tom Sirgedas,,,91,544
Radu Grigore,,,92,545
jimscchen,,,93,546
Greg Titus,,,94,547
dllu,,,95,548
Özgün Özusta,,,96,548
Teferi,,,97,548
Adalbert,,,98,553
Samuel Chen,,,100,558
