user,p1_position,p1_time,p2_position,p2_time
Hessel,1,38,,
secemp9,2,61,,
shakespeare1564 ,3,113,,
Oleksandr Nikitin,4,117,,
Davis Yoshida ,5,121,,
Noble Mushtak,6,135,,
Joseph Malagon,7,136,,
ruuddotorg,8,137,1,264
Parker Williams,9,141,,
xiaowuc1,10,143,17,416
mserrano,11,144,7,341
nthistle,12,144,59,536
Kevin Sheng,13,148,13,388
Jimmy Mårdell,14,149,,
Oliver Ni,15,150,,
Carl Schildkraut,16,152,,
superjarle,17,152,,
Gorane7,18,153,25,440
LegionMammal978,19,155,73,566
artheadsweden,20,156,,
Antonio Molina ,21,156,50,516
Tomas Rokicki,22,157,,
rak1507,23,162,,
dan-simon,24,162,,
Andrew X. ,25,163,,
hyper-neutrino,26,164,9,354
Thomas,27,164,,
Robert Xiao,28,164,3,273
anonymous user #637942,29,168,,
connorjayr,30,168,54,522
cefqrn,31,169,10,385
mrkeldon,32,170,95,610
David Sharick,33,170,14,394
boboquack,34,172,2,265
Timothy Mou,35,173,,
Ryan Hitchman,36,174,77,574
James Sorenson,37,174,,
eagely,38,176,,
Eric Higgins,39,176,,
anonymous user #3623430,40,177,,
Max Jäger ,41,177,,
vstrimaitis,42,180,,
andy-k,43,181,,
Gregor Kikelj,44,181,19,421
Kroppeb,45,181,48,514
Anish Singhani,46,182,,
Shawn Hagler,47,182,,
Jerry Z. Li,48,183,43,509
Tristan Sharma,49,183,,
Xavier Rene Plourde,50,183,,
Jonas Haller,51,184,,
msullivan,52,184,,
Oskar Haarklou Veileborg,53,184,4,301
Gabriel Wu,54,185,27,457
Kuma-TachiRen,55,185,,
Joseph Durie,56,185,6,328
Pedro Osório,57,186,,
anonymous user #2001399,58,187,52,519
Omkar Bhalerao,59,187,,
Yoshiap,60,187,,
tckmn,61,187,12,387
Ryan Dewey ,62,189,64,540
mewnian,63,189,,
jonathanpaulson,64,189,,
Justin Yokota,65,190,,
Cameron Wu ,66,190,,
nim-ka,67,191,,
matthewd,68,192,93,604
Matt Gruskin ,69,192,96,612
Sneed's Feeduck and Seeduck,70,192,,
Ian DeHaan,71,193,,
Anthony Li,72,193,,
Neal Wu,73,194,32,472
Koen Oostveen,74,195,,
Shahan Mir,75,195,,
Anango Prabhat,76,196,,
Jan Verbeek,77,197,23,432
Mathis Hammel ,78,199,,
Jeffrey Fan,79,200,,
anonymous user #1565212,80,200,,
horo,81,201,,
NovaSagittarii,82,202,,
zacharybarbanell,83,202,8,348
the-chenergy,84,202,,
Looking for blog readers!,85,203,75,572
Thomas Neill,86,203,,
PCSwingle,87,203,,
leijurv,88,204,5,321
jebouin,89,204,84,586
gabekanegae,90,204,,
Robert Usher,91,205,26,447
meexwaal,92,206,,
grhkm21,93,206,,
glguy,94,207,,
WutPu,95,208,31,470
TimHuisman1703,96,208,,
PoustouFlan,97,208,15,398
Aaron ,98,209,21,424
drysle,99,209,,
Matthew Yu,100,210,,
Jeffrey H.,,,11,386
val tron,,,16,408
Paul Draper,,,18,419
Level 51,,,20,424
Craig Gidney,,,22,425
Chun Yeung Wong,,,24,436
mrphlip,,,28,464
Gotheru,,,29,467
int-e,,,30,468
5space,,,33,478
Matthew Ramina,,,34,478
Albert Tam,,,35,486
Defelo,,,36,489
Marcelo Fornet,,,37,491
Alex Liang,,,38,491
Avi Swartz,,,39,492
UnrelatedString,,,40,495
Zach Hacking,,,41,503
Sean Yawning,,,42,507
Ali Toosi,,,44,511
John Kesler,,,45,512
almasip,,,46,513
tluo5458,,,47,513
Yan Kang Lee,,,49,515
Epiphane,,,51,517
Zeyu Chen,,,53,520
Sam Harrison,,,55,525
Elmer Le,,,56,527
nandhagk,,,57,528
Manish Kundu,,,58,532
Evan Kwan,,,60,538
Daniel Ge,,,61,539
narpfel,,,62,539
Lukas Gelbmann,,,63,540
Nathan Ye,,,65,541
Olivier Le Floch,,,66,541
Paul Zagieboylo ,,,67,542
Thomas Feld,,,68,545
Muhammad Rais Fathin Mudzakir,,,69,546
kcmyang,,,70,555
Patrick Hogg,,,71,560
ericlovesmath,,,72,565
willwam,,,74,566
Kendall Yu ,,,76,574
sblom,,,78,580
Natanaelel,,,79,580
Lovemathboy H,,,80,581
bcc32,,,81,581
ast-ral,,,82,582
Tony Jiang,,,83,583
RootCubed,,,85,587
Jacob Guglielmin,,,86,589
t-brieger,,,87,590
Joel Gibson,,,88,591
Maarten Sijm,,,89,592
periodically-makes-puns,,,90,595
Robert Pham,,,91,596
Greg Zborovsky,,,92,600
mvolfik,,,94,607
ndimov,,,97,613
rhendric,,,98,615
terrance-li,,,99,616
Ari Wachtel,,,100,616
