user,p1_position,p1_time,p2_position,p2_time
xiaowuc1,1,626,2,1056
mserrano,2,673,1,952
connorjayr,3,700,,
Ryan Hitchman,4,734,,
hyper-neutrino,5,740,13,1711
david-why,6,817,,
Noble Mushtak,7,845,3,1192
mrphlip,8,858,40,2363
Erik Amirell Eklöf,9,861,,
Robin Allen,10,869,,
Jan Verbeek,11,874,,
leijurv,12,876,,
Mattéo Delabre,13,882,,
scanhex,14,889,9,1518
jonathanpaulson,15,912,16,1775
PCSwingle,16,913,6,1460
Robert Xiao,17,919,,
Davis Yoshida ,18,921,92,2884
Pi-Hsun Shih,19,948,,
David Sharick,20,949,15,1774
ZED.Charley William Thairo,21,966,,
mrkeldon,22,967,4,1364
nthistle,23,967,12,1672
bluepichu,24,1002,29,2156
tckmn,25,1003,53,2432
Toni Fadjukoff ,26,1018,,
Nathan Fenner,27,1021,,
Mathis Hammel ,28,1035,5,1404
ruuddotorg,29,1041,,
Epiphane,30,1049,,
anonymous user #1047278,31,1074,,
msullivan,32,1076,,
Mercerenies,33,1093,,
Alexander Haupt,34,1121,19,1960
Timothy Elling ,35,1125,,
thecatrine ,36,1130,,
Kirby703,37,1131,,
Adavya Goyal,38,1139,23,2023
vash3r,39,1141,,
Kroppeb,40,1148,52,2415
Ian DeHaan,41,1160,7,1504
qerhgqe67fwq8fqw867f,42,1183,,
Hafnium780,43,1184,,
Михаил Минков ,44,1186,74,2714
val tron,45,1190,,
the-glu ,46,1193,,
Oliver Ni,47,1198,,
nick-hiebl,48,1217,,
Yoshiap,49,1230,27,2142
Etienne Vouga,50,1233,44,2377
milesman34,51,1234,24,2060
jkseppan,52,1243,37,2332
Sneed's Feeduck and Seeduck,53,1248,,
Kevin Sheng,54,1249,,
Defelo,55,1253,,
Joey Thaman,56,1258,,
Thomas Neill,57,1259,,
anonymous user #387166,58,1261,25,2094
Patrick Hogg,59,1261,18,1956
OroArmor,60,1262,,
Yulin Shen,61,1263,10,1652
vstrimaitis,62,1271,22,1999
Gorane7,63,1284,,
Sean Yawning,64,1285,,
Anthony Li,65,1287,,
Ben,66,1292,,
Yash-Singh1,67,1293,,
klange,68,1294,,
vincentwoo,69,1295,,
Dawn Chen,70,1301,,
LegionMammal978,71,1303,,
trillian,72,1303,,
rocket3989,73,1309,,
Hunter Staiger,74,1311,33,2242
Özgün Özusta,75,1328,,
mangoqwq,76,1329,,
AndersTornkvist,77,1330,,
narpfel,78,1332,,
5space,79,1332,8,1505
Zack Lee,80,1334,,
Matthew Ramina,81,1341,,
qpwoeirut,82,1341,36,2330
Anish Singhani,83,1349,11,1667
SeptaCube,84,1358,26,2132
Arrowbounce,85,1359,,
cadybaltz,86,1360,97,2910
zacharybarbanell,87,1360,42,2371
drysle,88,1360,17,1907
Ryan O’Hara,89,1362,,
Ethan,90,1362,,
bcc32,91,1367,,
mlucy,92,1367,,
joosu77,93,1368,,
Can Berk Güder,94,1370,,
Jean-Noël Monette,95,1372,,
Lauri Kenttä,96,1382,,
phenomist,97,1385,28,2151
Lief,98,1387,,
Oskar Haarklou Veileborg,99,1389,,
Jon Eisen,100,1391,,
D. Salgado,,,14,1766
vukonen,,,20,1969
Måns Magnusson,,,21,1976
abailey2020,,,30,2189
Tautvydas Žilys,,,31,2209
Kevin Guo,,,32,2222
Cameron Aavik,,,34,2257
Lovemathboy H,,,35,2327
Ryan Dewey ,,,38,2338
Erik Szalay,,,39,2340
Vladislav Isenbaev,,,41,2366
Lewin Gan,,,43,2373
evanphoward,,,45,2377
Maks Verver,,,46,2378
tonghuikang,,,47,2387
1234abcdcba4321 ,,,48,2387
Chun Yeung Wong,,,49,2403
Shawn M Moore,,,50,2410
Justin Yokota,,,51,2412
Christian Cederquist,,,54,2434
Ghurfa,,,55,2444
bradleysigma,,,56,2445
Mike Marcelais ,,,57,2449
Gregor Kikelj,,,58,2501
Ed Murphy,,,59,2501
Martijn ,,,60,2534
TLSM,,,61,2552
anonymous user #1510407,,,62,2579
anonymous user #1132516,,,63,2607
startrekdude,,,64,2634
petertseng,,,65,2641
Nick,,,66,2646
Tomáš Pavlík,,,67,2657
Connor Harris,,,68,2669
Daniel Anker Hermansen,,,69,2677
Liresol,,,70,2684
Kevin Sun,,,71,2687
lutyj,,,72,2692
Josef Minařík,,,73,2702
ndimov,,,75,2718
anjhe18,,,76,2731
DeadlyRedCube,,,77,2733
Han Mertens,,,78,2735
Dennis Hu,,,79,2745
Eldar Bogdanov,,,80,2751
dkesler,,,81,2754
Venkat Rao,,,82,2768
anonymous user #3625196,,,83,2768
josephxwang,,,84,2791
tenth,,,85,2818
Harry Zhang,,,86,2853
penteract,,,87,2863
Frode Johannesen ,,,88,2873
msc-27,,,89,2878
Minespeed1009 Gaming,,,90,2879
Olivia Mackall,,,91,2882
Jonathan Price,,,93,2887
Amel Avdic,,,94,2890
Mile Druzijanic,,,95,2903
Pauline,,,96,2908
chluebi,,,98,2920
Sead Durakovic,,,99,2926
MLMANPT,,,100,2926
