position,user,score
1,eniraa,808
2,Małgorzata Kozłowska,778
3,secemp9,770
4,Bikatr7,755
5,caporalCoder,743
6,Luca De Cosmo,735
7,George Hotz,680
8,hugoromerorico,672
9,markoub,635
10,James Sorenson,633
11,Lex Moulton,586
12,Michael Broughton,552
13,fromthebits,512
14,5space,510
14,Alex Steele,510
16,radres,496
17,tckmn,494
18,oofmatoes,487
19,Reza Rezvan,485
20,Subhargh,471
21,Alexander Fu,469
22,Chara,462
23,Rafiea Ashraf,415
24,@Dusknt,413
25,AniruthAnanth,402
26,anonymous user #2537932,401
27,Yashraj Iyer,399
27,PeterFrancoisBadenhorst,399
29,Hugo Hu-man,398
30,Hunter Gould,386
31,Daniel Yang,384
31,noah r.,384
33,RangerMcSexy,381
34,Muhammad Arslan,380
35,Kamila Szewczyk,379
36,PoffM,374
37,Jaron Rothbaum,370
38,bluepichu,357
38,Ad1tya-007,357
40,chunkybanana,356
41,anonymous user #60233,335
42,Laurens Profittlich,334
43,Adavya Goyal,333
44,anonymous user #4496671,327
45,Fatima Malik,326
46,JohnnyBazzinga ,325
47,boboquack,322
48,Peter Cullen Burbery,315
49,lakshay007,314
50,Atharv120420001 ,313
51,petertseng,310
51,Pancake,310
53,Mxz-11,305
54,anonymous user #1067586,301
55,muhammad bilal,295
56,Remy ROYER-ADNOT,294
57,AndrejStratmann,289
57,Simon,289
59,Jakub Spólnik,287
60,KirollosM,286
61,ChristophGreger,283
62,nim-ka,281
62,jonathanpaulson,281
62,danteissaias,281
65,Stephan Botes,279
66,Ryan Hitchman,276
67,Taras Gritsenko,271
68,zvdy,269
69,Alvar Soome,265
70,SebbyLaw,264
71,anonymous user #44119,261
72,Tuke,258
72,röb,258
74,imagine-hussain,252
75,Francesco Paolo Piga,250
76,Vansh Bataviya,248
77,Justin Arnold,245
77,rictic,245
79,Justin Wang,244
80,u4sef,243
81,Duro,242
82,Steven Grond ,239
83,anonymous user #4331139,237
83,Himanshu Shekhar,237
85,Alen Koso ,236
85,Mkhmkh,236
87,nthistle,233
88,bjebert,232
88,Tom Donohue,232
90,anonymous user #302636,231
91,leijurv,230
92,ThePrivatePanda,229
93,david-why,226
94,Ian Wilson,225
95,0xMimir,222
95,anonymous user #947465,222
97,Oliver Ni,221
97,Ryan O’Hara,221
99,rohit746,220
100,Tomislav Balabanov ,219
101,anonymous user #778977,216
102,Sana Raza,212
103,sean,211
104,flocto,208
105,mocy ,206
106,Niklas Wojtkowiak,204
106,Daniel Kremsa,204
108,qianxyz ,200
108,Kevin Sheng,200
108,anonymous user #4404080,200
