position,user,score
1,Bikatr7,1455
2,caporalCoder,1366
3,eniraa,1223
4,secemp9,1139
5,James Sorenson,1062
6,Alex Steele,1051
7,ChristophGreger,1042
8,Małgorzata Kozłowska,1019
9,markoub,994
10,RangerMcSexy,975
11,hugoromerorico,928
12,u4sef,914
13,Chara,829
14,George Hotz,828
15,anonymous user #2537932,768
16,tckmn,745
17,Luca De Cosmo,735
18,Michael Broughton,718
19,Hunter Gould,716
20,Peter Cullen Burbery,681
21,5space,653
22,röb,649
23,Andrew Liu,624
24,DC,618
25,Muhammad Arslan,614
26,Ad1tya-007,611
27,fromthebits,610
28,Lex Moulton,590
29,radres,589
30,anonymous user #302636,576
31,anonymous user #60233,551
31,Mxz-11,551
33,Laurens Profittlich,546
34,Alen Koso ,545
35,Daniel Yang,524
36,Stephen Olano,521
37,138 Aspen,512
38,Reza Rezvan,511
39,Alexander Fu,500
40,ThePrivatePanda,498
41,Subhargh,490
42,oofmatoes,487
42,Rafiea Ashraf,487
44,AndrejStratmann,480
45,Nagendra1421 ,479
46,anonymous user #4496671,477
47,Peppa Li,474
48,Alvar Soome,473
49,Hugo Hu-man,471
50,twinysam,467
51,Kamila Szewczyk,464
52,muhammad bilal,461
53,Simon,459
54,Pancake,448
55,boboquack,444
56,BrandenXia,430
57,Jaron Rothbaum,429
58,Duro,424
59,neelthepatel8,418
60,@Dusknt,413
61,Francesco Paolo Piga,405
62,AniruthAnanth,402
62,Michael Peters,402
64,nim-ka,400
65,Yashraj Iyer,399
65,PeterFrancoisBadenhorst,399
67,anonymous user #4697958,398
68,chunkybanana,395
69,noah r.,384
70,dan-simon,382
71,Adavya Goyal,381
72,Daniel Kremsa,377
73,PoffM,374
74,anonymous user #778977,372
75,Jonas Haller,369
76,Stephan Botes,358
76,fromthebits ,358
78,bluepichu,357
79,mocy ,350
80,ASHUdev05,342
81,ShuBan,340
82,SebbyLaw,339
83,Steven Grond ,338
84,Vansh Bataviya,337
84,Neel Shukla,337
86,Justin Wang,333
87,anonymous user #4454326,331
88,Christian G,329
89,anonymous user #1510407,328
90,Obie Munoz,327
91,Fatima Malik,326
92,Lars Tegeler,325
92,JohnnyBazzinga ,325
94,Oskar Haarklou Veileborg,324
95,anonymous user #297891,321
96,Himanshu Shekhar,319
97,Remy ROYER-ADNOT,318
98,leijurv,317
99,jonathanpaulson,316
100,lakshay007,314
100,Kosikowski,314
102,Atharv120420001 ,313
103,petertseng,310
103,Ryan Hitchman,310
105,geohotstan,307
106,anonymous user #1569907,302
107,anonymous user #1067586,301
107,Mahamadou Ba,301
109,SelmaGuedidi,297
110,rohit746,290
111,Jakub Spólnik,287
112,KirollosM,286
113,0xMimir,282
114,danteissaias,281
114,Tomislav Balabanov ,281
116,Oliver Ni,278
117,Uday Garg,277
118,david-why,276
119,Taras Gritsenko,271
120,zvdy,269
121,anonymous user #44119,261
121,Neal Wu,261
121,Michael,261
121,anonymous user #4456307,261
125,Anthony Bondarenko,259
126,Tuke,258
127,nthistle,257
128,mrphlip,254
129,Hayzam Sherif,253
130,imagine-hussain,252
131,Muhammad Arham ,247
131,Zaid Alsaqabi ,247
133,Dhruv Kangarla,246
134,Justin Arnold,245
134,rictic,245
134,sonivi,245
134,MrCodyTester,245
138,kkmonlee,243
139,Ferdinand Davidenko,240
140,tenth,239
141,Alexander Haupt,237
141,anonymous user #4331139,237
143,bjebert,236
143,dnialh,236
143,Mkhmkh,236
146,Tom Donohue,232
147,Ian Wilson,231
148,Muhammad Ibrahim Qasmi,230
149,Connor Frank,227
150,grkozlowski,226
151,Anango Prabhat,224
152,anonymous user #947465,222
152,anonymous user #4440798,222
154,Ryan O’Hara,221
155,3kh0,214
156,Sana Raza,212
157,sean,211
158,psun256,210
159,flocto,208
159,"Chelliah, Jawahar Santhoshkumar",208
159,Tayyab Sajjad,208
162,Niklas Wojtkowiak,204
162,Kedhar,204
164,Kevin Sheng,201
165,qianxyz ,200
165,anonymous user #4404080,200
165,Madhusudhan Reddy Yerragudi,200
165,andrew xu,200
169,Umberto Puddu,198
170,Peter Hedman,197
170,Nik Sauer,197
172,vash3r ,196
173,Shen Li,195
173,gldanoob,195
175,RisaCharvi,194
175,tgudlek,194
177,Purunjay Choudhary,193
177,jkrajniak,193
179,DartCZ,192
180,whixzyy,191
181,oPeras1,190
182,SaakiBhojanam,189
182,Ritwin Narra,189
184,Peter Burbery,188
184,Ahmad Fakhar,188
186,Arghadeep Saha,187
187,Nathan Coulas,186
188,Brandon G,184
188,Justin Watts,184
190,Anish Singhani,183
190,Lydxn,183
190,Andy Tam,183
193,anonymous user #3415866,181
194,LeDawaa,180
195,Looking for blog readers!,179
195,Zack Lee,179
195,mangoqwq,179
195,BizzMage,179
195,anonymous user #2208007,179
200,Simon Wacziarg,178
200,Richard Wray,178
202,Aidan Littman,177
203,anonymous user #4190372,175
203,Stuart Westerman,175
205,Starwort,174
205,Arjun M,174
207,Alexandra Murzina,173
207,fraito,173
207,guohao,173
207,David Salathé,173
211,ben,172
211,Nathan Tran,172
211,Omi J,172
214,Jonathan Ross,171
214,anonymous user #4257740,171
216,SnowballSH,170
216,NantusGroenewald,170
216,lovelyboon,170
219,jovsa,169
220,zarif jorayev,167
221,Dana,166
221,YUGANDRAN B (RA2211003011715),166
223,anonymous user #2563521,164
224,benmirtchouk,163
224,Chris Talbot,163
226,anonymous user #1565212,162
226,Jasper van Merle,162
228,Lucas Lugão ,161
228,Muhammad Qurban,161
230,David Carlin,160
231,Christian N,158
231,anonymous user #404252,158
233,TXort,155
233,Carl Oscar Aaro,155
235,Lenny S,154
235,Solomon,154
235,nik-solcast,154
238,Phalit Jotwani,153
239,Sreekanth Krishnankutty Nair,152
240,Ravi,151
240,anonymous user #3394841,151
242,CelestialCoder,150
242,ashwini bs,150
242,@zukonit14,150
245,hyperneutrino,149
245,anonymous user #4263503,149
247,zach1502,148
248,rak1507,147
248,Ryan Eaton,147
250,Nihal Awasthi,144
251,Smugaski,143
251,Noble Mushtak,143
253,CloverJ,142
254,evanphoward,139
255,Jan Verbeek,138
255,Maverick Woo,138
255,Aditya,138
255,Krentin Naidoo,138
259,Aryan Raj,137
259,Dconan-inn,137
261,Akari,136
262,Owen,135
263,dzaima,134
263,Ijtihed,134
265,Derek Liu,133
266,connorjayr,132
266,mserrano,132
266,anonymous user #3316019,132
269,David Jiang,131
269,nexxeln,131
269,sopyb,131
269,cqzou,131
269,luckytumang,131
269,bvolpato,131
275,anominos,130
275,Paul McMullin,130
275,mocy,130
278,anonymous user #4422568,129
278,Muhammad Qasim,129
280,raikoug ,128
281,sihagujjwal ,127
281,djbloop,127
281,Vitali Marenny,127
284,nimak02,126
284,Andrii,126
286,ctborg,125
286,Kevin Sun,125
286,Shidowy,125
289,Camelpilot33,123
290,Thomas Li,122
291,Nathan Fenner,121
291,Hasan Khan,121
293,Muhammad Hamza Hassaan,120
294,Nikolay Chikin,118
294,RFS-0,118
296,Sikander Nawaz,117
297,Andras Barthazi,114
297,Ishan Chugh,114
297,safwaahmad,114
300,ZED.Charley William Thairo,112
300,looluo,112
300,abailey2020,112
303,Kevin Yap,111
303,Steven Groves,111
303,Setu Chokshi,111
303,Dankronborg1,111
307,Robert Xiao,110
307,Milindh Vijay,110
309,br-wa,107
310,p1geon,106
310,Jonathan He,106
312,Venkat Rao,105
312,Chinnu B,105
312,Antonio Perrone,105
315,vorobalek,103
315,zdu863,103
317,Corentin THOMASSET,102
318,katrinafyi,101
318,Shashank Bhatt,101
318,。 m,101
318,anonymous user #1398311,101
318,John Doe,101
323,mrkeldon,100
323,Luci,100
323,Arun Muthukkumar,100
323,Joy Liu,100
323,Tomislav Grospić,100
323,Suraj Singh,100
323,Jeroen de Bruijn,100
323,John Cornwell,100
331,Viken Manoukian,99
331,Fareed Khan,99
333,anonymous user #4294710,98
333,sharunkumar,98
333,sphinxstreets,98
333,Asuka Minato,98
333,Vaishnav Prabukumar,98
