position,user,score
1,xiaowuc1,2518
2,tckmn,2128
3,5space,1985
4,Antonio Molina ,1934
5,bluepichu,1906
6,jonathanpaulson,1830
7,boboquack,1824
8,hyper-neutrino,1820
9,Oliver Ni,1682
10,Ian DeHaan,1659
11,dan-simon,1644
12,leijurv,1624
13,Noble Mushtak,1498
14,nthistle,1488
15,D. Salgado,1430
16,Anish Singhani,1428
17,Carl Schildkraut,1388
18,Oskar Haarklou Veileborg,1334
19,ruuddotorg,1309
20,Oleksandr Nikitin,1307
21,anonymous user #1510407,1265
22,mserrano,1228
23,Neal Wu,1218
24,Robert Xiao,1165
25,Joseph Durie,1163
26,nim-ka,1154
27,Lewin Gan,1140
28,Kroppeb,1134
29,Balint R,1125
30,zacharybarbanell,1071
31,mrphlip,1027
32,Erik Amirell Eklöf,1003
33,secemp9,993
34,Looking for blog readers!,970
35,Jan Verbeek,939
36,Thomas Feld,897
37,@AlexSkidanov,891
38,LegionMammal978,890
39,Yoshiap,888
40,Anthony Li,860
41,Egor Kulikov ,849
42,Nathan Fenner,847
43,Magnus Hokland Hegdahl,837
44,Lovemathboy H,831
45,Thomas Neill,826
46,Kevin Sheng,806
47,Gabriel Wu,800
48,glguy,792
49,scanhex,789
50,Sean Yawning,765
51,Ryan O’Hara,762
52,vstrimaitis,761
53,grhkm21,756
54,Ryan Hitchman,744
55,Davis Yoshida ,743
55,int-e,743
57,Mathis Hammel ,735
58,Ross Dempsey,731
59,Vladislav Isenbaev,728
60,Justin Yokota,725
61,Shawn Hagler,721
62,qpwoeirut,712
62,TimHuisman1703,712
64,Zeyu Chen,710
65,rhendric,707
66,Kuma-TachiRen,706
67,Zack Lee,678
68,PCSwingle,673
69,connorjayr,656
70,Jimmy Mårdell,646
71,bcc32,644
72,Craig Gidney,642
73,Adavya Goyal,618
74,Gorane7,615
74,mangoqwq,615
76,the-chenergy,614
77,coolcomputery,613
78,Anango Prabhat,610
79,tenth,607
80,Nicky Skybytskyi,590
81,Måns Magnusson,575
82,Kevin Wang,567
83,Verulean,560
84,phenomist,549
85,eniraa,541
86,david-why,539
86,Liresol,539
86,Роман Курмаев,539
89,S. Teikn Smith,536
89,msullivan,536
91,jebouin,529
92,PoustouFlan,527
92,Brian Liu,527
92,David Sharick,527
95,Epiphane,525
96,Xavier Rene Plourde,519
97,Tristan Sharma,517
98,Jasper van Merle,512
99,Also looking 4 an internship! ,510
100,Mercerenies,508
101,penteract,506
101,Daniel Yang,506
103,WutPu,503
104,Cody Carlsen ,496
105,tung491,486
106,Kye W. Shi,484
107,eagely,479
108,anonymous user #637942,470
109,Thomas,465
110,anonymous user #3487639,463
111,mrkeldon,461
112,Vince7778,459
113,Starwort,458
114,anonymous user #1759814,457
115,ttalvitie,455
116,thuustalu,444
117,Clancy Woodburn,441
117,seligman99,441
119,rak1507,436
120,anonymous user #1067586,433
120,anonymous user #1556836,433
122,Daniel Gu,427
122,Dylan Smith,427
124,Zack Chroman,426
125,Andrew X. ,425
126,Patrick Hogg,424
127,Parker Williams,422
128,evanphoward,416
129,Alexander Haupt,413
130,yusent,407
131,Omkar Bhalerao,395
131,Yiming Li,395
131,Alexey Shmelev,395
134,zach1502,393
134,shakespeare1564 ,393
134,Tanner Hoke,393
137,Kevin Yap,391
137,Level 51,391
139,Gregor Kikelj,389
140,James Sorenson,387
141,Defelo,385
142,SeptaCube,384
143,Proximity Trigger,383
144,mdlu,380
145,Angelica Naguio,379
146,Etienne Vouga,375
146,mayoff,375
148,Lucas M.,372
149,petertseng,370
150,Koen Oostveen,365
150,qwewqa,365
152,etotheipi1,352
153,andy-k,349
154,Muhammad Rais Fathin Mudzakir,348
155,Timothy Mou,347
156,Mark Sturtevant,344
157,Brandon Young,338
157,Pi-Hsun Shih,338
159,ZED.Charley William Thairo,337
160,milesman34,336
161,Nikitosh,329
162,William Y. Feng,326
162,periodically-makes-puns,326
164,anonymous user #2001399,318
165,Joseph Malagon,314
166,Ahmed Siadomar,310
166,Brett Math,310
168,Nick Gavalas,308
169,Jieruei Chang,307
170,John Kesler,305
170,Martin “Cifko” Štefček ,305
172,DayDun,304
173,Bradley Louie,302
174,TINA WANG - STUDENT,301
175,Venkat Rao,299
176,Lief,296
177,Maks Verver,294
177,andriigrynenko,294
179,Robert Usher,293
180,Eldar Bogdanov,292
181,Samuel Chen,291
182,Carl Oscar Aaro,290
183,RootCubed,285
184,Jimmy Ding,283
185,Andrew Macheret,282
186,mlucy,281
187,Aaron ,277
188,0e4ef622,276
189,Corentin THOMASSET,274
189,Jeffrey H.,274
191,Max Jäger ,269
192,anonymous user #60233,268
193,Kami Leon,264
194,Peter Kuhar,263
195,Avi Swartz,262
196,David K. Zhang,258
197,abailey2020,257
198,ulrikdem,251
199,@Dusknt,248
199,Jan Arnež,248
199,Jerry Z. Li,248
202,Bahnschrift,247
203,horo,245
204,Ethan C,243
205,Jonas Haller,242
205,Robin Allen,242
207,hltk,238
208,nife,237
209,1234abcdcba4321 ,236
209,Matthew Ramina,236
211,Alex Liang,233
212,andrewcarlotti,232
212,Gábor Ferenc Kovács,232
214,Enterprize1,231
214,anonymous user #44119,231
214,zhangjunyan2580,231
217,RandomLB,228
218,phamtrongthang123,227
219,Manish Kundu,222
219,Coder Gautam,222
221,Geoffrey Kleinberg,221
222,anonymous user #1565212,220
223,Springo,218
224,Max Nilsson,216
225,Robert Pham,214
225,Patrick Gu,214
227,ekimekim,213
228,bradleysigma,211
229,Ivan Kazmenko,210
230,Olle Lapidus,208
230,ericlovesmath,208
232,Laurentiu Ionele ,206
232,NovaSagittarii,206
234,Saujas Nandi,204
235,Rem Zhang,202
236,Herman,201
236,Lau Xin Wei,201
236,Albert Tam,201
236,Maarten Sijm,201
240,anonymous user #3428581,199
240,TLSM,199
242,Drew Boyuka,197
243,Михаил Минков ,196
243,Tom Sirgedas,196
245,PDDG Glaser,195
246,val tron,194
247,Rayson Su,193
247,Louis Grennell,193
249,Pedro Osório,191
250,anonymous user #2698856,190
251,Yik Chun Wong,189
252,Kirby703,187
253,drysle,186
253,LyricLy,186
255,mwk48,185
256,Kostero,184
256,Mihhail Novik,184
256,zvdy,184
256,superjarle,184
260,Eero Väkiparta,182
261,hakiobo,181
262,Joshua Wise,178
262,Michael Fogleman,178
264,swhitt,176
264,leonard-weininger,176
264,Lukas Gelbmann,176
264,Dan Schafer,176
268,tbodt,175
269,Xavier Cooney,173
270,aropan ,172
270,Xiongqi ZHANG ,172
272,Elmer Le,170
273,E-M-Bailey,169
273,Harry Slatyer,169
275,Karan Vijayakumar,166
276,sopyb,165
276,James Satherley,165
276,Ryan Croucher,165
279,Chi Feng,164
