position,user,score
1,xiaowuc1,835
2,jonathanpaulson,723
3,Carl Schildkraut,703
4,boboquack,688
5,Robert Xiao,646
6,nthistle,635
7,Ian DeHaan,632
8,dan-simon,597
9,Anish Singhani,596
10,secemp9,595
11,5space,594
12,hyper-neutrino,589
13,D. Salgado,564
14,eniraa,541
14,Neal Wu,541
16,Oliver Ni,533
17,anonymous user #1510407,523
18,leijurv,496
19,Antonio Molina ,488
20,tung491,486
21,Joseph Durie,481
22,mserrano,466
23,anonymous user #3487639,463
24,anonymous user #1759814,457
25,Lewin Gan,449
26,Noble Mushtak,426
27,ruuddotorg,411
28,Davis Yoshida ,398
29,Jasper van Merle,396
30,Oleksandr Nikitin,391
31,Shawn Hagler,383
31,tckmn,383
33,Angelica Naguio,379
34,PoustouFlan,377
35,Anango Prabhat,375
36,S. Teikn Smith,374
36,bluepichu,374
38,Erik Amirell Eklöf,351
39,Oskar Haarklou Veileborg,342
40,anonymous user #1067586,333
41,bcc32,325
42,zacharybarbanell,321
43,Ryan Hitchman,315
44,Craig Gidney,307
45,qpwoeirut,297
46,nim-ka,296
47,Mathis Hammel ,295
47,Yoshiap,295
49,Kevin Yap,283
50,Verulean,281
51,zach1502,280
52,Zack Chroman,279
53,Lucas M.,275
54,Corentin THOMASSET,274
54,scanhex,274
56,grhkm21,273
56,James Sorenson,273
58,mrkeldon,269
59,anonymous user #60233,268
60,Looking for blog readers!,265
60,Gorane7,265
62,anonymous user #1556836,263
63,Andrew X. ,257
64,Balint R,253
65,Jan Verbeek,252
66,Thomas Feld,248
66,@Dusknt,248
66,Jan Arnež,248
69,Daniel Gu,247
70,Tanner Hoke,240
71,LegionMammal978,237
72,petertseng,233
73,William Y. Feng,231
73,@AlexSkidanov,231
75,connorjayr,230
76,Zack Lee,229
77,phamtrongthang123,227
78,Egor Kulikov ,223
79,ekimekim,213
79,hltk,213
81,Thomas,209
82,John Kesler,208
83,mrphlip,207
84,shakespeare1564 ,206
85,Ryan O’Hara,205
86,milesman34,204
87,Måns Magnusson,202
87,Rem Zhang,202
89,penteract,201
90,Kevin Sheng,200
91,anonymous user #1565212,199
92,PDDG Glaser,195
93,Adavya Goyal,192
94,Jimmy Ding,191
95,Bradley Louie,187
96,Kuma-TachiRen,186
97,mwk48,185
98,zvdy,184
99,Justin Yokota,182
99,Nikitosh,182
101,Defelo,180
101,coolcomputery,180
103,Omkar Bhalerao,179
104,swhitt,176
104,Kroppeb,176
106,Zeyu Chen,174
107,Xavier Cooney,173
108,Level 51,172
109,Nick Gavalas,171
109,Anthony Li,171
111,Robert Pham,170
112,vstrimaitis,168
113,Also looking 4 an internship! ,166
113,anonymous user #2698856,166
115,sopyb,165
115,Springo,165
115,James Satherley,165
118,Koen Oostveen,164
118,Peter Kuhar,164
120,anonymous user #2001399,163
120,anonymous user #637942,163
122,Yiming Li,162
123,PCSwingle,161
124,1234abcdcba4321 ,160
125,Enterprize1,158
125,Youssef El Zamzamy,158
127,glguy,157
128,RandomLB,156
129,Brian Liu,155
130,Nathan Fenner,153
131,Gabriel Wu,152
132,Starwort,151
132,Роман Курмаев,151
134,rak1507,150
134,SeptaCube,150
136,qwewqa,148
137,Sean Yawning,146
138,JackMacWindows,143
139,Thomas Neill,142
139,Timothy Mou,142
141,Herman,137
142,Ethan C,136
142,Miriam Vellacott,136
142,João Salavisa,136
145,the-chenergy,134
145,Kami Leon,134
147,ZED.Charley William Thairo,133
148,sourishsharma17,132
148,Magnus Hokland Hegdahl,132
150,Clancy Woodburn,130
150,Aaron ,130
150,Ross Dempsey,130
153,Austin,129
153,Lau Xin Wei,129
155,andy-k,124
155,anonymous user #2375057,124
155,bunceandbean,124
155,carro,124
159,Carl Oscar Aaro,123
160,anonymous user #2724128,122
160,Martin Camacho,122
160,Craig Silverstein,122
163,thomasranieri,120
163,Kevin Wang,120
165,Alex Liang,119
165,Benedikt Werner,119
167,TimHuisman1703,118
167,Md Abedin,118
169,masecla22,115
169,zero,115
171,Alexey Shmelev,112
171,Dragon-Hatcher,112
173,bradleysigma,111
173,Ben,111
175,Sreeram Ramachandran,110
176,leonard-weininger,107
177,Jc,106
178,HertzDevil,105
179,Proximity Trigger,104
179,Robert Usher,104
181,Hannah Rose,103
181,Dušan Minić,103
183,Yik Chun Wong,101
183,Ahmed Siadomar,101
185,anonymous user #640116,100
185,Paul Martinez ,100
185,Jonas Haller,100
185,siraben,100
189,Elmer Le,99
190,Maxim Volkov,97
190,andriigrynenko,97
190,Vince7778,97
190,Albert Tam,97
