position,user,score
1,xiaowuc1,2597
2,tckmn,2323
3,5space,2150
4,Antonio Molina ,2122
5,bluepichu,2006
6,jonathanpaulson,2002
7,hyper-neutrino,1985
8,boboquack,1923
9,leijurv,1813
10,Ian DeHaan,1790
11,dan-simon,1782
12,Oliver Ni,1777
13,nthistle,1615
14,Anish Singhani,1580
15,Noble Mushtak,1557
16,Oskar Haarklou Veileborg,1524
17,D. Salgado,1514
18,Carl Schildkraut,1506
19,Oleksandr Nikitin,1404
20,ruuddotorg,1349
21,Neal Wu,1299
22,mserrano,1285
23,anonymous user #1510407,1265
24,Robert Xiao,1258
25,Joseph Durie,1244
26,Lewin Gan,1231
27,Kroppeb,1194
28,zacharybarbanell,1164
29,nim-ka,1160
30,Balint R,1149
31,mrphlip,1027
32,Jan Verbeek,1005
33,Erik Amirell Eklöf,1003
34,Thomas Neill,1001
35,secemp9,993
36,Looking for blog readers!,970
37,LegionMammal978,951
38,Nathan Fenner,945
39,Kevin Sheng,942
40,Egor Kulikov ,926
41,Ryan O’Hara,924
42,Magnus Hokland Hegdahl,922
43,Ryan Hitchman,909
44,Thomas Feld,897
45,@AlexSkidanov,891
46,Yoshiap,888
47,scanhex,865
48,Vladislav Isenbaev,864
49,Anthony Li,860
50,Lovemathboy H,847
51,vstrimaitis,831
52,PCSwingle,829
53,grhkm21,827
54,Davis Yoshida ,806
55,Gabriel Wu,800
56,glguy,792
57,Zeyu Chen,791
58,connorjayr,777
59,TimHuisman1703,776
60,int-e,766
61,Sean Yawning,765
62,Adavya Goyal,761
63,Gorane7,752
64,Mathis Hammel ,735
65,Ross Dempsey,731
66,Justin Yokota,725
67,Shawn Hagler,721
68,qpwoeirut,712
69,rhendric,707
70,Kuma-TachiRen,706
71,Zack Lee,678
72,the-chenergy,672
73,coolcomputery,651
74,Jimmy Mårdell,646
75,Nicky Skybytskyi,645
75,WutPu,645
77,bcc32,644
78,Craig Gidney,642
79,Verulean,630
80,tenth,626
81,mangoqwq,615
82,Anango Prabhat,610
83,msullivan,604
84,Tristan Sharma,595
85,David Sharick,592
86,Liresol,581
87,Måns Magnusson,575
88,Kevin Wang,567
89,phenomist,549
90,Starwort,545
91,david-why,543
92,eniraa,541
93,Роман Курмаев,539
93,Xavier Rene Plourde,539
95,Epiphane,537
96,S. Teikn Smith,536
97,jebouin,529
98,PoustouFlan,527
98,Brian Liu,527
100,Jasper van Merle,512
101,Also looking 4 an internship! ,510
102,Mercerenies,508
103,penteract,506
103,Daniel Yang,506
105,SeptaCube,501
106,Cody Carlsen ,496
107,tung491,486
108,Kye W. Shi,484
109,eagely,479
110,anonymous user #1067586,474
111,anonymous user #637942,470
112,Thomas,465
113,anonymous user #3487639,463
114,mrkeldon,461
115,Vince7778,459
116,anonymous user #1759814,457
117,ttalvitie,455
118,evanphoward,453
119,thuustalu,444
120,Defelo,443
121,Clancy Woodburn,441
121,seligman99,441
123,rak1507,436
124,Level 51,434
125,anonymous user #1556836,433
126,Pi-Hsun Shih,428
127,Daniel Gu,427
127,Dylan Smith,427
129,Zack Chroman,426
130,Andrew X. ,425
131,Patrick Hogg,424
132,Lief,422
132,Parker Williams,422
134,Alexander Haupt,413
135,yusent,407
136,ZED.Charley William Thairo,396
137,Omkar Bhalerao,395
137,Yiming Li,395
137,Alexey Shmelev,395
140,zach1502,393
140,shakespeare1564 ,393
140,Tanner Hoke,393
143,Kevin Yap,391
144,DayDun,389
144,Gregor Kikelj,389
146,James Sorenson,387
147,andy-k,384
148,Proximity Trigger,383
149,mdlu,380
150,Angelica Naguio,379
151,Etienne Vouga,375
151,mayoff,375
151,Kirby703,375
154,qwewqa,373
155,Lucas M.,372
156,petertseng,370
157,Carl Oscar Aaro,369
158,Koen Oostveen,365
159,Jieruei Chang,361
160,etotheipi1,352
161,Muhammad Rais Fathin Mudzakir,348
161,0e4ef622,348
163,Timothy Mou,347
164,Mark Sturtevant,344
165,Brandon Young,338
166,milesman34,336
167,Nikitosh,329
167,mlucy,329
169,William Y. Feng,326
169,periodically-makes-puns,326
169,Venkat Rao,326
172,Nick Gavalas,321
173,anonymous user #2001399,318
174,Joseph Malagon,314
175,Ahmed Siadomar,312
176,Brett Math,310
177,Bradley Louie,308
178,John Kesler,305
178,Martin “Cifko” Štefček ,305
180,TINA WANG - STUDENT,301
181,abailey2020,295
182,Maks Verver,294
182,andriigrynenko,294
184,Kami Leon,293
184,Robert Usher,293
186,Jerry Z. Li,292
186,Eldar Bogdanov,292
188,Louis Grennell,291
188,Samuel Chen,291
190,RootCubed,285
191,horo,284
192,Jimmy Ding,283
193,Andrew Macheret,282
194,Aaron ,277
195,Corentin THOMASSET,274
195,Jeffrey H.,274
197,Max Jäger ,269
198,anonymous user #60233,268
199,Peter Kuhar,263
200,Avi Swartz,262
201,Joshua Wise,261
202,David K. Zhang,258
203,cefqrn,253
204,Robin Allen,251
204,Maarten Sijm,251
204,ulrikdem,251
207,Bahnschrift,250
208,@Dusknt,248
208,skanev,248
208,Jan Arnež,248
211,Robert Pham,247
212,Ethan C,243
213,Jonas Haller,242
214,hltk,238
215,nife,237
216,1234abcdcba4321 ,236
216,Matthew Ramina,236
218,Alex Liang,233
219,andrewcarlotti,232
219,Gábor Ferenc Kovács,232
221,Enterprize1,231
221,anonymous user #44119,231
221,zhangjunyan2580,231
224,RandomLB,228
225,phamtrongthang123,227
226,Manish Kundu,222
226,Coder Gautam,222
228,Geoffrey Kleinberg,221
229,anonymous user #1565212,220
230,RWayne93,219
231,Springo,218
231,LyricLy,218
233,Max Nilsson,216
234,Patrick Gu,214
235,ekimekim,213
236,bradleysigma,211
237,Ivan Kazmenko,210
238,Olle Lapidus,208
238,ericlovesmath,208
240,Laurentiu Ionele ,206
240,NovaSagittarii,206
242,Saujas Nandi,204
243,Michael Fogleman,203
244,Rem Zhang,202
245,tbodt,201
245,Herman,201
245,Lau Xin Wei,201
245,Albert Tam,201
245,UnrelatedString,201
250,anonymous user #3428581,199
250,TLSM,199
252,Drew Boyuka,197
253,Михаил Минков ,196
253,Tom Sirgedas,196
255,PDDG Glaser,195
256,val tron,194
257,Rayson Su,193
258,Kostero,192
259,Pedro Osório,191
260,anonymous user #2698856,190
261,Yik Chun Wong,189
262,drysle,186
263,mwk48,185
264,Mihhail Novik,184
264,zvdy,184
264,superjarle,184
267,Dan Schafer,183
268,Eero Väkiparta,182
269,hakiobo,181
270,qerhgqe67fwq8fqw867f,178
271,swhitt,176
271,leonard-weininger,176
271,Lukas Gelbmann,176
274,Xavier Cooney,173
274,Andrew Von Stieglitz,173
276,aropan ,172
276,Xiongqi ZHANG ,172
278,Elmer Le,170
278,trillian,170
280,E-M-Bailey,169
280,Harry Slatyer,169
282,JackMacWindows,168
283,Nathan Wang,166
283,Karan Vijayakumar,166
285,sopyb,165
285,James Satherley,165
285,Ryan Croucher,165
288,Chi Feng,164
288,tirefire,164
290,Golovanov399,161
290,joefarebrother,161
292,yuizumi,160
292,Nick Liu,160
294,Tobias Sargeant,159
295,Youssef El Zamzamy,158
296,quentinmit,157
296,anonymous user #3623430,157
296,kcaze,157
299,sourishsharma17,155
300,Jeffrey Fan,153
301,SeanRBurton,152
301,lutyj,152
303,paladin8,151
304,teekaytai,149
305,Cameron Aavik,148
305,Giacomo Stevanato,148
307,Dragon-Hatcher,147
307,Tomáš Pavlík,147
307,sagarbrathod1,147
310,teidesu,146
310,Joel Gibson,146
312,Andrew Badr,145
312,Paul Draper,145
314,ast-ral,144
314,Yan Kang Lee,144
316,K Zhang,142
317,Justin Pombrio,140
318,Tomas Rokicki,139
318,Riley Borgard,139
320,icicl,138
321,Chun Yeung Wong,137
322,Miriam Vellacott,136
322,João Salavisa,136
324,Noeri Huisman,135
324,Thorvald Dox ,135
326,anonymous user #1047278,134
326,Md Abedin,134
326,willwam,134
326,anonymous user #387166,134
326,michaelzhan1,134
326,Mathijs Vogelzang,134
326,Sam Hindess,134
326,Shik Chen,134
326,N_z_,134
335,jwseph,130
336,Austin,129
336,Victor Chen,129
338,Jon Hartnett,128
339,Matt Gruskin ,127
339,meexwaal,127
341,anonymous user #2375057,124
341,bunceandbean,124
341,carro,124
341,Filip Hlasek,124
345,Vitalii Nevidomyi,123
