position,user,score
1,xiaowuc1,1645
2,5space,1309
3,dan-simon,1277
4,tckmn,1264
5,hyper-neutrino,1212
6,boboquack,1187
7,Antonio Molina ,1130
8,jonathanpaulson,1077
9,mserrano,1053
10,bluepichu,1050
11,Anish Singhani,1037
12,Oliver Ni,1020
13,Carl Schildkraut,994
14,Ian DeHaan,955
15,Noble Mushtak,937
16,ruuddotorg,927
17,D. Salgado,895
18,leijurv,856
19,nthistle,853
20,Oleksandr Nikitin,846
21,anonymous user #1510407,837
22,Robert Xiao,817
23,Neal Wu,780
24,mrphlip,747
25,Joseph Durie,741
26,nim-ka,729
27,Kevin Sheng,722
28,Oskar Haarklou Veileborg,721
29,zacharybarbanell,705
30,secemp9,694
31,Lewin Gan,688
32,Balint R,668
33,Davis Yoshida ,661
34,Thomas Feld,654
35,Craig Gidney,619
36,LegionMammal978,596
37,Sean Yawning,587
38,Ryan Hitchman,573
39,Yoshiap,563
40,grhkm21,554
41,eniraa,541
42,bcc32,533
43,Shawn Hagler,531
44,@AlexSkidanov,524
45,Jan Verbeek,511
46,Justin Yokota,504
47,Kroppeb,503
48,S. Teikn Smith,488
49,tung491,486
50,Ross Dempsey,474
51,Gabriel Wu,470
52,int-e,468
53,PoustouFlan,467
54,Egor Kulikov ,466
55,Gorane7,465
56,anonymous user #3487639,463
57,anonymous user #1759814,457
58,qpwoeirut,452
59,connorjayr,442
60,Zack Lee,434
61,Anango Prabhat,433
61,anonymous user #1556836,433
63,Mathis Hammel ,423
64,Magnus Hokland Hegdahl,412
65,David Sharick,408
66,Mercerenies,403
67,Zeyu Chen,402
68,phenomist,397
69,Jasper van Merle,396
70,zach1502,393
71,Level 51,391
72,Adavya Goyal,381
73,Looking for blog readers!,379
73,Angelica Naguio,379
75,penteract,376
75,anonymous user #637942,376
77,rak1507,363
78,Thomas Neill,360
79,mrkeldon,355
80,Erik Amirell Eklöf,351
80,Nicky Skybytskyi,351
82,petertseng,349
83,Lovemathboy H,346
84,Andrew X. ,341
85,Starwort,339
86,mangoqwq,338
86,Kuma-TachiRen,338
88,James Sorenson,337
88,Kevin Wang,337
90,anonymous user #1067586,333
91,Also looking 4 an internship! ,332
92,vstrimaitis,328
92,Thomas,328
94,Defelo,327
95,periodically-makes-puns,326
96,PCSwingle,324
97,Lucas M.,323
98,Brian Liu,321
99,scanhex,320
100,anonymous user #2001399,318
101,Joseph Malagon,314
102,david-why,312
103,Omkar Bhalerao,310
104,Jimmy Mårdell,306
105,William Y. Feng,304
105,shakespeare1564 ,304
107,Bradley Louie,302
108,the-chenergy,299
109,milesman34,296
110,Vladislav Isenbaev,295
111,Anthony Li,294
112,Daniel Gu,289
112,Dylan Smith,289
114,Ryan O’Hara,285
115,Kevin Yap,283
115,Vince7778,283
117,Koen Oostveen,281
117,Verulean,281
119,Zack Chroman,279
120,Gregor Kikelj,276
121,Corentin THOMASSET,274
121,Liresol,274
123,andy-k,271
124,anonymous user #60233,268
125,seligman99,264
125,John Kesler,264
127,tenth,263
127,jebouin,263
129,Måns Magnusson,261
129,Nikitosh,261
131,Cody Carlsen ,260
132,David K. Zhang,258
133,msullivan,254
134,Epiphane,252
135,glguy,250
136,etotheipi1,248
136,@Dusknt,248
136,Jan Arnež,248
136,Jerry Z. Li,248
140,Yiming Li,243
141,thuustalu,242
142,Nathan Fenner,241
142,Daniel Yang,241
144,Tanner Hoke,240
145,anonymous user #44119,231
146,phamtrongthang123,227
146,SeptaCube,227
148,mdlu,226
149,Nick Gavalas,224
150,Enterprize1,223
151,mayoff,221
151,rhendric,221
153,anonymous user #1565212,220
154,andriigrynenko,216
154,andrewcarlotti,216
156,coolcomputery,215
157,ekimekim,213
157,hltk,213
157,Aaron ,213
160,Olle Lapidus,208
160,Timothy Mou,208
160,ericlovesmath,208
163,1234abcdcba4321 ,207
164,Avi Swartz,206
165,Robert Usher,204
166,Rem Zhang,202
166,mlucy,202
168,Lau Xin Wei,201
168,Albert Tam,201
170,anonymous user #3428581,199
171,PDDG Glaser,195
172,Clancy Woodburn,193
172,Louis Grennell,193
172,Venkat Rao,193
175,Jimmy Ding,191
175,Alexey Shmelev,191
175,Martin “Cifko” Štefček ,191
178,Brandon Young,188
179,Jieruei Chang,187
180,mwk48,185
180,Parker Williams,185
182,Mihhail Novik,184
182,TINA WANG - STUDENT,184
182,zvdy,184
182,superjarle,184
186,Alex Liang,182
187,Robert Pham,180
188,swhitt,176
189,Xavier Cooney,173
190,Etienne Vouga,169
190,Elmer Le,169
192,0e4ef622,168
193,anonymous user #2698856,166
194,sopyb,165
194,Springo,165
194,Max Jäger ,165
194,James Satherley,165
198,Peter Kuhar,164
199,Jeffrey H.,163
200,RandomLB,162
201,cefqrn,161
202,RootCubed,158
202,Youssef El Zamzamy,158
204,sourishsharma17,155
205,Pi-Hsun Shih,154
206,Pedro Osório,153
206,qwewqa,153
208,Patrick Gu,152
209,Роман Курмаев,151
210,Jonas Haller,150
211,evanphoward,149
212,Tomáš Pavlík,147
213,teidesu,146
213,Samuel Chen,146
215,Yan Kang Lee,144
216,JackMacWindows,143
217,Lukas Gelbmann,142
218,skanev,141
219,Matthew Ramina,140
220,WutPu,139
221,val tron,138
222,Herman,137
222,Michael Fogleman,137
222,Chun Yeung Wong,137
225,Ethan C,136
225,Miriam Vellacott,136
225,João Salavisa,136
225,anonymous user #3623430,136
229,Kami Leon,134
229,michaelzhan1,134
231,ZED.Charley William Thairo,133
231,Patrick Hogg,133
233,Austin,129
233,Mathijs Vogelzang,129
235,Matt Gruskin ,127
235,meexwaal,127
237,Ivan Kazmenko,126
238,anonymous user #2375057,124
238,bunceandbean,124
238,carro,124
238,horo,124
238,Alexander Haupt,124
243,TimHuisman1703,123
243,Manish Kundu,123
243,bradleysigma,123
243,Carl Oscar Aaro,123
247,anonymous user #2724128,122
247,Martin Camacho,122
247,Craig Silverstein,122
250,piman51277,121
250,ttalvitie,121
252,thomasranieri,120
252,tluo5458,120
254,Yik Chun Wong,119
254,Benedikt Werner,119
256,Md Abedin,118
256,Bahnschrift,118
258,Xavier Rene Plourde,117
259,AdamHe17 ,116
259,Kye W. Shi,116
261,masecla22,115
261,zero,115
263,Maks Verver,114
263,Nick Liu,114
265,ovs-code ,113
266,Dragon-Hatcher,112
266,Tristan Sharma,112
266,Allen Huang,112
266,cow-moo,112
270,Ben,111
271,lonerz,110
271,Sreeram Ramachandran,110
271,jwseph,110
274,nife,108
274,Eldar Bogdanov,108
276,Cameron Wu ,107
276,leonard-weininger,107
276,Muhammad Rais Fathin Mudzakir,107
276,LyricLy,107
280,Jc,106
281,Josh Taylor,105
281,HertzDevil,105
281,a5a7,105
284,Proximity Trigger,104
285,Hannah Rose,103
285,Dušan Minić,103
287,anonymous user #975121,101
287,Ahmed Siadomar,101
287,Jeffrey Meng,101
290,anonymous user #640116,100
290,Paul Martinez ,100
290,Sam Hindess,100
290,siraben,100
290,zhangjunyan2580,100
