position,user,score
1,xiaowuc1,1773
2,5space,1402
3,tckmn,1378
4,hyper-neutrino,1370
5,dan-simon,1332
6,boboquack,1279
7,Antonio Molina ,1256
8,jonathanpaulson,1245
9,Anish Singhani,1126
10,bluepichu,1119
11,Oliver Ni,1094
12,Carl Schildkraut,1055
13,mserrano,1053
14,D. Salgado,1046
15,Noble Mushtak,1027
16,ruuddotorg,990
17,nthistle,986
18,Ian DeHaan,955
19,leijurv,933
19,anonymous user #1510407,933
21,Robert Xiao,905
22,Oleksandr Nikitin,846
23,Joseph Durie,814
24,Oskar Haarklou Veileborg,803
25,secemp9,793
26,Neal Wu,780
27,Lewin Gan,775
28,mrphlip,747
29,Balint R,732
30,nim-ka,729
31,Kevin Sheng,722
32,Thomas Feld,705
32,zacharybarbanell,705
34,Sean Yawning,694
35,Davis Yoshida ,661
36,LegionMammal978,628
37,@AlexSkidanov,621
38,Craig Gidney,619
39,Justin Yokota,592
40,grhkm21,588
41,Kroppeb,584
42,Ryan Hitchman,573
43,Shawn Hagler,571
44,Egor Kulikov ,566
45,Yoshiap,563
46,eniraa,541
47,bcc32,533
48,connorjayr,518
49,Gabriel Wu,516
50,Jan Verbeek,511
51,Gorane7,509
52,int-e,507
53,Mathis Hammel ,492
54,S. Teikn Smith,488
55,tung491,486
56,Zack Lee,481
57,Ross Dempsey,474
58,PoustouFlan,471
59,Adavya Goyal,470
60,Magnus Hokland Hegdahl,467
61,anonymous user #3487639,463
62,anonymous user #1759814,457
63,qpwoeirut,452
64,Anango Prabhat,450
65,Erik Amirell Eklöf,446
66,anonymous user #1067586,433
66,anonymous user #1556836,433
66,rak1507,433
69,Ryan O’Hara,429
70,Looking for blog readers!,427
71,Nathan Fenner,424
72,mrkeldon,422
73,phenomist,420
74,David Sharick,408
75,the-chenergy,404
76,Mercerenies,403
77,Zeyu Chen,402
78,Jasper van Merle,396
79,Nicky Skybytskyi,394
80,Thomas,393
80,zach1502,393
82,Level 51,391
83,vstrimaitis,386
84,scanhex,385
85,Lovemathboy H,383
86,Vladislav Isenbaev,382
87,Defelo,381
88,anonymous user #637942,379
88,Angelica Naguio,379
90,penteract,376
91,Brian Liu,372
92,Daniel Gu,361
93,Thomas Neill,360
94,Tanner Hoke,359
95,Cody Carlsen ,357
96,Vince7778,354
97,Liresol,353
98,mangoqwq,351
99,petertseng,349
100,glguy,346
101,Andrew X. ,341
102,Starwort,339
103,Kuma-TachiRen,338
104,James Sorenson,337
104,Kevin Wang,337
106,msullivan,336
107,Also looking 4 an internship! ,332
108,Nikitosh,329
109,PCSwingle,328
109,Verulean,328
111,periodically-makes-puns,326
112,Jimmy Mårdell,324
113,Lucas M.,323
114,anonymous user #2001399,318
115,Joseph Malagon,314
116,david-why,312
117,Omkar Bhalerao,310
117,thuustalu,310
119,William Y. Feng,304
119,shakespeare1564 ,304
121,Bradley Louie,302
122,milesman34,296
123,Kevin Yap,295
124,Anthony Li,294
125,Dylan Smith,289
126,Koen Oostveen,281
127,mdlu,279
127,Zack Chroman,279
129,rhendric,277
130,Gregor Kikelj,276
131,Corentin THOMASSET,274
132,andy-k,271
133,anonymous user #60233,268
134,Daniel Yang,265
135,seligman99,264
135,John Kesler,264
137,tenth,263
137,jebouin,263
139,Måns Magnusson,261
140,David K. Zhang,258
141,coolcomputery,253
142,Epiphane,252
143,etotheipi1,248
143,@Dusknt,248
143,Jan Arnež,248
143,Jerry Z. Li,248
147,Aaron ,246
148,mayoff,245
148,Роман Курмаев,245
150,Yiming Li,243
151,hltk,238
