position,user,score
1,xiaowuc1,1866
2,hyper-neutrino,1518
3,boboquack,1469
4,tckmn,1439
5,jonathanpaulson,1423
6,Antonio Molina ,1403
7,5space,1402
8,dan-simon,1392
9,Anish Singhani,1323
10,nthistle,1166
11,bluepichu,1160
12,Oliver Ni,1150
13,leijurv,1090
14,Carl Schildkraut,1072
15,Ian DeHaan,1055
16,mserrano,1053
17,D. Salgado,1046
18,Noble Mushtak,1027
19,Oskar Haarklou Veileborg,991
20,ruuddotorg,990
21,Joseph Durie,933
21,anonymous user #1510407,933
23,Robert Xiao,905
24,nim-ka,903
25,Lewin Gan,865
26,Oleksandr Nikitin,846
27,Thomas Feld,829
28,@AlexSkidanov,807
29,secemp9,793
30,Neal Wu,780
31,mrphlip,747
32,Egor Kulikov ,742
33,Balint R,732
34,Kevin Sheng,722
35,zacharybarbanell,705
36,Sean Yawning,694
37,Davis Yoshida ,673
38,Jan Verbeek,658
39,Kroppeb,652
40,LegionMammal978,628
41,Yoshiap,621
42,Craig Gidney,619
43,int-e,610
44,Justin Yokota,592
45,grhkm21,588
46,Ross Dempsey,582
47,Ryan Hitchman,573
48,Shawn Hagler,571
49,Gabriel Wu,554
50,bcc32,549
51,mangoqwq,544
52,eniraa,541
53,Mathis Hammel ,539
54,Magnus Hokland Hegdahl,538
54,Erik Amirell Eklöf,538
56,Nicky Skybytskyi,536
57,connorjayr,518
58,scanhex,516
59,glguy,510
60,Gorane7,509
61,Kuma-TachiRen,507
62,Adavya Goyal,501
63,S. Teikn Smith,488
64,tung491,486
65,Zack Lee,484
66,PoustouFlan,471
67,Ryan O’Hara,470
68,Zeyu Chen,469
69,anonymous user #3487639,463
70,anonymous user #1759814,457
71,qpwoeirut,452
72,Anango Prabhat,450
73,Lovemathboy H,447
74,Liresol,444
75,the-chenergy,443
76,anonymous user #1067586,433
76,anonymous user #1556836,433
76,rak1507,433
79,Looking for blog readers!,427
79,Jimmy Mårdell,427
81,Zack Chroman,426
82,Nathan Fenner,424
83,mrkeldon,422
84,Vince7778,421
85,phenomist,420
86,rhendric,409
87,David Sharick,408
88,Mercerenies,403
89,Jasper van Merle,396
90,Thomas,393
90,zach1502,393
90,Tanner Hoke,393
93,Level 51,391
94,Xavier Rene Plourde,387
95,vstrimaitis,386
96,Also looking 4 an internship! ,382
96,Vladislav Isenbaev,382
98,Defelo,381
99,anonymous user #637942,379
99,Angelica Naguio,379
101,penteract,376
102,Brian Liu,372
103,Clancy Woodburn,371
104,Daniel Gu,361
105,Thomas Neill,360
106,Cody Carlsen ,357
107,Andrew X. ,355
108,James Sorenson,351
109,petertseng,349
110,jebouin,341
111,Starwort,339
112,Kevin Wang,337
113,msullivan,336
114,Nikitosh,329
115,PCSwingle,328
115,Verulean,328
117,Anthony Li,327
118,periodically-makes-puns,326
119,Lucas M.,323
120,ttalvitie,320
121,anonymous user #2001399,318
122,Yiming Li,317
123,Etienne Vouga,316
124,tenth,315
124,Dylan Smith,315
126,Joseph Malagon,314
127,david-why,312
128,Omkar Bhalerao,310
128,thuustalu,310
130,William Y. Feng,304
130,shakespeare1564 ,304
132,etotheipi1,303
133,Bradley Louie,302
134,TimHuisman1703,297
135,milesman34,296
135,SeptaCube,296
137,Kevin Yap,295
138,Kye W. Shi,292
139,WutPu,287
140,Ahmed Siadomar,283
141,Koen Oostveen,281
142,mdlu,279
143,Gregor Kikelj,276
144,Corentin THOMASSET,274
144,coolcomputery,274
146,mayoff,272
147,andy-k,271
148,anonymous user #60233,268
149,Daniel Yang,265
150,seligman99,264
150,John Kesler,264
152,Måns Magnusson,261
153,Alexey Shmelev,259
154,David K. Zhang,258
155,Epiphane,252
156,@Dusknt,248
156,Jan Arnež,248
156,Jerry Z. Li,248
159,Aaron ,246
160,Роман Курмаев,245
161,Ethan C,243
162,Eldar Bogdanov,239
163,hltk,238
163,Timothy Mou,238
165,Jimmy Ding,235
166,Alexander Haupt,233
167,anonymous user #44119,231
168,phamtrongthang123,227
169,Nick Gavalas,224
169,Venkat Rao,224
171,Enterprize1,223
172,Manish Kundu,222
173,anonymous user #1565212,220
174,Patrick Hogg,219
174,qwewqa,219
176,ZED.Charley William Thairo,217
177,andriigrynenko,216
177,andrewcarlotti,216
