position,user,score
1,betaveros,2449
2,hyper-neutrino,1982
3,anonymous user #1510407,1915
4,leijurv,1795
5,dan-simon,1781
6,boboquack,1755
7,jonathanpaulson,1737
8,tckmn,1718
9,nim-ka,1670
10,David Wahler,1561
11,Ian DeHaan,1549
12,D. Salgado,1548
13,nthistle,1539
14,Antonio Molina,1514
15,Lewin Gan,1455
16,bluepichu,1436
17,5space,1427
18,mserrano,1418
19,Brandon Lin,1376
20,Carl Schildkraut,1368
21,connorjayr,1320
22,Oskar Haarklou Veileborg,1313
23,Joshua Chen,1295
24,Robert Xiao,1247
25,Tim Vermeulen,1242
26,LegionMammal978,1187
27,Anish Singhani,1157
28,Oliver Ni,1111
29,ZED.Charley William Thairo,1103
30,Larry,1080
31,Nathan Fenner,1065
32,bcc32,1054
33,Kroppeb,1053
34,dtinth,1047
35,anonymous user #44119,1014
36,mrphlip,1008
37,Kirby703,1000
38,Maxwell Zen,955
39,Patrick Hogg,899
40,Ryan Hitchman,894
41,Michal Forišek,887
42,Paul Draper,868
43,Kevin Sheng,848
44,Craig Gidney,839
45,Martin Camacho,834
46,Max Murin,832
47,Epiphane,831
48,Gorane7,826
49,Evan Zhang,813
50,Noble Mushtak,778
51,mangoqwq,777
52,Ivan Galakhov,773
53,Tris Emmy Wilson ,759
54,Zeyu Chen,751
55,petertseng,745
56,Kye W. Shi,708
57,hughcoleman,703
58,Kami Leon,697
59,SeanRBurton,684
60,Erik Amirell Eklöf,676
61,Zack Lee,659
62,alcatrazEscapee,637
63,Neal Wu,634
64,xnkvbo,622
65,Vladislav Isenbaev,620
65,GregorKikelj,620
67,PoustouFlan,605
68,Jared Hughes,603
69,anonymous user #60233,595
70,rhendric,582
71,Golovanov399,570
72,Markus Himmel,555
73,Cyprien Mangin,548
74,Davis Yoshida,540
75,Kevin Yap,538
76,PikMike,531
77,Thomas Feld,517
78,Akimitsu Hogge,515
79,Joe L.,513
80,Jan Verbeek,512
81,Andrey Anurin ,504
82,FillyAutomatic,489
83,grhkm21,477
84,jebouin,476
85,Tanner Hoke,475
86,Xavier Cooney ,470
87,anonymous user #1565212,458
87,ruuddotorg,458
89,Jasper van Merle,449
89,Ritwin Narra,449
89,Alex Wice,449
89,Steve Newman,449
93,Mercerenies,448
94,Bradley He,442
95,Benedikt Werner,440
96,Tobias-Glimmerfors,435
97,Lydxn,428
98,Pedro Osório,399
99,evanphoward,396
100,noblematt,391
100,anonymous user #637942,391
102,ostwilkens,390
103,Sohom Sahaun,389
104,Axel Brisse ,388
105,Utkarsh Kukreti,387
105,Yiming Li,387
105,xiaowuc1,387
108,sciyoshi,385
109,Verulean,377
110,crazymerlyn,375
111,zacharybarbanell,366
112,Andrey Akhmetov ,363
112,Justin Yokota,363
114,Vince7778,362
115,Thomas Neill,357
116,Waffle,353
116,JackMacWindows,353
118,Sunny Guan,351
119,Arcwise,348
120,Joseph Durie,341
121,Max Jäger ,332
122,SizableShrimp,327
123,ellellie,318
124,LyricLy,317
125,Jeffzycode,316
126,Looking for blog readers!,311
127,anonymous user #217709,310
128,Darragh Griffin,307
129,Adavya Goyal,306
129,btnlq,306
131,max-sixty,302
132,anonymous user #1047278,301
132,djpohly,301
134,hltk,295
134,Hafnium780,295
136,Arrowbounce,293
137,Dylan Smith,292
138,The Friendly Enemy,287
139,Drew Boyuka,284
139,flocto,284
141,mdlu,279
142,oparkerj,278
143,mrkeldon,277
144,flashmt,274
144,@koutaharu_,274
146,phucthg,273
147,It's a Shill,271
148,msullivan,270
149,Rohin Garg,267
149,anonymous user #2724128,267
151,coolcomputery,265
152,KevinL10,262
153,anonymous user #2348523,258
154,Timothy Mou,256
154,Robert Pham,256
156,Nick Gavalas,253
157,Daniel Ng,250
158,kevinmchung,245
159,Starwort,243
160,the-glu ,240
161,Buck4437,233
161,Miriam Vellacott,233
161,Ivan Kazmenko,233
164,Gabriel Wu,232
165,Nikhil Vijai,231
166,David Harmeyer ,229
167,Bradley Louie,226
167,Nikitosh,226
169,vstrimaitis,218
170,Adib Surani,215
171,Bennett Marsh,213
172,Anthony Li,212
173,mingmingrr,210
174,Paweł Kubiak,209
175,yuizumi,206
175,twright0,206
177,miriam-rittenberg,204
177,Thomas Draper,204
177,Kevin Wang,204
177,Carson Graham,204
181,David Robinson,200
181,Matthew Low,200
183,JuanPotato,199
183,Sean Yawning,199
183,Balint R,199
186,lemonsoc,198
187,Maarten Sijm,196
188,matthewmisiaszek,195
189,Eric Yang,194
190,sumeet,193
191,drougge,192
192,asottile,189
192,bjebert,189
192,Talchas,189
195,PCSwingle,187
196,Ambrose Feinstein,186
197,dllu,185
198,Ethan Olpin,184
199,anonymous user #2375057,183
200,geoffrey-wu,181
201,andy-k,180
201,Martin “Cifko” Štefček,180
203,sampersand,179
204,RexBerry,178
205,Geoffrey Kleinberg,174
206,UnrelatedString,173
207,Allen Pei,172
208,tenth,171
208,Aaron ,171
210,sampai20,170
210,Colter,170
210,Virgile Andreani ,170
210,thuustalu,170
214,lethan3,169
214,Phillip Rossi,169
214,Måns Magnusson,169
217,Lingrui Xie,168
217,RootCubed,168
217,JosephHardman ,168
220,penteract,167
221,quentinmit,165
221,Allen Wu,165
221,anonymous user #2412806,165
224,Anango Prabhat,164
225,Joshua Wise,163
225,simonlindholm,163
227,Olle Lapidus,162
227,Adam Gausmann,162
229,Danny Lin,160
230,Søren Fuglede Jørgensen,159
231,Springo,158
232,Luke M,157
233,Alexander Haupt,156
234,Matthew Ramina,154
235,HiggstonRainbird,153
236,Andrew X. ,152
237,dawninganchors,151
237,Jonathan Ho ,151
239,anominos,149
240,Defelo,147
240,Coby Tran,147
240,anonymous user #1087784,147
243,Kenneth Fitzgerald,146
244,alstonlo,145
245,Rowechen Zhong,144
246,tonghuikang,143
246,0e4ef622,143
248,Andrew Jennings,142
249,kejadlen,141
249,Roderic Day,141
249,cup2of2tea ,141
252,Andriamanitra,140
252,TimHuisman1703,140
252,tluo5458,140
252,Ivan Lukyanov,140
252,nigelzor,140
257,A5rocks,138
258,etotheipi1,136
258,periodically-makes-puns,136
258,anonymous user #385893,136
261,Brian Dean,135
261,Ben Hollows,135
263,anonymous user #677741,132
263,vtjeng,132
263,xd y,132
266,christopher papke,131
267,Ahmed Siadomar,130
267,Ari Wachtel,130
269,chunkybanana,129
269,Özgün Özusta,129
271,Matt Gruskin ,128
272,Waleed Khan,127
272,Marcus Takvam Lexander,127
272,Mark Ladygo,127
272,Tony Jiang,127
272,William Yue,127
277,InternetPerson10,126
277,James Berglund,126
279,JulesD,124
280,Rem Zhang,123
280,RundownRhino,123
282,tiger0132,122
282,sorawit,122
282,Guillaume AMBAL,122
285,Anthaleos,121
285,val tron,121
285,Yancheng,121
288,cefqrn,120
288,Branflakes2415,120
288,jkseppan,120
291,Nick Liu,119
291,aropan ,119
293,Michael Goldwasser ,118
293,Martyn Smith ,118
295,Josiah Kiok,117
295,Peter Dowdy,117
295,Sneed's Feeduck and Seeduck,117
298,Zack Chroman,116
298,William Y. Feng,116
298,Loks-,116
301,schmrlng,115
302,Tomas Rokicki,114
303,Lars Haulin ,112
304,Colton Pauderis,111
305,Sam Hindess,110
306,Tanuj Khattar,109
306,Julian Bruyat,109
308,Joshua Dunbrack,107
308,Henrik Lehtonen,107
308,jakzo,107
311,Qiqi Impact,106
311,abailey2020,106
313,andriigrynenko,104
313,key,104
313,twattanawaroon,104
313,Ethan Chapman,104
317,Marco Poon,103
317,Ethan Tillison,103
319,joefarebrother,102
319,Thomas Norris,102
321,@vince_vw,101
321,Bahnschrift,101
323,VJsong02,100
324,Alex Wen,99
324,Shashank Bhatt,99
324,blaumeise20,99
324,skaldskaparmal,99
328,qpwoeirut,98
328,Sudo-Ivan,98
328,halfbakedsneed,98
331,Ethan C,97
331,mayoff,97
333,Marko Tsengov,95
333,seligman99,95
333,glguy,95
336,Hendrik Melse,94
337,Nick Frost,93
337,Jimmy Chen,93
339,Avarayr,92
339,DayDun,92
339,David Sharick,92
342,anonymous user #672515,91
342,awychong,91
342,Svelte-Enthusiast,91
342,Shaunak Warty,91
342,Hunter Staiger,91
347,anonymous user #963181,90
347,klange,90
347,AdamHe17 ,90
347,Paul Badour,90
351,hakiobo,89
352,anonymous user #1823456,88
352,Brett Math,88
354,Thomas,87
354,VasilyDK,87
356,inthewaterwheel,86
356,LK,86
356,kjsatz,86
359,Jordan H,85
359,Matteo Biasielli,85
359,Craig White,85
359,Proximity Trigger,85
359,Derek Liu,85
364,Natanaelel,84
365,John Kesler,83
365,ndimov,83
367,Samo Kralj,82
367,Yoshiap,82
367,Jimmy Mårdell,82
367,Sarah Shader,82
371,ajgrinds,81
371,yann-a,81
373,F2 ,80
373,Louis Wasserman ,80
373,Daniel Gu,80
376,Timothy Leong,79
376,Jay Foad,79
376,Gustav Westling,79
376,sparkyb,79
380,"Kin Fung, Nicholas Ko",78
380,clemdatacrunch,78
380,Lauri Kenttä ,78
383,Eduardo Quirino,77
383,Yenya,77
383,mich101mich,77
386,almasip,76
386,Chicken-Bones,76
388,sahilbansal17,75
389,Prabowo Djonatan,74
389,Spyabo,74
389,jorisvr,74
392,skanev,73
392,Shea Janke,73
392,Javier Blazquez,73
392,Josef Minařík,73
396,Paul McMullin,72
396,anonymous user #387166,72
396,Josh Deprez,72
399,joshuaruegge,71
399,David Walker,71
399,nkitsaini,71
402,Minh Nguyen Quang,70
402,Niklas Sandén,70
402,Schobers ,70
405,monkeynova,69
405,DLu,69
405,anonymous user #171829,69
408,The Penguin,68
408,Jieruei Chang,68
408,ansvonwa,68
411,Maggie Liu,67
411,Ananthram Vijayaraj,67
411,Kai-Zhan Lee,67
414,danvolchek,66
414,Oleg Rudenko,66
416,jacobparish,65
416,Max Sun,65
418,daviecar,64
418,SalomonT82,64
420,Christian Cederquist,63
420,Oof,63
420,David Grosdemange,63
420,vash3r,63
420,StarGazingHomies,63
420,0sq,63
420,br-wa,63
427,Nnnes,62
427,FliegendeWurst,62
427,Max Bowman,62
430,anonymous user #975121,61
431,Michael Truell,60
432,Johan Lindblad ,59
432,Ben,59
432,ezraft,59
432,Victor Chen,59
432,Jérémy Guillot,59
432,NovaSagittarii,59
438,Niraj Patel,58
438,thunder-red-star,58
438,Max Friedman,58
438,TLSM,58
442,Sophie,57
442,Bryan Kok,57
442,Aadit Ambadkar,57
442,lilweege,57
446,sanjay jayaram,56
446,Stovoy,56
446,hamzahasann,56
446,anonymous user #750627,56
450,BelgianSalamander,55
450,Sofapuden,55
450,Pakkapong Sricharoen,55
450,Justin Jaffray,55
450,Tom van Dijk,55
455,Md Abedin,54
455,mjh316,54
455,whaatt,54
455,dvbui,54
455,John Qian,54
460,Roman Chesnokov,53
460,Mark Wen,53
462,mniip,52
463,tomstephen,51
463,rkk1995 ,51
465,jeffreykaili,50
465,James Stuart ,50
465,Emerald Block,50
465,jimscchen,50
465,Lawrence Kesteloot,50
465,Béla Mérvadó,50
471,Kostero,49
471,t6twotwo,49
471,CodingAP,49
474,piman51277,48
474,Willem Kaufmann,48
476,Cade Cuddy,47
476,Patrik Ivarsson,47
476,Sander van den Bergh,47
476,anonymous user #195997,47
480,YIHAO ZHOU,46
480,jputlock,46
480,Henri Devillez,46
483,Evan Kwan,45
483,Benjamin Avrahami,45
483,Andrei Dukhounik,45
483,Thomas Raskin,45
487,Bailey Parker,44
487,mustafaquraish,44
487,Georg Rottensteiner,44
487,glasir,44
487,Jay Bosamiya,44
492,lukechampine,43
492,paiv,43
492,Roman Elizarov,43
492,Sam Wang,43
492,Alexander Pfanne,43
492,Daniel,43
498,elu00,42
498,JacksonDonaldson,42
498,ZiyaZa,42
501,Aaron-Pierce,41
501,nicholasjma,41
501,Patrick Ammons ,41
501,KonaeAkira,41
505,Dylan Weber,40
505,Nathan Ye,40
507,Kevin Guo,39
507,MikeXander,39
507,BjornMagn,39
507,rec,39
507,Grazen0,39
507,Jesse van Elteren ,39
513,Andreas Björklund,38
513,Victor Minden,38
513,Liwei Cai,38
513,HertzDevil,38
517,mbingo,37
517,4yn,37
517,Daniel Dara,37
517,electraminer,37
517,HexDecimal,37
517,artem6,37
523,Alfred Birketvedt,36
523,anonymous user #1074674,36
523,Karl Jiang,36
523,Christofer Ohlsson ,36
523,richzli,36
523,Gymhgy,36
529,Zhan Xiong Chin,35
529,Jean-Francois Thuong,35
529,Paul Zagieboylo ,35
529,Ed Clayton,35
529,maneframe,35
529,JoeStrout,35
529,Brokkonaut,35
536,Daniel Yang,34
536,ggzor,34
536,Philipp Lenk,34
536,Marie Payne,34
536,Francisco Demartino,34
536,dionyziz,34
542,Adanakebapi,33
542,Milind Jain,33
542,Apollo,33
545,Shakya Majumdar,32
545,Dan Roche,32
545,btrotta,32
545,robinz62,32
545,Etienne Vouga,32
545,Jeremy Lee,32
545,Ash,32
545,Berke Inan Tol,32
553,LtHummus,31
553,Geronimo,31
553,thailandmatt,31
553,dwhatley19,31
553,anonymous user #647522,31
558,Greg Zborovsky,30
559,Salatmate,29
559,Kyle Toom,29
