position,user,score
1,betaveros,3521
2,anonymous user #1510407,2942
3,dan-simon,2934
4,jonathanpaulson,2754
5,tckmn,2710
6,leijurv,2707
7,Antonio Molina,2686
8,5space,2527
9,hyper-neutrino,2512
10,D. Salgado,2463
11,Nathan Fenner,2370
12,nthistle,2326
13,Ian DeHaan,2320
14,boboquack,2319
15,David Wahler,2279
16,bluepichu,2260
17,Carl Schildkraut,2163
18,Tim Vermeulen,2089
19,nim-ka,2061
20,Robert Xiao,1962
21,Michal Forišek,1946
22,Brandon Lin,1918
23,Oskar Haarklou Veileborg,1902
24,mrphlip,1794
25,Maxwell Zen,1787
26,Lewin Gan,1724
27,Joshua Chen,1716
28,mserrano,1691
29,Kirby703,1660
30,LegionMammal978,1630
31,connorjayr,1612
32,Patrick Hogg,1569
33,ZED.Charley William Thairo,1562
34,Oliver Ni,1542
35,Larry,1506
36,Kroppeb,1502
37,Anish Singhani,1485
38,Ryan Hitchman,1438
39,dtinth,1386
40,Vladislav Isenbaev,1316
41,Noble Mushtak,1243
42,Jan Verbeek,1240
43,xnkvbo,1239
44,Paul Draper,1208
45,Kami Leon,1200
46,Xavier Cooney ,1159
47,anonymous user #44119,1148
48,Golovanov399,1141
49,Martin Camacho,1134
50,mangoqwq,1132
51,Erik Amirell Eklöf,1126
52,alcatrazEscapee,1122
53,Jared Hughes,1105
54,Craig Gidney,1102
55,Neal Wu,1079
56,bcc32,1054
57,Kevin Sheng,1042
58,Zeyu Chen,1034
59,Gorane7,1017
60,SeanRBurton,1012
61,FillyAutomatic,1009
62,Tobias-Glimmerfors,993
63,GregorKikelj,992
64,Max Murin,924
65,Kye W. Shi,910
66,Ivan Galakhov,887
67,petertseng,882
68,Zack Lee,879
69,Adib Surani,876
70,vstrimaitis,855
71,Epiphane,851
72,Thomas Feld,824
72,Thomas Neill,824
74,zacharybarbanell,823
75,Andrey Anurin ,820
76,Yiming Li,816
77,Evan Zhang,813
78,Verulean,800
79,Joseph Durie,790
80,Benedikt Werner,781
81,hughcoleman,776
82,Balint R,770
83,Tris Emmy Wilson ,759
84,jebouin,751
85,Looking for blog readers!,739
86,ruuddotorg,738
87,rhendric,733
88,Gabriel Wu,731
89,Cyprien Mangin,726
90,anonymous user #60233,720
91,PoustouFlan,719
92,Akimitsu Hogge,716
93,Davis Yoshida,709
93,PikMike,709
95,evanphoward,685
96,msullivan,658
97,Markus Himmel,640
97,glguy,640
99,Jimmy Mårdell,637
100,Paweł Kubiak,618
101,anonymous user #637942,613
102,aropan ,604
103,Utkarsh Kukreti,600
103,Mercerenies,600
105,Timothy Mou,598
106,qpwoeirut,587
107,Steve Newman,578
108,JackMacWindows,565
109,Lydxn,561
110,btnlq,546
111,Jasper van Merle,541
112,Kevin Yap,538
113,tonghuikang,533
114,skaldskaparmal,531
114,Arcwise,531
116,Waffle,529
117,Joe L.,513
118,Tanner Hoke,497
119,Vince7778,488
120,Drew Boyuka,487
121,mrkeldon,483
121,Axel Brisse ,483
123,grhkm21,477
124,andriigrynenko,475
125,coolcomputery,468
126,Pedro Osório,467
127,PCSwingle,465
128,anonymous user #1565212,462
129,Justin Yokota,452
130,crazymerlyn,451
130,noblematt,451
132,Ritwin Narra,449
132,Alex Wice,449
134,Talchas,446
135,Ivan Kazmenko,443
136,Bradley He,442
136,andy-k,442
138,KevinL10,441
139,Hafnium780,440
140,Bennett Marsh,430
141,SizableShrimp,422
142,anonymous user #2724128,419
143,ellellie,415
144,djpohly,414
145,Max Jäger ,401
146,mayoff,393
147,ostwilkens,390
148,Sohom Sahaun,389
149,Jeffzycode,388
150,xiaowuc1,387
151,Sean Yawning,386
152,sciyoshi,385
152,etotheipi1,385
154,DayDun,382
154,Danny Lin,382
156,Maarten Sijm,381
157,Dylan Smith,378
158,Andrey Akhmetov ,369
