position,user,score
1,betaveros,2638
2,anonymous user #1510407,2073
3,hyper-neutrino,1982
4,dan-simon,1969
5,tckmn,1809
6,jonathanpaulson,1797
7,leijurv,1795
8,boboquack,1755
9,D. Salgado,1737
10,David Wahler,1736
11,nim-ka,1670
12,nthistle,1639
13,Antonio Molina,1597
14,Lewin Gan,1554
15,Ian DeHaan,1549
16,bluepichu,1503
17,Brandon Lin,1445
18,Carl Schildkraut,1431
19,5space,1427
20,mserrano,1418
21,Oskar Haarklou Veileborg,1398
22,Robert Xiao,1344
23,connorjayr,1320
24,Tim Vermeulen,1304
25,Joshua Chen,1295
26,LegionMammal978,1255
27,Nathan Fenner,1218
28,Anish Singhani,1157
29,Oliver Ni,1111
30,ZED.Charley William Thairo,1103
31,Larry,1099
32,Kroppeb,1088
33,Michal Forišek,1080
34,bcc32,1054
35,dtinth,1047
36,anonymous user #44119,1014
37,mrphlip,1008
38,Kirby703,1000
39,Patrick Hogg,997
40,Ryan Hitchman,982
41,Maxwell Zen,955
42,Craig Gidney,926
43,Paul Draper,918
44,Erik Amirell Eklöf,859
45,Kevin Sheng,848
46,Martin Camacho,845
47,Max Murin,832
48,Epiphane,831
49,Gorane7,826
50,mangoqwq,815
51,Evan Zhang,813
52,Noble Mushtak,798
53,Zeyu Chen,787
54,Ivan Galakhov,773
55,Tris Emmy Wilson ,759
56,Zack Lee,755
56,Kami Leon,755
58,petertseng,745
59,PoustouFlan,719
60,alcatrazEscapee,714
61,Kye W. Shi,708
62,hughcoleman,703
63,SeanRBurton,684
64,Jared Hughes,654
65,anonymous user #60233,640
66,Markus Himmel,637
67,FillyAutomatic,635
68,Neal Wu,634
69,xnkvbo,622
70,Vladislav Isenbaev,620
70,GregorKikelj,620
72,rhendric,582
72,Andrey Anurin ,582
74,Thomas Feld,571
75,Golovanov399,570
76,Xavier Cooney ,565
77,Jan Verbeek,558
78,Cyprien Mangin,548
79,jebouin,545
80,Davis Yoshida,540
81,Kevin Yap,538
82,PikMike,531
83,ruuddotorg,524
84,Tobias-Glimmerfors,521
85,Akimitsu Hogge,515
86,Joe L.,513
87,grhkm21,477
88,Steve Newman,476
89,Tanner Hoke,475
90,Yiming Li,466
91,anonymous user #1565212,458
92,Jasper van Merle,449
92,Ritwin Narra,449
92,Alex Wice,449
95,Mercerenies,448
96,Bradley He,442
97,Benedikt Werner,440
98,Axel Brisse ,433
99,Lydxn,428
99,Joseph Durie,428
101,Vince7778,427
102,zacharybarbanell,416
103,Pedro Osório,415
104,evanphoward,396
105,noblematt,391
105,anonymous user #637942,391
107,ostwilkens,390
108,Sohom Sahaun,389
109,Utkarsh Kukreti,387
109,Justin Yokota,387
109,xiaowuc1,387
112,sciyoshi,385
113,Verulean,377
114,crazymerlyn,375
115,btnlq,371
116,Andrey Akhmetov ,363
117,Thomas Neill,357
118,Timothy Mou,356
119,Waffle,353
119,JackMacWindows,353
121,Sunny Guan,351
122,msullivan,349
123,Arcwise,348
124,Ivan Kazmenko,346
125,quentinmit,333
126,Max Jäger ,332
127,anonymous user #217709,331
