position,user,score
1,betaveros,706
2,Oliver Ni,638
3,dan-simon,615
4,5space,607
5,Kroppeb,596
6,boboquack,556
7,hyper-neutrino,546
8,leijurv,525
9,Carl Schildkraut,520
10,jonathanpaulson,509
11,dtinth,503
12,mserrano,482
13,nthistle,477
14,Robert Xiao,465
15,Ian DeHaan,464
16,Anish Singhani,447
17,ZED.Charley William Thairo,437
18,nim-ka,429
19,Xavier Cooney ,393
19,Lewin Gan,393
21,ostwilkens,390
22,Tim Vermeulen,379
23,bluepichu,364
24,D. Salgado,363
25,Larry,358
26,bcc32,350
27,Oskar Haarklou Veileborg,348
28,tckmn,347
29,Martin Camacho,339
30,Kye W. Shi,335
31,anonymous user #1510407,334
32,Utkarsh Kukreti,323
33,Patrick Hogg,306
34,PoustouFlan,303
35,max-sixty,302
36,petertseng,297
37,Jasper van Merle,296
37,anonymous user #44119,296
39,connorjayr,289
40,Tris Emmy Wilson ,282
41,rhendric,270
42,anonymous user #2348523,258
42,David Wahler,258
42,Joshua Chen,258
45,Epiphane,256
46,Kevin Yap,249
47,Joe L.,245
48,Kami Leon,244
49,hughcoleman,238
50,Ryan Hitchman,234
51,Gorane7,232
52,Max Jäger ,231
53,kevinmchung,230
54,Zeyu Chen,225
55,Lydxn,221
56,Erik Amirell Eklöf,215
57,Ivan Galakhov,213
58,LegionMammal978,212
58,Adavya Goyal,212
60,mingmingrr,210
60,Bradley He,210
62,Antonio Molina,203
63,Nick Gavalas,199
64,Arrowbounce,197
65,sciyoshi,194
65,David Robinson,194
67,anonymous user #1047278,193
67,zacharybarbanell,193
67,Waffle,193
70,Bradley Louie,191
71,Alex Wice,189
72,Craig Gidney,187
73,Evan Zhang,185
73,mdlu,185
73,Brandon Lin,185
76,Nikhil Vijai,179
77,anonymous user #1565212,175
78,Geoffrey Kleinberg,174
79,Cyprien Mangin,173
80,sampai20,170
80,Maxwell Zen,170
82,anonymous user #60233,168
82,Lingrui Xie,168
84,KevinL10,165
84,Darragh Griffin,165
86,It's a Shill,164
87,hltk,163
88,Jan Verbeek,160
89,anonymous user #217709,158
89,Tanner Hoke,158
89,Thomas Feld,158
92,Kevin Sheng,154
93,HiggstonRainbird,153
94,dawninganchors,151
95,Noble Mushtak,148
96,mangoqwq,145
96,Miriam Vellacott,145
98,kejadlen,141
98,Roderic Day,141
100,Andriamanitra,140
101,oparkerj,134
102,anonymous user #677741,132
102,Nathan Fenner,132
104,christopher papke,131
105,chunkybanana,129
106,Pedro Osório,128
107,noblematt,125
108,Waleed Khan,124
109,Rem Zhang,123
110,Anthaleos,121
111,cefqrn,120
111,Branflakes2415,120
113,Vladislav Isenbaev,119
114,Axel Brisse ,118
115,Josiah Kiok,117
116,Zack Chroman,116
117,Tomas Rokicki,114
117,Luke M,114
119,Neal Wu,113
120,Davis Yoshida,112
120,flashmt,112
120,Olle Lapidus,112
123,Gabriel Wu,110
124,Defelo,104
125,Dylan Smith,103
125,Marco Poon,103
127,Joshua Dunbrack,102
127,Buck4437,102
127,GregorKikelj,102
130,@vince_vw,101
130,Qiqi Impact,101
130,Akimitsu Hogge,101
133,Maarten Sijm,99
134,Ethan C,97
135,Verulean,95
136,Nick Frost,93
137,Avarayr,92
138,anonymous user #672515,91
138,Svelte-Enthusiast,91
140,anonymous user #963181,90
141,Joseph Durie,89
142,anonymous user #1823456,88
142,mrphlip,88
142,The Friendly Enemy,88
142,lethan3,88
146,Lars Haulin ,87
146,Thomas,87
148,inthewaterwheel,86
149,Zack Lee,85
150,Natanaelel,84
151,Ethan Olpin,83
152,Samo Kralj,82
153,ajgrinds,81
154,Paul Draper,80
155,JuanPotato,79
155,Timothy Leong,79
155,Starwort,79
158,crazymerlyn,78
158,penteract,78
158,Coby Tran,78
161,Eduardo Quirino,77
162,etotheipi1,76
163,skanev,73
163,Matt Gruskin ,73
163,Looking for blog readers!,73
163,Andrey Akhmetov ,73
167,joshuaruegge,71
167,David Walker,71
169,Maggie Liu,67
170,The Penguin,66
170,Ivan Kazmenko,66
172,djpohly,65
172,Sean Yawning,65
172,Hafnium780,65
175,daviecar,64
175,Sunny Guan,64
175,Sudo-Ivan,64
178,asottile,63
178,Christian Cederquist,63
178,Shea Janke,63
178,tiger0132,63
182,Nnnes,62
183,msullivan,61
183,Andrew X. ,61
185,Johan Lindblad ,59
185,Alex Wen,59
187,Niraj Patel,58
187,thunder-red-star,58
189,Springo,57
189,Ritwin Narra,57
189,Bryan Kok,57
192,alcatrazEscapee,56
192,sanjay jayaram,56
192,Stovoy,56
195,BelgianSalamander,55
195,Sofapuden,55
197,mniip,52
197,coolcomputery,52
199,Hendrik Melse,51
200,jeffreykaili,50
200,James Stuart ,50
