position,user,score
1,betaveros,3693
2,dan-simon,3119
3,anonymous user #1510407,3042
4,Antonio Molina,2860
5,tckmn,2804
6,jonathanpaulson,2754
7,leijurv,2707
8,5space,2704
9,D. Salgado,2663
10,hyper-neutrino,2609
11,Nathan Fenner,2535
12,boboquack,2517
13,David Wahler,2459
14,bluepichu,2447
15,nthistle,2386
16,Carl Schildkraut,2358
17,Ian DeHaan,2320
18,nim-ka,2169
19,Robert Xiao,2110
20,Tim Vermeulen,2105
21,Michal Forišek,2096
22,mrphlip,1976
23,Brandon Lin,1962
24,Oskar Haarklou Veileborg,1902
25,mserrano,1886
26,Maxwell Zen,1832
27,Lewin Gan,1724
28,Joshua Chen,1716
29,Oliver Ni,1699
30,LegionMammal978,1694
31,Kirby703,1660
32,Kroppeb,1644
33,connorjayr,1612
34,Patrick Hogg,1569
35,ZED.Charley William Thairo,1562
36,Larry,1556
37,Anish Singhani,1515
38,Vladislav Isenbaev,1485
39,Ryan Hitchman,1438
40,dtinth,1386
41,Paul Draper,1325
42,Jared Hughes,1295
43,xnkvbo,1245
44,Noble Mushtak,1243
45,Jan Verbeek,1240
46,Kami Leon,1200
47,alcatrazEscapee,1170
48,FillyAutomatic,1167
49,Xavier Cooney ,1159
50,anonymous user #44119,1148
51,Golovanov399,1141
52,Martin Camacho,1134
53,mangoqwq,1132
54,Erik Amirell Eklöf,1126
55,Neal Wu,1121
56,Max Murin,1116
57,Craig Gidney,1105
58,SeanRBurton,1059
59,bcc32,1054
60,Kevin Sheng,1042
61,Zeyu Chen,1034
62,Gorane7,1017
63,Tobias-Glimmerfors,993
64,GregorKikelj,992
65,Joseph Durie,971
66,Kye W. Shi,910
67,Thomas Feld,906
68,hughcoleman,896
69,Ivan Galakhov,887
70,petertseng,882
71,Zack Lee,879
72,Adib Surani,876
73,vstrimaitis,855
74,Balint R,852
75,Epiphane,851
76,Thomas Neill,824
77,zacharybarbanell,823
78,Andrey Anurin ,820
79,Yiming Li,816
80,Evan Zhang,813
81,Verulean,800
82,Benedikt Werner,781
83,Tris Emmy Wilson ,759
84,Cyprien Mangin,755
85,jebouin,751
86,Looking for blog readers!,739
87,ruuddotorg,738
88,rhendric,733
89,Gabriel Wu,731
90,anonymous user #60233,720
91,PoustouFlan,719
92,Akimitsu Hogge,716
93,Davis Yoshida,709
93,PikMike,709
95,btnlq,703
96,evanphoward,685
97,msullivan,658
98,Mercerenies,657
99,skaldskaparmal,648
100,Markus Himmel,640
100,glguy,640
102,Jimmy Mårdell,637
103,Axel Brisse ,619
104,Paweł Kubiak,618
105,anonymous user #637942,613
106,aropan ,604
107,Utkarsh Kukreti,600
108,Timothy Mou,598
109,qpwoeirut,587
110,Steve Newman,578
111,Drew Boyuka,574
112,grhkm21,573
113,JackMacWindows,565
114,Lydxn,561
115,djpohly,556
116,Maarten Sijm,550
117,Jasper van Merle,541
117,coolcomputery,541
119,Kevin Yap,538
120,tonghuikang,533
121,Arcwise,531
122,Waffle,529
123,crazymerlyn,523
124,Joe L.,513
125,etotheipi1,510
126,Ivan Kazmenko,501
127,Tanner Hoke,497
128,Vince7778,488
129,noblematt,486
130,mrkeldon,483
130,Hafnium780,483
132,yuizumi,480
133,Adavya Goyal,478
134,andriigrynenko,475
135,Sean Yawning,471
136,Pedro Osório,467
137,PCSwingle,465
138,anonymous user #1565212,462
139,Tomas Rokicki,456
140,Justin Yokota,452
141,Ritwin Narra,449
141,Alex Wice,449
143,Talchas,446
144,Bradley He,442
144,andy-k,442
146,KevinL10,441
147,vash3r,431
148,Bennett Marsh,430
149,TimHuisman1703,422
149,SizableShrimp,422
151,anonymous user #2724128,419
152,tenth,417
153,ellellie,415
154,awychong,413
155,Max Jäger ,401
156,mayoff,393
157,ostwilkens,390
158,Sohom Sahaun,389
159,Bradley Louie,388
159,Jeffzycode,388
161,xiaowuc1,387
162,sciyoshi,385
163,DayDun,382
163,Danny Lin,382
165,abailey2020,381
166,twattanawaroon,379
167,Dylan Smith,378
168,Andrey Akhmetov ,369
169,Arrowbounce,364
170,hakiobo,359
171,mingmingrr,358
172,Shik Chen,357
173,The Friendly Enemy,355
174,Sunny Guan,351
175,RootCubed,343
175,quentinmit,343
177,lukechampine,339
178,ndimov,338
179,thuustalu,337
180,Måns Magnusson,335
181,int-e,333
182,anonymous user #217709,331
182,Sam Hindess,331
184,Darragh Griffin,330
185,flashmt,329
186,matthewmisiaszek,327
187,dllu,325
187,Brett Math,325
189,Starwort,321
190,UnrelatedString,318
190,Roman Elizarov,318
192,LyricLy,317
193,penteract,315
194,Ambrose Feinstein,308
195,key,306
196,Nikitosh,304
197,max-sixty,302
198,anonymous user #1047278,301
199,Erik Szalay,299
200,cup2of2tea ,297
201,hltk,295
201,Joshua Wise,295
203,Buck4437,293
204,dvbui,292
205,kejadlen,290
205,schmrlng,290
207,asottile,289
208,Nick Gavalas,286
208,tluo5458,286
210,David Harmeyer ,284
210,flocto,284
210,Ivan Krasilnikov,284
213,brandtmaynard,283
214,mdlu,279
214,anonymous user #2375057,279
216,oparkerj,278
217,1234abcdcba4321,276
217,blaumeise20,276
219,@koutaharu_,274
220,phucthg,273
221,It's a Shill,271
221,Niklas Sandén,271
223,twright0,270
224,Marko Tsengov,268
224,anonymous user #750627,268
224,JacksonDonaldson,268
227,Rohin Garg,267
228,kevinmchung,266
229,Loks-,264
229,Daniel Gu,264
231,the-glu ,263
232,Giacomo Stevanato,261
233,anonymous user #2348523,258
234,Alexander Haupt,257
235,Robert Pham,256
236,Proximity Trigger,254
237,Daniel Ng,250
238,tbodt,249
239,Lars Haulin ,247
240,Nick Liu,245
241,StarGazingHomies,244
241,anonymous user #2412806,244
241,Derek Liu,244
244,Mathijs Vogelzang,240
245,Shashank Bhatt,237
246,William Y. Feng,236
246,Bahnschrift,236
248,F2 ,235
248,VasilyDK,235
250,Tony Jiang,234
251,Springo,233
251,Miriam Vellacott,233
253,Nikhil Vijai,231
254,Martin “Cifko” Štefček,230
255,Andrew X. ,229
256,Joel Jonsson,228
256,Ivan Lukyanov,228
258,simonlindholm,226
258,ianhmarkowitz,226
260,Kevin Wang,225
260,jorendorff,225
262,Eric Yang,223
262,andrewcarlotti,223
264,meexwaal,221
265,Matt Gruskin ,218
266,sumeet,215
266,0e4ef622,215
268,Josef Minařík,214
269,seligman99,213
269,eniraa,213
271,Anthony Li,212
272,anominos,211
273,joefarebrother,206
274,miriam-rittenberg,204
274,Thomas Draper,204
274,Carson Graham,204
277,Virgile Andreani ,201
278,David Robinson,200
278,Matthew Low,200
280,JuanPotato,199
280,Theodore Spaide,199
282,lemonsoc,198
283,drougge,192
284,electraminer,189
284,bjebert,189
284,vtjeng,189
287,Toni Fadjukoff ,185
288,Ethan Olpin,184
289,Ethan,183
290,RundownRhino,182
291,geoffrey-wu,181
291,Özgün Özusta,181
293,Clockblocker,180
294,sampersand,179
295,RexBerry,178
296,Bailey Parker,177
296,Jonathan Ho ,177
298,jacobparish,176
299,anonymous user #975121,175
300,Geoffrey Kleinberg,174
301,Søren Fuglede Jørgensen,172
301,Allen Pei,172
301,Robert Spalek,172
304,Aaron ,171
305,sampai20,170
305,Colter,170
