position,user,score
1,betaveros,2986
2,anonymous user #1510407,2328
3,hyper-neutrino,2233
4,jonathanpaulson,2178
5,dan-simon,2169
6,David Wahler,2064
7,leijurv,2051
8,tckmn,1968
9,D. Salgado,1893
10,Antonio Molina,1887
11,boboquack,1851
12,nthistle,1825
13,5space,1754
14,nim-ka,1713
15,Carl Schildkraut,1705
16,Ian DeHaan,1700
17,Brandon Lin,1682
18,bluepichu,1613
19,Lewin Gan,1610
20,Tim Vermeulen,1511
20,Oskar Haarklou Veileborg,1511
22,Nathan Fenner,1466
23,connorjayr,1443
24,Michal Forišek,1426
25,Robert Xiao,1419
26,mserrano,1418
27,mrphlip,1383
28,Kroppeb,1321
29,LegionMammal978,1316
30,Anish Singhani,1299
31,Joshua Chen,1295
32,Oliver Ni,1189
33,ZED.Charley William Thairo,1173
34,Patrick Hogg,1154
35,Kirby703,1140
36,Maxwell Zen,1131
37,Larry,1099
38,Paul Draper,1092
39,Ryan Hitchman,1074
40,Craig Gidney,1060
41,Martin Camacho,1057
42,bcc32,1054
43,dtinth,1047
44,anonymous user #44119,1014
45,Noble Mushtak,987
46,xnkvbo,965
47,Kevin Sheng,935
48,Max Murin,924
49,Erik Amirell Eklöf,902
50,mangoqwq,899
51,Gorane7,895
52,Kami Leon,865
53,Vladislav Isenbaev,861
54,SeanRBurton,856
55,Ivan Galakhov,850
56,Jared Hughes,842
57,Epiphane,831
58,Evan Zhang,813
59,alcatrazEscapee,805
60,FillyAutomatic,800
61,Zeyu Chen,787
62,hughcoleman,776
63,Tris Emmy Wilson ,759
64,Zack Lee,755
65,Kye W. Shi,753
66,Jan Verbeek,750
67,petertseng,745
68,Golovanov399,740
69,PoustouFlan,719
70,GregorKikelj,709
71,Xavier Cooney ,664
72,Andrey Anurin ,656
73,Cyprien Mangin,652
74,anonymous user #60233,648
75,Markus Himmel,637
76,Neal Wu,634
77,jebouin,620
78,Davis Yoshida,619
79,Thomas Feld,618
80,Benedikt Werner,589
81,rhendric,582
82,Tobias-Glimmerfors,571
83,Thomas Neill,561
84,PikMike,550
85,Kevin Yap,538
86,Verulean,527
87,Joseph Durie,526
88,ruuddotorg,524
89,Akimitsu Hogge,515
90,Joe L.,513
90,zacharybarbanell,513
92,msullivan,491
93,grhkm21,477
94,Steve Newman,476
95,Tanner Hoke,475
96,Lydxn,467
96,Axel Brisse ,467
98,Yiming Li,466
99,Pedro Osório,464
100,Jimmy Mårdell,463
101,anonymous user #1565212,458
102,Timothy Mou,457
103,Jasper van Merle,449
103,Ritwin Narra,449
103,Alex Wice,449
106,Mercerenies,448
107,Bradley He,442
108,Justin Yokota,431
109,Vince7778,427
110,Gabriel Wu,425
111,mrkeldon,424
112,Looking for blog readers!,409
113,Max Jäger ,401
114,evanphoward,396
115,Paweł Kubiak,394
116,noblematt,391
116,anonymous user #637942,391
118,ostwilkens,390
119,Sohom Sahaun,389
120,Jeffzycode,388
121,Utkarsh Kukreti,387
121,xiaowuc1,387
123,sciyoshi,385
124,Waffle,383
125,Hafnium780,376
126,crazymerlyn,375
127,glguy,373
128,btnlq,371
129,Andrey Akhmetov ,369
130,Arrowbounce,364
131,Dylan Smith,363
132,JackMacWindows,353
133,Sunny Guan,351
134,andy-k,349
135,Arcwise,348
136,Ivan Kazmenko,346
137,djpohly,344
138,quentinmit,343
