position,user,score
1,betaveros,1815
2,dan-simon,1365
3,leijurv,1360
4,jonathanpaulson,1311
5,hyper-neutrino,1301
6,boboquack,1253
7,Ian DeHaan,1244
8,tckmn,1192
9,anonymous user #1510407,1189
10,5space,1150
11,Lewin Gan,1143
12,nim-ka,1127
13,mserrano,1094
14,Oliver Ni,1091
15,nthistle,1087
16,David Wahler,1074
17,Brandon Lin,1066
18,bcc32,1035
19,Carl Schildkraut,1025
20,Antonio Molina,1021
21,D. Salgado,970
22,Oskar Haarklou Veileborg,956
23,dtinth,948
24,Tim Vermeulen,944
25,bluepichu,929
26,Joshua Chen,921
27,LegionMammal978,906
28,Robert Xiao,888
29,Anish Singhani,843
30,anonymous user #44119,835
31,Larry,828
32,Kroppeb,812
33,Kirby703,811
34,Martin Camacho,787
35,connorjayr,747
36,Tris Emmy Wilson ,737
37,mrphlip,733
38,Kevin Sheng,728
39,ZED.Charley William Thairo,726
40,Evan Zhang,652
41,petertseng,604
42,Vladislav Isenbaev,580
43,Nathan Fenner,568
44,Gorane7,559
45,Patrick Hogg,558
46,Kami Leon,552
47,Paul Draper,540
48,Kevin Yap,538
49,Max Murin,512
50,mangoqwq,511
51,Ryan Hitchman,508
52,Noble Mushtak,502
53,Thomas Feld,499
53,Maxwell Zen,499
55,PoustouFlan,497
56,Ivan Galakhov,485
57,rhendric,483
58,Epiphane,474
59,Zeyu Chen,466
60,Kye W. Shi,459
61,anonymous user #1565212,458
62,Jasper van Merle,449
62,Ritwin Narra,449
64,Neal Wu,448
65,Jared Hughes,443
66,Davis Yoshida,440
67,Erik Amirell Eklöf,431
68,Joe L.,418
69,Bradley He,415
70,Akimitsu Hogge,408
71,Zack Lee,404
72,alcatrazEscapee,401
73,Craig Gidney,400
74,Xavier Cooney ,393
75,noblematt,391
76,ostwilkens,390
77,anonymous user #60233,388
78,Utkarsh Kukreti,381
79,Jan Verbeek,379
80,xnkvbo,377
80,Verulean,377
82,Andrey Akhmetov ,363
82,Justin Yokota,363
84,Waffle,353
85,hughcoleman,349
86,Michal Forišek,343
87,SeanRBurton,336
88,sciyoshi,332
88,Tanner Hoke,332
90,Axel Brisse ,321
91,Max Jäger ,319
92,ellellie,318
93,LyricLy,317
94,jebouin,312
95,JackMacWindows,305
96,max-sixty,302
97,anonymous user #1047278,301
97,djpohly,301
99,hltk,295
100,FillyAutomatic,294
100,Alex Wice,294
102,Arrowbounce,293
103,SizableShrimp,292
104,Drew Boyuka,284
105,GregorKikelj,282
106,Lydxn,280
107,mdlu,279
108,@koutaharu_,274
109,anonymous user #2724128,267
110,Markus Himmel,266
111,KevinL10,262
112,anonymous user #2348523,258
113,Pedro Osório,255
114,Daniel Ng,250
115,It's a Shill,249
116,Sunny Guan,245
116,Sohom Sahaun,245
118,Looking for blog readers!,241
119,the-glu ,240
120,Golovanov399,237
121,Buck4437,233
121,Miriam Vellacott,233
123,Gabriel Wu,232
124,Nikhil Vijai,231
124,zacharybarbanell,231
124,Cyprien Mangin,231
127,kevinmchung,230
128,David Harmeyer ,229
129,anonymous user #217709,226
129,Bradley Louie,226
131,Adavya Goyal,225
132,crazymerlyn,223
132,Dylan Smith,223
134,The Friendly Enemy,216
135,Robert Pham,215
136,Joseph Durie,214
137,Bennett Marsh,213
138,mingmingrr,210
138,Steve Newman,210
140,oparkerj,206
140,twright0,206
142,miriam-rittenberg,204
142,Thomas Draper,204
142,Carson Graham,204
145,phucthg,201
146,David Robinson,200
146,Matthew Low,200
148,Nick Gavalas,199
148,JuanPotato,199
150,lemonsoc,198
151,Sean Yawning,196
152,matthewmisiaszek,195
153,Eric Yang,194
154,sumeet,193
154,Benedikt Werner,193
156,xiaowuc1,191
157,asottile,189
157,bjebert,189
159,Adib Surani,188
159,flashmt,188
161,Ambrose Feinstein,186
162,Ethan Olpin,184
163,Starwort,183
163,anonymous user #2375057,183
165,sampersand,179
166,anonymous user #637942,178
167,Anthony Li,175
168,Geoffrey Kleinberg,174
169,Balint R,173
170,Maarten Sijm,172
170,Allen Pei,172
172,tenth,171
172,Aaron ,171
174,sampai20,170
174,Virgile Andreani ,170
176,lethan3,169
176,Phillip Rossi,169
178,Lingrui Xie,168
178,JosephHardman ,168
180,Nikitosh,165
180,Darragh Griffin,165
180,anonymous user #2412806,165
183,Anango Prabhat,164
184,Mercerenies,163
185,coolcomputery,162
185,Olle Lapidus,162
185,Adam Gausmann,162
188,geoffrey-wu,160
188,Arcwise,160
190,Søren Fuglede Jørgensen,159
191,Springo,158
192,ruuddotorg,157
192,dllu,157
194,HiggstonRainbird,153
195,Vince7778,152
195,PikMike,152
195,Andrew X. ,152
198,dawninganchors,151
198,Jonathan Ho ,151
200,anominos,149
201,andy-k,148
202,Coby Tran,147
202,PCSwingle,147
204,Kenneth Fitzgerald,146
205,alstonlo,145
205,flocto,145
207,Rowechen Zhong,144
208,tonghuikang,143
209,Andrew Jennings,142
210,kejadlen,141
210,Roderic Day,141
212,Andriamanitra,140
212,tluo5458,140
212,nigelzor,140
215,Rohin Garg,139
216,A5rocks,138
216,thuustalu,138
218,Talchas,137
219,etotheipi1,136
219,periodically-makes-puns,136
219,anonymous user #385893,136
222,Ben Hollows,135
223,anonymous user #677741,132
224,christopher papke,131
225,Ivan Kazmenko,130
225,Ari Wachtel,130
227,chunkybanana,129
227,Özgün Özusta,129
229,Matt Gruskin ,128
229,yuizumi,128
231,Waleed Khan,127
231,Defelo,127
231,Marcus Takvam Lexander,127
234,mrkeldon,126
234,InternetPerson10,126
234,James Berglund,126
237,JulesD,124
238,Rem Zhang,123
238,Colter,123
240,tiger0132,122
241,Anthaleos,121
241,Yancheng,121
241,quentinmit,121
244,cefqrn,120
244,Branflakes2415,120
246,penteract,118
246,Yiming Li,118
246,Martyn Smith ,118
249,Josiah Kiok,117
249,Matthew Ramina,117
249,Sneed's Feeduck and Seeduck,117
252,val tron,116
252,Zack Chroman,116
252,William Y. Feng,116
255,Martin “Cifko” Štefček,115
255,drougge,115
257,Tomas Rokicki,114
257,Luke M,114
257,evanphoward,114
260,Colton Pauderis,111
261,Sam Hindess,110
262,Joshua Dunbrack,107
262,Henrik Lehtonen,107
262,jakzo,107
265,Qiqi Impact,106
266,key,104
266,Ethan Chapman,104
268,Peter Dowdy,103
268,Marco Poon,103
268,Ethan Tillison,103
271,joefarebrother,102
271,Thomas Norris,102
273,@vince_vw,101
273,Bahnschrift,101
275,VJsong02,100
276,Alex Wen,99
276,msullivan,99
276,RundownRhino,99
276,Shashank Bhatt,99
276,blaumeise20,99
281,qpwoeirut,98
281,Sudo-Ivan,98
283,Ethan C,97
283,mayoff,97
285,TimHuisman1703,96
285,vstrimaitis,96
287,Marko Tsengov,95
287,seligman99,95
289,Hendrik Melse,94
289,Hafnium780,94
291,Nick Frost,93
292,Avarayr,92
292,David Sharick,92
294,anonymous user #672515,91
294,Andrey Anurin ,91
294,awychong,91
294,Svelte-Enthusiast,91
294,Shaunak Warty,91
294,Kevin Wang,91
294,UnrelatedString,91
294,Hunter Staiger,91
302,Tobias-Glimmerfors,90
302,anonymous user #963181,90
302,klange,90
302,AdamHe17 ,90
302,Paul Badour,90
307,anonymous user #1823456,88
308,Lars Haulin ,87
308,Thomas,87
308,Loks-,87
311,inthewaterwheel,86
311,LK,86
311,kjsatz,86
311,0e4ef622,86
315,Jordan H,85
315,jkseppan,85
315,xd y,85
315,Matteo Biasielli,85
315,Craig White,85
320,Natanaelel,84
320,RootCubed,84
320,Timothy Mou,84
323,Samo Kralj,82
323,Yoshiap,82
325,ajgrinds,81
325,yann-a,81
327,btnlq,80
328,Timothy Leong,79
328,Jay Foad,79
328,Gustav Westling,79
331,"Kin Fung, Nicholas Ko",78
331,clemdatacrunch,78
331,Lauri Kenttä ,78
334,Eduardo Quirino,77
334,vtjeng,77
334,Yenya,77
334,Danny Lin,77
338,almasip,76
338,Chicken-Bones,76
340,hakiobo,75
340,sahilbansal17,75
342,Spyabo,74
343,skanev,73
343,Shea Janke,73
343,Javier Blazquez,73
346,Paul McMullin,72
347,joshuaruegge,71
347,David Walker,71
347,Brian Dean,71
350,Minh Nguyen Quang,70
350,Niklas Sandén,70
352,monkeynova,69
352,anonymous user #171829,69
354,The Penguin,68
354,DLu,68
354,Jieruei Chang,68
354,ansvonwa,68
358,Maggie Liu,67
358,Ananthram Vijayaraj,67
358,Kai-Zhan Lee,67
361,danvolchek,66
361,Brett Math,66
363,Måns Magnusson,65
363,Max Sun,65
365,daviecar,64
365,nkitsaini,64
365,SalomonT82,64
368,Christian Cederquist,63
368,Oof,63
368,David Grosdemange,63
368,vash3r,63
368,StarGazingHomies,63
368,0sq,63
374,Nnnes,62
374,F2 ,62
374,jorisvr,62
374,Max Bowman,62
378,Jeffzycode,61
378,Thomas Neill,61
380,Mark Ladygo,60
380,Michael Truell,60
382,Johan Lindblad ,59
382,Ben,59
382,ezraft,59
382,Victor Chen,59
382,Jérémy Guillot,59
387,Niraj Patel,58
387,thunder-red-star,58
387,Max Friedman,58
387,TLSM,58
391,Sophie,57
391,Bryan Kok,57
391,Aadit Ambadkar,57
391,lilweege,57
395,sanjay jayaram,56
395,Stovoy,56
395,hamzahasann,56
395,grhkm21,56
399,BelgianSalamander,55
399,Sofapuden,55
399,Pakkapong Sricharoen,55
399,DayDun,55
399,Justin Jaffray,55
399,Tom van Dijk,55
405,mjh316,54
405,dvbui,54
407,Roman Chesnokov,53
407,twattanawaroon,53
409,mniip,52
410,anonymous user #1087784,51
410,tomstephen,51
412,jeffreykaili,50
412,James Stuart ,50
412,Emerald Block,50
415,Kostero,49
415,t6twotwo,49
415,CodingAP,49
418,piman51277,48
418,Willem Kaufmann,48
420,Cade Cuddy,47
420,Patrik Ivarsson,47
420,Sander van den Bergh,47
420,Joshua Wise,47
424,YIHAO ZHOU,46
424,jputlock,46
424,Henri Devillez,46
427,Evan Kwan,45
427,Benjamin Avrahami,45
427,Andrei Dukhounik,45
