position,user,score
1,betaveros,2986
2,jonathanpaulson,2370
3,anonymous user #1510407,2328
4,dan-simon,2289
5,hyper-neutrino,2233
6,David Wahler,2064
7,leijurv,2051
8,Antonio Molina,1970
9,tckmn,1968
10,5space,1947
11,D. Salgado,1893
12,boboquack,1851
13,nthistle,1825
14,nim-ka,1713
15,Carl Schildkraut,1705
16,Ian DeHaan,1700
17,Oskar Haarklou Veileborg,1694
18,Brandon Lin,1682
19,Tim Vermeulen,1639
20,bluepichu,1613
21,Lewin Gan,1610
22,Nathan Fenner,1568
23,Michal Forišek,1504
24,mserrano,1472
25,connorjayr,1443
26,Robert Xiao,1419
27,mrphlip,1383
28,Kroppeb,1321
29,LegionMammal978,1316
30,Anish Singhani,1299
31,Joshua Chen,1295
32,Maxwell Zen,1258
33,Kirby703,1232
34,Patrick Hogg,1217
35,Oliver Ni,1189
36,ZED.Charley William Thairo,1173
37,Noble Mushtak,1170
38,Larry,1099
39,Paul Draper,1092
40,Ryan Hitchman,1074
41,Craig Gidney,1060
42,Martin Camacho,1057
43,bcc32,1054
44,dtinth,1047
45,xnkvbo,1039
46,Kami Leon,1032
47,anonymous user #44119,1014
48,Erik Amirell Eklöf,993
49,Kevin Sheng,935
50,Max Murin,924
51,Jan Verbeek,909
52,mangoqwq,899
53,Gorane7,895
54,Jared Hughes,875
55,Vladislav Isenbaev,861
56,SeanRBurton,856
57,Ivan Galakhov,850
58,Epiphane,831
59,Evan Zhang,813
60,alcatrazEscapee,805
61,FillyAutomatic,800
62,Zeyu Chen,787
63,hughcoleman,776
64,Tris Emmy Wilson ,759
65,Zack Lee,755
66,Kye W. Shi,753
67,petertseng,745
68,Golovanov399,740
69,Xavier Cooney ,719
69,PoustouFlan,719
71,GregorKikelj,709
72,zacharybarbanell,675
73,anonymous user #60233,656
73,Andrey Anurin ,656
75,Cyprien Mangin,652
75,Yiming Li,652
77,Markus Himmel,637
78,Neal Wu,634
79,jebouin,620
80,Davis Yoshida,619
81,Thomas Feld,618
82,Akimitsu Hogge,599
83,Benedikt Werner,589
84,rhendric,582
85,Tobias-Glimmerfors,571
86,Thomas Neill,561
87,PikMike,550
87,evanphoward,550
89,Jimmy Mårdell,540
90,Kevin Yap,538
91,Verulean,527
92,Joseph Durie,526
93,ruuddotorg,524
94,Joe L.,513
95,glguy,505
96,msullivan,491
97,JackMacWindows,489
98,Axel Brisse ,483
99,grhkm21,477
100,Steve Newman,476
101,Tanner Hoke,475
102,Lydxn,467
103,Pedro Osório,464
104,anonymous user #1565212,458
105,Timothy Mou,457
106,Justin Yokota,452
107,Jasper van Merle,449
107,Ritwin Narra,449
107,Alex Wice,449
110,Mercerenies,448
111,Bradley He,442
112,Vince7778,427
113,Gabriel Wu,425
114,mrkeldon,424
115,tonghuikang,411
116,Looking for blog readers!,409
117,Max Jäger ,401
118,Paweł Kubiak,394
119,noblematt,391
119,anonymous user #637942,391
121,ostwilkens,390
122,Sohom Sahaun,389
123,Jeffzycode,388
124,Utkarsh Kukreti,387
124,xiaowuc1,387
126,sciyoshi,385
127,Waffle,383
128,Hafnium780,376
129,crazymerlyn,375
130,btnlq,371
130,Talchas,371
132,Andrey Akhmetov ,369
133,Arrowbounce,364
134,Dylan Smith,363
135,etotheipi1,352
136,Sunny Guan,351
137,yuizumi,349
137,andy-k,349
139,Arcwise,348
140,andriigrynenko,347
141,Ivan Kazmenko,346
142,djpohly,344
143,quentinmit,343
144,vstrimaitis,340
145,Drew Boyuka,334
146,anonymous user #217709,331
147,Darragh Griffin,330
148,flashmt,329
149,SizableShrimp,327
149,matthewmisiaszek,327
151,KevinL10,323
152,ellellie,318
153,Adib Surani,317
153,LyricLy,317
155,anonymous user #2724128,315
156,hakiobo,310
157,thuustalu,309
158,Balint R,307
159,Adavya Goyal,306
160,Ambrose Feinstein,304
161,TimHuisman1703,303
162,max-sixty,302
163,anonymous user #1047278,301
164,Sam Hindess,297
165,hltk,295
166,Erik Szalay,292
167,Nikitosh,288
168,coolcomputery,287
168,The Friendly Enemy,287
170,flocto,284
171,Sean Yawning,281
172,mdlu,279
172,anonymous user #2375057,279
174,oparkerj,278
175,Maarten Sijm,274
175,@koutaharu_,274
177,phucthg,273
178,It's a Shill,271
179,Tomas Rokicki,269
180,PCSwingle,267
180,Rohin Garg,267
182,penteract,261
183,qpwoeirut,259
183,twattanawaroon,259
183,aropan ,259
186,anonymous user #2348523,258
187,Alexander Haupt,257
188,Robert Pham,256
189,key,254
190,Nick Gavalas,253
191,Bennett Marsh,250
191,Daniel Ng,250
191,twright0,250
194,tenth,249
195,RootCubed,247
196,Starwort,246
197,kevinmchung,245
198,mingmingrr,241
199,lukechampine,240
199,the-glu ,240
199,dvbui,240
202,David Harmeyer ,237
203,VasilyDK,235
204,Springo,233
204,Buck4437,233
204,Miriam Vellacott,233
207,Nikhil Vijai,231
208,DayDun,230
209,Ivan Lukyanov,228
210,Bradley Louie,226
210,ndimov,226
210,ianhmarkowitz,226
213,Proximity Trigger,225
213,jorendorff,225
215,anonymous user #2412806,224
216,Eric Yang,223
217,Martin “Cifko” Štefček,222
218,0e4ef622,215
219,dllu,214
220,Anthony Li,212
221,cup2of2tea ,211
222,Joshua Wise,209
223,Måns Magnusson,206
224,miriam-rittenberg,204
224,Thomas Draper,204
224,Kevin Wang,204
224,Carson Graham,204
228,David Robinson,200
228,Matthew Low,200
228,Tony Jiang,200
228,Nick Liu,200
232,JuanPotato,199
233,lemonsoc,198
234,kejadlen,196
235,sumeet,193
236,drougge,192
237,mayoff,190
238,asottile,189
238,bjebert,189
240,Ethan Olpin,184
241,awychong,182
242,geoffrey-wu,181
243,sampersand,179
243,Shashank Bhatt,179
245,RexBerry,178
246,Lars Haulin ,176
247,Geoffrey Kleinberg,174
248,UnrelatedString,173
249,Søren Fuglede Jørgensen,172
249,Allen Pei,172
251,Aaron ,171
252,sampai20,170
252,Colter,170
252,Virgile Andreani ,170
252,Liwei Cai,170
256,lethan3,169
256,Phillip Rossi,169
256,skaldskaparmal,169
259,Lingrui Xie,168
259,JosephHardman ,168
261,William Y. Feng,167
262,Allen Wu,165
263,Anango Prabhat,164
264,simonlindholm,163
265,Olle Lapidus,162
265,Adam Gausmann,162
265,Loks-,162
265,Victor Chen,162
265,James Berglund,162
270,Jacob Smith,161
271,Danny Lin,160
272,Michael Goldwasser ,159
272,Josh Deprez,159
274,Luke M,157
274,Jonathan Ho ,157
276,kjsatz,156
276,Giacomo Stevanato,156
278,Matthew Ramina,154
279,HiggstonRainbird,153
279,F2 ,153
281,Andrew X. ,152
282,dawninganchors,151
283,Shik Chen,150
283,Derek Liu,150
285,anominos,149
285,Ayman Eltemmsahy,149
285,andrewcarlotti,149
288,Defelo,147
288,Coby Tran,147
288,anonymous user #1087784,147
291,Kenneth Fitzgerald,146
291,electraminer,146
293,alstonlo,145
294,Rowechen Zhong,144
295,vtjeng,143
295,4atj,143
297,Andrew Jennings,142
298,Roderic Day,141
298,jkseppan,141
300,Andriamanitra,140
300,tluo5458,140
300,nigelzor,140
303,A5rocks,138
304,periodically-makes-puns,136
304,anonymous user #385893,136
306,Lucas M.,135
306,Brian Dean,135
306,RundownRhino,135
306,Ben Hollows,135
310,anonymous user #750627,134
311,anonymous user #677741,132
311,xd y,132
311,Sean Watts,132
314,christopher papke,131
314,Ali Zahid Raja,131
316,Ahmed Siadomar,130
316,Ari Wachtel,130
318,chunkybanana,129
318,Özgün Özusta,129
320,Matt Gruskin ,128
320,Bahnschrift,128
320,Dev Thiru,128
323,Waleed Khan,127
323,joefarebrother,127
323,Marcus Takvam Lexander,127
323,Mark Ladygo,127
323,William Yue,127
328,Ben,126
328,InternetPerson10,126
330,Md Abedin,125
330,dkesler,125
332,JulesD,124
332,abailey2020,124
332,amri123,124
335,Rem Zhang,123
336,tiger0132,122
336,sorawit,122
336,Guillaume AMBAL,122
336,Joseph Gleason ,122
340,Anthaleos,121
340,val tron,121
340,Yancheng,121
340,Hunter Staiger,121
344,cefqrn,120
344,Branflakes2415,120
344,juliand665,120
347,Martyn Smith ,118
348,Josiah Kiok,117
348,Peter Dowdy,117
348,Sneed's Feeduck and Seeduck,117
351,monkeynova,116
351,Zack Chroman,116
351,Niklas Sandén,116
354,schmrlng,115
354,nkitsaini,115
356,jorisvr,114
357,Kyle Toom,111
357,Colton Pauderis,111
357,StarGazingHomies,111
360,LK,110
361,yann-a,109
361,Tanuj Khattar,109
361,Julian Bruyat,109
364,Joshua Dunbrack,107
364,Henrik Lehtonen,107
364,jakzo,107
364,maneframe,107
368,Qiqi Impact,106
369,Mathijs Vogelzang,104
369,Ethan Chapman,104
369,Herman Lauenstein,104
372,Marco Poon,103
372,rozbrajaczpoziomow,103
372,Ethan Tillison,103
375,Thomas Norris,102
375,Theodore Spaide,102
377,@vince_vw,101
377,Josef Minařík,101
379,VJsong02,100
379,asymmetricia,100
379,lavoiecsh,100
382,Alex Wen,99
382,blaumeise20,99
382,anonymous user #643312,99
385,Sudo-Ivan,98
385,halfbakedsneed,98
387,Ethan C,97
388,Roland Meertens ,96
389,Marko Tsengov,95
389,seligman99,95
389,int-e,95
392,Hendrik Melse,94
392,Ben Jacobson,94
394,Nick Frost,93
394,Jimmy Chen,93
396,Avarayr,92
396,icicl,92
396,WutPu,92
396,David Sharick,92
400,anonymous user #672515,91
400,skanev,91
400,Svelte-Enthusiast,91
400,Shaunak Warty,91
400,Chicken-Bones,91
405,anonymous user #963181,90
405,klange,90
405,AdamHe17 ,90
405,Paul Badour,90
405,anonymous user #6924,90
405,Jeremy Barton,90
411,CatThingy,89
412,anonymous user #1823456,88
412,Brett Math,88
414,Thomas,87
415,inthewaterwheel,86
415,Craig White,86
415,R Chambers,86
418,Jordan H,85
418,Matteo Biasielli,85
420,Natanaelel,84
420,Youssef,84
422,John Kesler,83
422,SalomonT82,83
422,Zach Farr,83
422,sun-bachung,83
422,tesselslate,83
427,Samo Kralj,82
427,Yoshiap,82
427,Sarah Shader,82
430,ajgrinds,81
430,Kelly Dance,81
432,Louis Wasserman ,80
432,Daniel Gu,80
432,Aurel,80
435,Timothy Leong,79
435,Jay Foad,79
435,Gustav Westling,79
435,sparkyb,79
439,"Kin Fung, Nicholas Ko",78
439,clemdatacrunch,78
439,Lauri Kenttä ,78
439,Graham White,78
439,Den Mukhametianov,78
444,Eduardo Quirino,77
444,Yenya,77
444,mich101mich,77
447,almasip,76
447,JacksonDonaldson,76
447,AxlLind,76
450,sahilbansal17,75
450,Nikita Gaevoy,75
452,Prabowo Djonatan,74
452,Spyabo,74
452,rHermes,74
455,Shea Janke,73
455,Javier Blazquez,73
455,brandtmaynard,73
455,Sa-So,73
459,Paul McMullin,72
459,anonymous user #387166,72
459,Chris Mohr,72
459,sparik,72
459,indiana aruvi ,72
459,VN_HH_01,72
465,joshuaruegge,71
465,David Walker,71
467,meexwaal,70
467,Andrei Dukhounik,70
467,Minh Nguyen Quang,70
467,Schobers ,70
467,athithya vengatesh ,70
467,kacperchromik,70
473,DLu,69
473,anonymous user #171829,69
475,The Penguin,68
475,Jieruei Chang,68
475,ansvonwa,68
475,jimscchen,68
475,Jason Wallace,68
480,Maggie Liu,67
480,Михаил Минков ,67
480,Roman Elizarov,67
480,Ananthram Vijayaraj,67
480,Kai-Zhan Lee,67
480,Guna Teja Yadavalli,67
480,HansAnonymous,67
487,danvolchek,66
487,Oleg Rudenko,66
487,Alexander Viklund,66
487,noryb009 ,66
487,Rohit Aahuja ,66
492,jacobparish,65
492,Max Sun,65
492,Meow Meow,65
492,anonymous user #2291947,65
496,daviecar,64
496,FeepingCreature,64
496,anonymous user #2269680,64
499,Christian Cederquist,63
499,Oof,63
499,David Grosdemange,63
499,vash3r,63
499,0sq,63
499,br-wa,63
499,eniraa,63
499,Jakob Degen,63
499,TecTrixer,63
508,Nnnes,62
508,nicholasjma,62
508,FliegendeWurst,62
508,Max Bowman,62
508,narpfel,62
513,anonymous user #975121,61
513,vincentwoo,61
513,Wallunen,61
513,Vijendra Reddy K ,61
513,Jeffrey H.,61
518,Michael Truell,60
518,dgarceau-spiria,60
520,Johan Lindblad ,59
520,ezraft,59
520,Jérémy Guillot,59
520,NovaSagittarii,59
520,Xiongqi ZHANG ,59
520,Muncho,59
526,Niraj Patel,58
526,thunder-red-star,58
526,Max Friedman,58
526,TLSM,58
530,Sophie,57
530,Bryan Kok,57
530,Aadit Ambadkar,57
530,lilweege,57
530,Etienne Vouga,57
530,Tom van Dijk,57
530,Misode,57
530,Yuvarajan ,57
530,Youssef El Zamzamy,57
530,Farhaan Beeharry,57
540,sanjay jayaram,56
540,Stovoy,56
540,hamzahasann,56
540,Apollo,56
540,Ajit Karthikeyan ,56
540,Arnav Jain,56
540,Chris Dziemborowicz,56
547,BelgianSalamander,55
547,Sofapuden,55
547,Pakkapong Sricharoen,55
547,Justin Jaffray,55
547,Muthu ,55
547,benni petur,55
553,mjh316,54
553,whaatt,54
553,John Qian,54
553,Benjamin E. Iserman,54
553,Nishtha Paul,54
553,yumtam kim,54
559,Roman Chesnokov,53
559,Mark Wen,53
559,Manish Kundu,53
559,anonymous user #2323408,53
559,Nurmaan Ramoly,53
564,mniip,52
565,tbodt,51
565,tomstephen,51
565,rkk1995 ,51
565,Swapnil Rane ,51
565,The0x539,51
570,jeffreykaili,50
570,James Stuart ,50
570,Emerald Block,50
570,Henrik Ygge,50
570,Lawrence Kesteloot,50
570,Béla Mérvadó,50
570,Ashton Russell ,50
570,anonymous user #2298442,50
578,Kostero,49
578,t6twotwo,49
578,CodingAP,49
578,vhermecz,49
578,Andres Alumets,49
578,Sathish Kumar J ,49
578,Abhimanyu Rathore,49
585,piman51277,48
585,Willem Kaufmann,48
585,Hiep Trinh,48
585,Aliaksei Danchanka ,48
589,Cade Cuddy,47
589,Patrik Ivarsson,47
589,Sander van den Bergh,47
589,anonymous user #195997,47
589,Shanmukha rao ,47
589,Isaac Kilbourne,47
595,YIHAO ZHOU,46
595,jputlock,46
595,Henri Devillez,46
595,Aravinthan Thangaraju ,46
599,Evan Kwan,45
599,Benjamin Avrahami,45
599,Thomas Raskin,45
599,umorjyoti ,45
599,Marcus Oscarsson,45
599,Sobhan Mohammadpour,45
605,Bailey Parker,44
605,mustafaquraish,44
605,Georg Rottensteiner,44
605,glasir,44
605,Jay Bosamiya,44
605,Michael Broughton,44
611,paiv,43
611,Sam Wang,43
611,Alexander Pfanne,43
611,Daniel,43
611,mb64,43
611,Ansab Gillani,43
617,elu00,42
617,ZiyaZa,42
617,AndersTornkvist,42
617,darklordwonton,42
621,Aaron-Pierce,41
621,1234abcdcba4321,41
621,Patrick Ammons ,41
621,KonaeAkira,41
625,Dylan Weber,40
625,Nathan Ye,40
625,Burlakov Nick,40
625,rakslice,40
625,Borichevskiy Kirill,40
625,ud2,40
625,Arpit Shukla,40
632,Kevin Guo,39
632,MikeXander,39
632,BjornMagn,39
632,rec,39
632,Grazen0,39
632,Jesse van Elteren ,39
632,David Philipson,39
632,Gregory M.,39
640,Andreas Björklund,38
640,Victor Minden,38
640,HertzDevil,38
640,Pankaj Jain,38
640,yusent,38
645,mbingo,37
645,4yn,37
645,Daniel Dara,37
645,HexDecimal,37
645,artem6,37
645,MeepMoop,37
645,Ron Huang,37
645,Tamil Mani ,37
653,Alfred Birketvedt,36
653,anonymous user #1074674,36
653,Dan Roche,36
653,Karl Jiang,36
653,Christofer Ohlsson ,36
653,richzli,36
653,Gymhgy,36
653,Herman,36
661,Zhan Xiong Chin,35
661,Jean-Francois Thuong,35
661,Paul Zagieboylo ,35
661,Ed Clayton,35
661,JoeStrout,35
661,Murray Edwards,35
661,Brokkonaut,35
661,Zhenjian Yang,35
661,Manikandan Krishnamoorthy ,35
670,Daniel Yang,34
670,ggzor,34
670,Philipp Lenk,34
670,Marie Payne,34
670,Francisco Demartino,34
670,dionyziz,34
670,Adrien Pyke,34
670,Dave Buchfuhrer ,34
670,Dovydas Vadišius,34
670,@shivamm17058529 ,34
680,Adanakebapi,33
680,Milind Jain,33
680,alexandre-clement-46,33
680,Gaurav Kakkar ,33
680,Allan Taylor,33
685,Shakya Majumdar,32
685,btrotta,32
685,robinz62,32
685,Jeremy Lee,32
685,Ash,32
685,Berke Inan Tol,32
685,raiju,32
685,Kenneth Jensen,32
685,Benjamin Yu,32
694,LtHummus,31
694,Geronimo,31
694,thailandmatt,31
694,dwhatley19,31
694,drysle,31
694,anonymous user #647522,31
694,Solq r,31
694,Ikenna,31
702,Greg Zborovsky,30
702,Alexander Pivovarov,30
702,coff33Overflow,30
702,Wilco Kusee,30
706,Salatmate,29
706,DY J (JDY),29
706,WW92030,29
706,Adam Zacharski,29
706,Raj Rusia ,29
706,anonymous user #439987,29
712,phoyh,28
712,harrison truscott,28
712,Ryan Dewey,28
712,rotanov,28
712,David Whittaker ,28
717,andersonw,27
717,ictrobot,27
717,xal-0,27
717,David Lee,27
717,Brian Zhou ,27
717,wkoder,27
723,ignat-z,26
723,George Zhou,26
723,Darwin,26
723,nostalgiaguy,26
723,akmez muhammad,26
728,lightseba,25
728,Yannick Spreen,25
728,NoHax JustPi,25
728,Eddy Chen,25
728,anonymous user #22105,25
728,Paul Foster,25
728,harpocrates,25
728,Ivan Wei,25
736,Ross Newman,24
736,Toni Fadjukoff ,24
736,Jimmy Ding,24
736,anonymous user #614991,24
740,sin-ack,23
740,anonymous user #1132516,23
742,isnbh0,22
742,shinyclovers,22
742,NoCondomChris,22
742,Himanshu Jaju,22
742,Pavel Egorov,22
742,AC-Dap,22
