user,p1_position,p1_time,p2_position,p2_time
Romain Bourjot ,1,6,,
RangerMcSexy,2,13,4,46
KedharnadhKamatham,3,13,1,25
fromthebits ,4,22,3,41
ChristophGreger,5,26,2,37
Zedespook,6,30,5,53
adlaiCarmona,7,33,19,93
Muhammad Arham ,8,35,8,70
Lex Moulton,9,37,7,70
anonymous user #302636,10,37,12,78
Alexander Fu,11,37,14,83
Duro,12,39,9,73
Jonas Haller,13,41,11,77
138 Aspen,14,41,15,84
Małgorzata Kozłowska,15,44,16,85
KrzaQ,16,45,29,111
ClaudioPal20,17,47,55,147
@Dusknt,18,47,20,95
Muhammad Qurban,19,48,18,89
Muhammad Hamza Hassaan,20,49,17,86
CodeNinja ,21,50,44,128
Unban Betsymp,22,50,10,77
Peter Cullen Burbery,23,52,13,81
Sana Raza,24,53,22,100
Saqlain Abid,25,54,32,114
a-e-k,26,55,,
Muhammad Mubashir,27,55,36,123
James Sorenson,28,55,21,98
hugoromerorico,29,56,6,62
GregorPorsch,30,57,24,101
Himanshu Shekhar,31,57,34,119
sihagujjwal ,32,58,37,123
Francesco Paolo Piga,33,61,23,100
Sharjeel Ahmad,34,61,,
Jim Roberts,35,63,26,108
Alex Steele,36,63,27,108
Alvar Soome,37,63,40,125
Kirill Lisenkov,38,63,,
"Chelliah, Jawahar Santhoshkumar",39,63,38,123
Chinnu B,40,64,90,186
Fatima Malik,41,64,25,103
marouane tayab,42,68,31,113
ADITYA VERMA (RA2211027010019),43,69,43,126
Muhammad Ibrahim Qasmi,44,69,48,136
anonymous user #3615097,45,69,,
muhammad bilal,46,70,56,147
5space,47,71,28,109
Neel Shukla,48,73,50,139
nim-ka,49,75,82,175
Nagendra1421 ,50,75,66,161
Asuka Minato,51,76,59,151
destryptor,52,78,39,125
Subhi Pandey,53,78,33,116
Hein Van der Merwe,54,79,41,125
mattsoh,55,81,,
anonymous user #778977,56,82,47,133
sonivi,57,82,42,126
zdu863,58,83,99,195
Suraj Singh,59,84,,
Chara,60,85,58,151
Alexandr Trifonov,61,85,,
Ad1tya-007,62,85,80,173
Olof Petterson,63,86,,
Alex Hellings,64,87,51,140
Kosikowski ,65,88,92,187
Ferdinand Davidenko,66,88,46,131
Alexandra Murzina,67,89,85,180
Daniel Yang,68,89,,
radres,69,89,,
Alexander Salmin ,70,89,52,141
swhitt,71,90,,
Daniel Huang,72,93,,
Tristan Sharma,73,95,95,188
Gabriele Bosoni,74,95,78,171
Jérémy Guillot,75,95,86,181
ashwini bs,76,95,89,185
bluepichu,77,98,73,167
mocy,78,98,,
Hunter Gould,79,98,72,166
tesselslate,80,99,45,129
rcghpge,81,99,83,178
RootCubed,82,99,77,170
Владислав Быконь,83,100,,
Anthony Bondarenko,84,100,65,160
samina-if,85,101,69,163
anonymous user #3394841,86,102,30,111
anonymous user #4804885,87,105,57,150
Muhammad Qasim,88,106,60,153
Saikat Das,89,106,,
Brendon Thiede,90,107,,
Simon,91,108,98,191
Dominick Han,92,109,100,196
andrew xu,93,109,53,143
oPeras1,94,111,75,169
grkozlowski,95,111,35,121
Muhammad Arslan,96,112,,
Michael Broughton,97,112,,
SHUBHI VERMA,98,113,79,172
Nathan Fenner,99,113,62,158
SeanRBurton,100,114,61,154
Sean Yawning,,,49,136
anonymous user #4845866,,,54,145
the-chenergy,,,63,159
Oskar Haarklou Veileborg,,,64,160
sachin-handiekar ,,,67,161
Tayyab Sajjad,,,68,163
Neal Wu,,,70,164
anonymous user #4697958,,,71,164
Ahmad Fakhar,,,74,168
anonymous user #60233,,,76,169
Tuan Minh Ngo,,,81,174
Kevin Sun,,,84,179
kshxtij,,,87,183
Maha Zainab,,,88,183
Ankit Mohanty,,,91,187
kkmonlee,,,93,187
Taha Mehmood,,,94,188
Lydxn,,,96,189
Sascha Jäger,,,97,189
