user,p1_position,p1_time,p2_position,p2_time
Jodi Diffey,1,578,,
jonathanpaulson,2,769,,
tckmn,3,903,,
mserrano ,4,953,,
Lovemathboy H,5,1139,,
Kevin Sun,6,1178,51,3084
Kirby703,7,1184,,
Kevin Sheng,8,1186,,
Erik Amirell Eklöf,9,1284,,
dan-simon,10,1356,1,1381
mrphlip,11,1362,89,3597
Michael Kolupaev,12,1423,,
hyperneutrino,13,1461,16,2625
Michael Noronha,14,1472,,
anonymous user #44119,15,1499,,
mayoff,16,1510,,
Andrew X. ,17,1538,,
glguy,18,1549,,
boboquack,19,1551,5,2147
Egor Kulikov ,20,1558,2,1870
Maarten Sijm,21,1580,,
Ben Zydney,22,1581,35,2952
Daniel Anker Hermansen,23,1599,,
Neal Wu,24,1599,,
5space,25,1653,87,3567
Gaurav Gosain,26,1674,,
Joseph Durie,27,1684,,
Nathan Fenner,28,1744,65,3268
anonymous user #1510407,29,1768,,
nthistle,30,1779,,
myaltaccountsthis,31,1802,,
Mathias Rav,32,1811,,
abailey2020,33,1815,3,1998
David Sharick ,34,1816,,
ishmeals,35,1828,,
ZED.Charley William Thairo,36,1830,10,2455
@AlexSkidanov,37,1833,,
Kevin Yap,38,1877,,
Brian Liu,39,1881,,
WYXkk,40,1890,6,2173
NovaSagittarii,41,1907,,
bcai2,42,1914,,
Dan Schafer,43,1917,,
PigeonBar,44,1918,,
Hansen Wu,45,1922,,
XeroOl ,46,1923,,
anonymous user #2001399,47,1945,,
Joshua Kramer ,48,1959,,
XHRogerCao,49,1975,4,2025
MyAngelMiraidon,50,1981,,
Paul McMullin,51,1989,,
Evan Kwan,52,1991,,
nim-ka,53,2001,,
이현준,54,2031,,
WutPu,55,2052,,
SanguineChameleon,56,2056,,
ndimov,57,2078,,
Noble Mushtak,58,2094,,
Ritwin Narra,59,2099,,
Robert Nies,60,2100,80,3490
Footkick72,61,2107,,
anonymous user #4358356,62,2119,,
Samuel Koribanič,63,2126,98,3665
Vincent van der Weele,64,2135,,
saulrh,65,2144,,
Mateusz,66,2152,,
Anango Prabhat,67,2160,,
Golovanov399,68,2168,8,2334
Roman Elizarov,69,2171,9,2382
🌁🚑 ,70,2172,,
Yiming Li,71,2173,,
Evgeniy Krasko,72,2182,,
Renette Ros,73,2190,,
TheEscapeGuy,74,2205,,
Justin Yokota,75,2212,7,2234
twattanawaroon,76,2224,,
Mr Thimoté,77,2225,,
Aidan Keighron,78,2227,,
James Sorenson,79,2247,29,2888
Ahmed Siadomar,80,2248,,
Peter Aisher,81,2253,,
Paul Draper,82,2255,,
Kroppeb,83,2273,,
Jeroen Op de Beek,84,2279,,
Dominick Han,85,2291,,
Harry Zhang,86,2291,,
Maks Verver,87,2295,,
Md Abedin,88,2305,,
zacharybarbanell,89,2306,19,2679
Sobhan Mohammadpour,90,2308,,
Ken Gene Quah,91,2311,,
Slypy06,92,2313,,
Vince7778,93,2314,22,2723
Etienne Vouga ,94,2333,12,2548
anonymous user #289309,95,2346,,
rhendric,96,2349,,
Timothy Earley,97,2360,,
bjebert,98,2364,,
Martin “Cifko” Štefček ,99,2370,,
Kevin Guo,100,2373,,
SeptaCube,,,11,2474
ericlovesmath,,,13,2581
Neel Shukla,,,14,2601
Alexander Haupt,,,15,2607
Paras Ningune,,,17,2641
Charles Lien,,,18,2662
Alex Steele,,,20,2699
Victor Cheong,,,21,2719
Subhargh,,,23,2725
Peter Cullen Burbery,,,24,2775
Satya Jhaveri,,,25,2839
lmBored,,,26,2850
David Whittaker ,,,27,2856
Michael Broughton,,,28,2878
dnialh,,,30,2891
Hunter Gould,,,31,2912
Chara,,,32,2935
Saqlain Abid,,,33,2940
Jorn de Jong,,,34,2945
KedharnadhKamatham,,,36,2961
Sreekanth Krishnankutty,,,37,2977
kkmonlee,,,38,2991
RangerMcSexy,,,39,2992
savvamadar,,,40,2995
porrige51122,,,41,3007
Małgorzata Kozłowska,,,42,3012
@Dusknt,,,43,3014
Sourabh Raj Jaiswal,,,44,3039
MartinJanev,,,45,3058
Moaz Alimi,,,46,3063
Yegor Stepanov,,,47,3069
tluo5458,,,48,3072
grkozlowski,,,49,3073
Aayushman Kumar,,,50,3076
Martin,,,52,3085
anuragmuxui,,,53,3088
msullivan,,,54,3099
Astrid Lauenstein,,,55,3117
Ricard Mattéo,,,56,3134
Muhammad Arham ,,,57,3175
CosimoTiger,,,58,3196
Krentin Naidoo,,,59,3197
Duro,,,60,3201
TallPeppermintMocha,,,61,3204
Simon,,,62,3215
NullDev // Chris,,,63,3225
Alexander Salmin ,,,64,3237
chunkybanana,,,66,3295
Владислав Быконь,,,67,3313
Derek Liu,,,68,3316
SHUBHI VERMA,,,69,3330
Valokoodari,,,70,3358
Bram Hagens,,,71,3361
Ferdinand Davidenko,,,72,3394
Schobers,,,73,3401
Support Palestine,,,74,3404
safwaahmad,,,75,3417
Thomas CARTON,,,76,3455
Nauman Khalid,,,77,3461
Anjana S,,,78,3468
Mario Mottl,,,79,3486
dia-Chann,,,81,3501
sihagujjwal ,,,82,3511
Mim van den Bos,,,83,3522
ChrisLomont,,,84,3528
Nirvaan Vidyasagar,,,85,3535
anonymous user #1569907,,,86,3552
Aldeesh P Rayan,,,88,3580
anonymous user #4657629,,,90,3626
Ciaran Treanor,,,91,3628
angeljohn0523,,,92,3631
Måns Magnusson,,,93,3644
oPeras1,,,94,3661
peterthegreat,,,95,3661
sigttou,,,96,3664
Alican Gök,,,97,3665
Maha Zainab,,,99,3673
Jennifer,,,100,3683
