user,p1_position,p1_time,p2_position,p2_time
hugoromerorico,1,12,,
fromthebits ,2,21,,
ChristophGreger,3,24,,
RangerMcSexy,4,26,,
BrandenXia,5,34,,
Jonas Haller,6,34,,
caporalCoder,7,43,,
Neel Shukla,8,45,,
ShuBan,9,48,,
anonymous user #297891,10,48,,
Alvar Soome,11,49,,
Manh Vu van,12,53,18,534
sonivi,13,54,,
138 Aspen,14,57,,
xerk-dot,15,58,,
ClaudioPal20,16,59,,
AaQib Ali,17,59,,
GregorPorsch,18,59,,
atharvwani01 ,19,60,,
anonymous user #4697958,20,61,,
marouane tayab,21,61,,
Ferdinand Davidenko,22,62,,
Duro,23,62,2,195
secemp9,24,63,,
Zedespook,25,65,,
Subhargh,26,66,,
Fahad Abbas,27,66,,
Sreekanth Krishnankutty Nair,28,66,,
anonymous user #778977,29,67,1,133
oPeras1,30,67,,
Francesco Paolo Piga,31,70,,
muhammad bilal,32,70,39,701
Ahmad Fakhar,33,70,38,692
Alex Steele,34,71,97,945
CodeNinja ,35,73,,
Muhammad Qurban,36,74,,
eniraa,37,75,,
Anurag Negi,38,75,,
@Dusknt,39,77,,
samina-if,40,78,,
Tayyab Sajjad,41,81,58,827
anonymous user #3394841,42,83,,
Asuka Minato,43,83,,
Tayyab Zain,44,83,,
Reza Rezvan,45,85,4,386
Chander Balu,46,85,7,404
Chara,47,87,,
balaraju vadde,48,94,86,906
lovelyboon,49,94,,
Lex Moulton,50,96,,
sihagujjwal ,51,97,,
Mykyta Kharkevych,52,97,,
AndrejStratmann,53,98,,
Michael,54,99,,
Sumaiya Ansari ,55,100,,
Birb-png,56,101,,
Kosikowski,57,101,,
Andras Barthazi,58,104,,
Palash Sharma,59,106,,
Alexander Salmin ,60,108,,
Muhammad Ibrahim Qasmi,61,112,20,544
anonymous user #302636,62,113,,
Małgorzata Kozłowska,63,113,,
looluo,64,117,,
zdu863,65,119,,
anonymous user #4657629,66,119,,
Sean Goh,67,120,,
ayush rathore,68,122,8,409
Arbind Kumar Singh,69,122,,
sachin-handiekar ,70,123,26,587
anonymous user #196724,71,123,,
heavykenny ,72,124,,
James Sorenson,73,128,,
3kh0,74,128,,
Himanshu Shekhar,75,132,,
anonymous user #1569907,76,133,44,732
Fatima Malik,77,136,,
Alen Koso ,78,139,,
gaubes,79,148,19,541
Venkatesh Akula,80,149,,
Alexandra Murzina,81,152,,
5space,82,154,43,707
Anuja,83,156,5,400
Maha Zainab,84,160,84,901
@webdesignguru,85,160,,
Hunter Gould,86,160,,
keenua,87,164,,
abc cde,88,166,,
Alexander Mikhailov,89,167,,
emmertgergo,90,170,,
Steven Grond ,91,171,,
Venkat Rao,92,174,29,670
anonymous user #4780138,93,174,,
Amid Learner,94,177,,
Justin Watts,95,178,,
mocy,96,178,,
Mathias Rav,97,181,,
anonymous user #60233,98,182,,
hannes-lantz,99,183,,
dan-simon,100,186,6,401
spaceybread,,,3,340
bluepichu,,,9,412
Zaid Alsaqabi ,,,10,416
lmBored,,,11,459
nthistle,,,12,475
Jan Verbeek,,,13,487
Hein Van der Merwe,,,14,488
Adavya Goyal,,,15,512
Hip-po,,,16,518
ExileStudios,,,17,531
Nathan Fenner,,,21,578
Daniel Huang,,,22,578
István Katsányi,,,23,583
Kirby703,,,24,583
CypherGuy,,,25,585
Anthony Li,,,27,616
Jasper van Merle,,,28,624
Noble Mushtak,,,30,671
Kevin Sun,,,31,674
boboquack,,,32,677
rrose11,,,33,677
Yoshiap,,,34,679
@AlexSkidanov,,,35,682
bWanShiTong,,,36,687
andrewcarlotti,,,37,689
csjh,,,40,703
dzaima,,,41,703
cros107,,,42,704
Michael Broughton,,,45,736
BlockOG,,,46,754
Tomáš Pavlík,,,47,760
Jennifer,,,48,766
dnialh,,,49,796
Simon,,,50,796
mrphlip,,,51,797
Satya Jhaveri,,,52,798
peterthegreat,,,53,799
Etienne Vouga ,,,54,809
Sean Yawning,,,55,809
Evan Kwan,,,56,816
mangoqwq,,,57,824
Grassi B,,,59,835
Derek Liu,,,60,841
Souhardya Ghosh,,,61,844
ishmeals,,,62,845
Vince7778,,,63,846
NickKrasss,,,64,852
Arrowbounce,,,65,855
0xMimir,,,66,857
petertseng,,,67,863
anonymous user #2011818,,,68,866
Saqlain Abid,,,69,866
geronimo754,,,70,867
MarcdeFalco,,,71,869
anonymous user #680872,,,72,870
jmgs,,,73,871
fastfouriertransfem | o7 Fauna,,,74,873
Valokoodari,,,75,875
Alexander Haupt,,,76,878
Lydxn,,,77,886
Qing Su,,,78,894
jwseph,,,79,896
penteract,,,80,896
Astrid Lauenstein,,,81,897
yann-a,,,82,901
Paul Draper,,,83,901
Leo,,,85,902
etotheipi1,,,87,906
mrkeldon,,,88,913
Jane Yu,,,89,921
cqzou,,,90,925
Gbox4,,,91,927
TimHuisman1703,,,92,928
tckmn,,,93,932
Vireth,,,94,933
Sumudu Fernando ,,,95,937
Zel,,,96,941
JustinZhengBC,,,98,946
Ian O'Donnell,,,99,947
Drew Barnes,,,100,948
