user,p1_position,p1_time,p2_position,p2_time
John Cornwell,1,9,,
anonymous user #4697958,2,16,1,33
Peppa Li,3,17,,
Stephen Olano,4,21,4,78
ChristophGreger,5,22,3,56
tgudlek,6,22,2,46
u4sef,7,24,,
Jonas Haller,8,28,,
Michael Peters,9,29,14,160
Roland,10,30,,
BrandenXia,11,30,,
Justin Wang,12,31,,
Christian G,13,32,20,184
secemp9,14,32,85,349
fromthebits ,15,33,,
hugoromerorico,16,34,,
RangerMcSexy,17,37,,
anonymous user #4440798,18,38,,
Kedhar,19,39,,
Manoli Liodakis,20,39,,
anonymous user #302636,21,40,,
Madhusudhan Reddy Yerragudi,22,41,,
Andrew Liu,23,42,31,224
DC,24,42,,
anonymous user #778977,25,43,,
Bikatr7,26,44,9,145
Zedespook,27,45,,
anonymous user #4454326,28,46,,
Alex Steele,29,48,13,155
Michael Broughton,30,49,39,255
rohit746,31,49,,
sonivi,32,49,,
abc cde,33,51,,
Muhammad Arham ,34,51,68,320
Małgorzata Kozłowska,35,53,66,317
twinysam,36,53,36,252
caporalCoder,37,54,5,100
Maha Zainab,38,55,,
NantusGroenewald,39,56,,
ShuBan,40,56,,
shibbo,41,57,,
Alen Koso ,42,57,,
marouane tayab,43,57,,
looluo,44,57,,
AndrejStratmann,45,58,,
Vaishnav Prabukumar,46,59,,
radres,47,59,,
Mxz-11,48,63,,
kkmonlee,49,63,,
Neel Shukla,50,64,87,351
markoub,51,65,,
James Sorenson,52,66,,
anonymous user #4456307,53,67,18,177
YUGANDRAN B (RA2211003011715),54,67,8,138
Tayyab Sajjad,55,67,33,230
anonymous user #4593423,56,68,,
fraito,57,69,,
Nagendra1421 ,58,70,,
Phalit Jotwani,59,70,,
Sreekanth Krishnankutty Nair,60,71,6,121
Hunter Gould,61,71,12,150
eniraa,62,71,,
muhammad bilal,63,72,7,132
138 Aspen,64,72,51,292
anonymous user #1569907,65,73,,
Nguyen Gia Khanh,66,73,,
Laurens Profittlich,67,73,,
mocy,68,73,,
Suraj Singh,69,73,,
oPeras1,70,74,,
Dhruv Kangarla,71,75,,
Ankit Mohanty,72,75,,
Alexandra Murzina,73,76,81,344
Francesco Paolo Piga,74,77,,
Reza Rezvan,75,78,,
Nauman Khalid,76,78,,
Javier Hernáez ,77,78,,
Alvar Soome,78,78,17,176
ayush rathore,79,80,,
röb,80,80,11,150
AaQib Ali,81,80,,
"Chelliah, Jawahar Santhoshkumar",82,80,,
ashwini bs,83,80,34,243
Muhammad Arslan,84,81,,
anonymous user #4422568,85,81,,
Muhammad Ibrahim Qasmi,86,83,23,198
Alexander Fu,87,86,,
Fareed Khan,88,86,15,161
Peter Cullen Burbery,89,86,,
Tomislav Balabanov ,90,87,,
michaelerne,91,88,,
Vansh Bataviya,92,89,21,192
Ahmad Fakhar,93,90,30,210
Muhammad Qurban,94,91,,
Nikolay Chikin,95,92,,
anonymous user #4657629,96,93,,
Lex Moulton,97,93,,
Himanshu Shekhar,98,93,,
Simon,99,95,25,202
Muhammad Qasim,100,96,22,193
Kusum gupta,,,10,148
Chara,,,16,173
anonymous user #1183181,,,19,180
5space,,,24,199
nexxeln,,,26,205
anonymous user #4327221,,,27,206
dan-simon,,,28,206
Mathias Rav,,,29,210
Nathan Fenner,,,32,229
Daniel Huang,,,35,244
Ritwin Narra,,,37,254
Hayzam Sherif,,,38,255
Anthony Bondarenko,,,40,255
nim-ka,,,41,261
abailey2020,,,42,261
anonymous user #60233,,,43,268
anonymous user #1510407,,,44,268
pil0u,,,45,268
Zack Lee,,,46,272
Lydxn,,,47,282
glguy,,,48,284
OroArmor,,,49,288
veehz,,,50,292
Maks Verver,,,52,293
Adavya Goyal,,,53,297
Abraham Linares,,,54,297
boboquack,,,55,300
Rohith,,,56,301
hyperneutrino,,,57,305
Sean Yawning,,,58,306
Noureldin,,,59,307
Alexander Haupt,,,60,309
Rinume,,,61,311
mTvare,,,62,313
dnialh,,,63,314
Måns Magnusson,,,64,316
Noble Mushtak,,,65,316
tckmn,,,67,318
ruuddotorg,,,69,324
Anango Prabhat,,,70,331
Oskar Haarklou Veileborg,,,71,333
tiger2005,,,72,335
Justin Yokota,,,73,335
Purunjay Choudhary,,,74,336
Grant Lovell,,,75,336
the-chenergy,,,76,338
Taha Mehmood,,,77,338
Derek Liu,,,78,339
Benedikt Werner,,,79,342
msullivan,,,80,343
emcy90,,,82,344
Allan Taylor,,,83,346
Kyle He,,,84,347
Robert Xiao,,,86,350
mrphlip,,,88,353
ericlovesmath,,,89,354
ishmeals,,,90,354
Bradley Louie,,,91,356
Paul Draper,,,92,359
Nikos Kanakis,,,93,368
anonymous user #2022176,,,94,371
rocket3989,,,95,373
Edward Li,,,96,373
Hein Van der Merwe,,,97,377
Thomas Neill,,,98,377
Warith Rahman,,,99,380
Jan Verbeek,,,100,384
