user,p1_position,p1_time,p2_position,p2_time
Stephen Olano,1,13,26,346
tgudlek,2,18,5,113
hugoromerorico,3,19,39,418
Laurens Profittlich,4,25,,
anonymous user #4697958,5,30,1,56
RangerMcSexy,6,34,3,82
ChristophGreger,7,36,2,73
Jonas Haller,8,37,7,129
anonymous user #4454326,9,47,,
Lohit Kolluri,10,54,15,242
Fatima Malik,11,61,,
Zedespook,12,62,4,100
oPeras1,13,66,,
Owen,14,67,,
marouane tayab,15,73,,
138 Aspen,16,75,,
Angel Borroy,17,75,,
Himanshu Shekhar,18,77,,
Andras Barthazi,19,78,,
Peter Cullen Burbery,20,80,6,115
anonymous user #302636,21,80,,
@Dusknt,22,80,27,346
ZT TANG ,23,84,,
Ankit Mohanty,24,86,,
Chara,25,86,8,144
AndrejStratmann,26,91,,
Lex Moulton,27,91,,
Tomislav Balabanov ,28,96,,
Chinnu B,29,98,11,183
eniraa,30,98,25,340
Alex Hellings,31,100,12,203
James Sorenson,32,102,10,176
"Chelliah, Jawahar Santhoshkumar",33,104,,
anonymous user #4422568,34,107,,
Nagendra1421 ,35,108,,
Duro,36,109,9,172
"McCright, Michael",37,111,,
samina-if,38,112,,
anonymous user #1569907,39,113,,
Luca De Cosmo,40,114,,
Rohith,41,121,75,606
Suraj Singh,42,122,67,562
BrandenXia,43,128,,
Simon,44,133,37,407
sonivi,45,135,,
SebbyLaw,46,135,,
Sanjana Reddy Sangam,47,137,,
kkmonlee,48,141,,
Muhammad Arham ,49,142,,
Quintec Music,50,145,,
atharvwani01 ,51,149,,
dan-simon,52,152,59,541
Yu Long,53,154,57,535
Daniel Yang,54,155,30,349
Palash Sharma,55,156,56,534
muhammad bilal,56,158,,
ahujadevansh,57,158,,
Jennifer,58,159,,
Daniel Kremsa,59,160,,
Emilkr,60,160,,
Małgorzata Kozłowska,61,164,,
Eric Bowman,62,164,82,622
Hunter Gould,63,164,31,352
markoub,64,165,,
Camelpilot33,65,167,,
Kedhar,66,170,,
SelmaGuedidi,67,170,,
anonymous user #60233,68,172,20,309
Lakshay,69,172,,
Muhammad Ibrahim Qasmi,70,175,,
michaelerne,71,177,22,335
Владислав Быконь,72,179,,
SHUBHI VERMA,73,180,,
Sreekanth Krishnankutty Nair,74,182,,
Tristan Sharma,75,182,62,548
Muhammad Ahad Arshad,76,183,,
anonymous user #4257740,77,183,83,625
Lydxn,78,183,41,439
anonymous user #3394841,79,185,,
Johannes Moritz,80,188,,
Andrew Liu,81,191,14,236
Kevin Sun,82,193,54,514
j-chan-hkust,83,194,47,470
Andreas Bengtsson,84,195,35,395
Anthony Bondarenko,85,195,16,256
Ishan Chugh,86,197,,
RiddimCrunch,87,197,,
Madhusudhan Reddy Yerragudi,88,197,17,262
tenth,89,198,13,223
Steven Grond ,90,200,,
Vansh Bataviya,91,201,,
Mathias Rav,92,201,,
Taha Mehmood,93,203,,
Paras Ningune,94,206,58,541
Joe L.,95,206,,
Arnav Jain,96,208,,
KirollosM,97,209,52,510
Neel Shukla,98,213,,
Verulean,99,214,,
boboquack,100,217,,
mserrano ,,,18,289
anonymous user #632350,,,19,304
Michael Broughton,,,21,310
Alex Steele,,,23,335
Muhammad Arslan,,,24,338
Ross Dempsey,,,28,347
Oskar Haarklou Veileborg,,,29,348
anonymous user #1047278,,,32,353
Acters,,,33,375
Brian Liu,,,34,388
Theo Browne,,,36,398
anonymous user #1510407,,,38,408
Liam Reddy,,,40,425
Mxz-11,,,42,441
caporalCoder,,,43,458
Gbox4,,,44,461
Derek Liu,,,45,464
UnlimitedBytes,,,46,469
PoustouFlan,,,48,482
cdrectenwald,,,49,488
ayush rathore,,,50,503
Tomas Peluritis,,,51,508
tckmn,,,53,512
Arghadeep Saha,,,55,515
Thorvald Dox,,,60,541
theadamabrams,,,61,547
fadaaszhi,,,63,551
Noble Mushtak,,,64,556
Joseph Durie,,,65,558
5space,,,66,561
dnialh,,,68,564
vstrimaitis,,,69,575
flocto,,,70,580
oofmatoes,,,71,581
Javier Hernáez ,,,72,585
Jodi Diffey,,,73,593
@nathanchere,,,74,594
Amit Shukla,,,76,606
jmgs,,,77,606
Tina Wang,,,78,609
Marcus Takvam Lexander,,,79,615
Ritwin Narra,,,80,619
NBonaparte,,,81,619
SanguineChameleon,,,84,625
nim-ka,,,85,629
Sander Huisman,,,86,632
satgo1546,,,87,634
leijurv,,,88,636
Nikitosh,,,89,638
Robert Usher,,,90,642
SeanRBurton,,,91,644
Bambii556 ,,,92,646
Kevin Guo,,,93,647
Defelo,,,94,649
Omnikar,,,95,649
ralscha,,,96,652
。 m,,,97,654
Andrei Mihai Ciobanu,,,98,661
Warith Rahman,,,99,663
ravi,,,100,664
