user,p1_position,p1_time,p2_position,p2_time
RangerMcSexy,1,12,2,50
KedharnadhKamatham,2,20,1,46
ChristophGreger,3,21,3,93
fromthebits ,4,22,,
Nirvaan Vidyasagar,5,27,,
caporalCoder,6,36,12,182
anonymous user #4697958,7,36,38,439
Małgorzata Kozłowska,8,37,5,122
SelmaGuedidi,9,37,,
138 Aspen,10,38,,
Gabriele Bosoni,11,40,,
Sana Raza,12,40,,
anonymous user #302636,13,40,31,395
Zedespook,14,41,,
Francesco Paolo Piga,15,42,,
Muhammad Arslan,16,44,,
Duro,17,48,25,328
Muhammad Mubashir,18,49,,
anonymous user #297891,19,51,6,138
Andrii,20,51,,
CodeNinja ,21,51,,
sihagujjwal ,22,51,62,636
anuragmuxui,23,53,,
Sikander Nawaz,24,53,,
Michael Broughton,25,54,,
Ferdinand Davidenko,26,55,,
looluo,27,59,,
Muhammad Ibrahim Qasmi,28,60,49,522
GregorPorsch,29,60,4,105
anonymous user #4865825,30,60,69,658
Dominick Han,31,61,,
Sharjeel Ahmad,32,62,,
Madhusudhan Reddy Yerragudi,33,62,,
Muhammad Arham ,34,63,72,661
AndrejStratmann,35,63,,
Neel Shukla,36,63,,
Bikatr7,37,64,27,330
Taha Mehmood,38,65,,
Samarth Shrivastava,39,66,,
Luca De Cosmo,40,66,,
muhammad bilal,41,66,35,431
"Chelliah, Jawahar Santhoshkumar",42,66,,
Muhammad Hamza Hassaan,43,66,,
Владислав Быконь,44,67,,
eniraa,45,67,7,148
Saqlain Abid,46,67,,
Hein Van der Merwe,47,68,11,169
Fahad Abbas,48,69,,
AaQib Ali,49,69,,
Muhammad Qurban,50,70,82,696
jamesjwang261 ,51,70,,
Alvar Soome,52,71,,
Victor Cheong,53,72,,
Ahmad Fakhar,54,73,56,570
Alex Hellings,55,73,,
Kosikowski ,56,74,10,165
mocy,57,75,18,297
Suraj Singh,58,75,14,206
Venkatesh Akula,59,76,,
llyyr,60,76,,
anonymous user #4657629,61,77,,
sachin-handiekar ,62,79,,
Chara,63,82,24,326
Tayyab Sajjad,64,82,47,492
Paras Ningune,65,82,57,581
Laibasif,66,83,,
sonivi,67,86,88,711
anonymous user #1569907,68,87,59,634
Alex Steele,69,87,,
mattsoh,70,89,43,476
samina-if,71,90,,
Asuka Minato,72,90,,
Peter Cullen Burbery,73,91,15,237
SHUBHI VERMA,74,92,,
Hunter Gould,75,92,29,343
Alexandra Murzina,76,93,20,315
anushree bhat,77,94,,
Sreekanth Krishnankutty,78,94,9,164
safwaahmad,79,95,,
Alen Koso ,80,96,,
Tristan Sharma,81,97,51,532
ashwini bs,82,101,,
Chinnu B,83,104,13,183
Ben Zydney,84,108,34,427
Fatima Malik,85,109,,
Nagendra1421 ,86,110,96,728
Anjana S,87,114,,
Nauman Khalid,88,117,,
mserrano ,89,117,,
dan-simon,90,117,30,386
jonathanpaulson,91,118,,
Kevin Sheng,92,120,,
MANAS SHARMA (RA2211056010132),93,122,,
Simon,94,124,40,448
anonymous user #4456307,95,128,86,708
Tim Vermeulen,96,128,,
Arbind Kumar Singh,97,129,,
qpwoeirut,98,129,,
Andy Tam,99,130,,
gravity.,100,131,,
grkozlowski,,,8,156
ACHAL BAJPAI (RA2211027010257),,,16,256
James Sorenson,,,17,285
anonymous user #4845866,,,19,307
Palash Sharma,,,21,316
anonymous user #60233,,,22,320
michaelerne,,,23,324
TonSilver,,,26,329
Krentin Naidoo,,,28,338
Anthony Bondarenko,,,32,406
anonymous user #3394841,,,33,415
Muhammad Idrees,,,36,434
guohao,,,37,438
kkmonlee,,,39,443
Manh Vu van,,,41,459
Kevin Sun,,,42,470
anonymous user #4365597,,,44,484
Joseph Durie,,,45,489
Michael,,,46,491
madimadica,,,48,494
icicl,,,50,523
Venkat Rao,,,52,536
Inzemamul Haq,,,53,539
Akari,,,54,546
SeptaCube,,,55,564
Egor Kulikov ,,,58,592
Anango Prabhat,,,60,634
kshxtij,,,61,635
Sebastian Gonzalez,,,63,637
PronDmytro,,,64,651
Derek Liu,,,65,651
Thomas Feld,,,66,652
Nikitosh,,,67,653
mrphlip,,,68,658
dnialh,,,70,659
brandtmaynard,,,71,660
5space,,,73,665
Robert Xiao,,,74,665
Leonardo Matteucci,,,75,670
Daniel Yang,,,76,671
MyAngelMiraidon,,,77,674
Justin Yokota,,,78,678
Jennifer,,,79,681
anonymous user #4292502,,,80,685
Mathias Rav,,,81,696
Footkick72,,,83,697
Tudor Roman,,,84,701
Shlok Mangle,,,85,705
@AlexSkidanov,,,87,710
Christian Sledz ,,,89,711
Alex Ying,,,90,712
Ad1tya-007,,,91,713
zdu863,,,92,715
flowermantis,,,93,721
FliegendeWurst,,,94,724
Benjamin Goh,,,95,724
peterthegreat,,,97,731
Nick,,,98,734
anonymous user #1510407,,,99,734
vi-guo ,,,100,735
