user,p1_position,p1_time,p2_position,p2_time
u4sef,1,16,4,57
anonymous user #4697958,2,19,1,38
Peppa Li,3,22,2,42
Stephen Olano,4,27,5,60
ChristophGreger,5,28,3,54
Bikatr7,6,32,15,97
Michael Peters,7,34,9,73
BrandenXia,8,34,7,65
fromthebits ,9,36,6,63
Laurens Profittlich,10,37,58,173
anonymous user #2537932,11,37,8,71
DC,12,42,11,82
RangerMcSexy,13,42,10,80
ThePrivatePanda,14,43,,
twinysam,15,45,61,181
Daniel Kremsa,16,46,13,94
caporalCoder,17,46,21,109
Dhruv Kangarla,18,46,50,160
Nagendra1421 ,19,46,14,97
Madhusudhan Reddy Yerragudi,20,47,,
anonymous user #778977,21,47,,
SelmaGuedidi,22,48,47,156
oPeras1,23,49,20,105
Neel Shukla,24,50,45,152
anonymous user #4440798,25,50,38,137
ShuBan,26,60,32,121
markoub,27,60,18,102
Ferdinand Davidenko,28,61,22,109
Rafiea Ashraf,29,61,,
sonivi,30,62,31,120
eniraa,31,63,29,119
secemp9,32,63,12,94
Peter Cullen Burbery,33,63,16,97
Jonas Haller,34,65,17,98
Kosikowski,35,66,,
Małgorzata Kozłowska,36,68,26,115
anonymous user #4454326,37,70,,
Nikolay Chikin,38,70,52,163
"Chelliah, Jawahar Santhoshkumar",39,70,,
anonymous user #457401,40,71,,
Alen Koso ,41,72,97,252
AndrejStratmann,42,72,25,113
Zaid Alsaqabi ,43,73,60,180
Duro,44,74,24,112
anonymous user #4456307,45,75,27,116
kkmonlee,46,76,23,109
Muhammad Arslan,47,76,30,119
Alvar Soome,48,76,53,165
anonymous user #302636,49,77,54,166
Muhammad Hamza Hassaan,50,77,,
James Sorenson,51,79,55,169
Kedhar,52,81,28,117
Antonio Perrone,53,81,44,151
Francesco Paolo Piga,54,82,,
MrCodyTester,55,82,37,136
anonymous user #1569907,56,84,51,162
Chara,57,84,68,194
138 Aspen,58,85,40,139
ASHUdev05,59,85,35,132
Andrii,60,87,42,148
Hunter Gould,61,87,64,186
atharvwani01 ,62,87,73,206
fraito,63,89,49,160
AashutoshKushwaha,64,89,43,149
RFS-0,65,92,19,102
safwaahmad,66,92,59,179
Himanshu Shekhar,67,93,56,170
sihagujjwal ,68,93,33,123
3rd,69,95,,
Andrew Liu,70,97,34,130
Maha Zainab,71,97,,
Dconan-inn,72,97,,
neelthepatel8,73,98,36,133
EndofTimee,74,100,57,170
YUGANDRAN B (RA2211003011715),75,100,,
Ishan Chugh,76,102,66,188
mocy,77,102,88,243
Sharjeel Ahmad,78,102,46,156
Saqlain Abid,79,108,82,218
röb,80,109,39,138
psun256,81,110,,
Subhargh,82,110,,
Sikander Nawaz,83,111,67,191
Alex Steele,84,117,63,185
anonymous user #4422568,85,118,70,199
Suraj Singh,86,119,95,248
Owen,87,120,71,200
Satya Jhaveri,88,120,93,248
3kh0,89,121,74,207
Vaishnav Prabukumar,90,121,69,197
hugoromerorico,91,121,41,147
Lohit Kolluri,92,121,,
Venkatesh Akula,93,121,,
CodeNinja ,94,122,75,209
Ian Wilson,95,123,,
geronimo754,96,123,,
Mahender Reddy,97,124,,
zach1502,98,126,,
Ben Zydney,99,127,89,243
Abraham Linares,100,127,65,188
grkozlowski,,,48,159
dan-simon,,,62,184
anonymous user #3394841,,,72,204
。 m,,,76,209
Remy ROYER-ADNOT,,,77,209
Владислав Быконь,,,78,213
anonymous user #60233,,,79,213
GregorPorsch,,,80,213
tckmn,,,81,215
Alexandra Murzina,,,83,219
Alexander Fu,,,84,222
Ankit Mohanty,,,85,224
Tomislav Balabanov ,,,86,231
Oskar Haarklou Veileborg,,,87,236
Simon,,,90,244
Asuka Minato,,,91,246
Olof Petterson,,,92,246
nthistle,,,94,248
Oliver Ni,,,96,249
Aaron To,,,98,252
Baron105,,,99,253
dnialh,,,100,254
