user,p1_position,p1_time,p2_position,p2_time
Maxwell Zen,1,601,,
Antonio Molina,2,665,1,926
Joseph Durie,3,709,,
Noble Mushtak,4,755,9,1565
David Wahler,5,760,3,1364
jonathanpaulson,6,771,2,1169
hyper-neutrino,7,808,8,1513
xnkvbo,8,808,17,1754
Gabriel Wu,9,812,5,1408
mrphlip,10,849,4,1387
Patrick Hogg,11,856,,
Jimmy Mårdell,12,856,10,1612
5space,13,859,62,2204
Thomas Neill,14,861,59,2189
betaveros,15,880,20,1772
DayDun,16,905,,
Jared Hughes,17,926,67,2215
andy-k,18,928,15,1753
Brandon Lin,19,940,43,2136
Michal Forišek,20,943,7,1453
Aurel,21,944,,
Martin Camacho,22,947,6,1447
Maarten Sijm,23,951,,
thuustalu,24,972,,
Jan Verbeek,25,972,,
FillyAutomatic,26,990,39,2126
Andrey Anurin ,27,996,,
dan-simon,28,1005,18,1760
Vladislav Isenbaev,29,1006,21,1789
Golovanov399,30,1011,,
mrkeldon,31,1015,24,1945
Carl Schildkraut,32,1020,82,2316
Kami Leon,33,1030,73,2253
Tim Vermeulen,34,1078,12,1690
Benedikt Werner,35,1105,,
Verulean,36,1114,,
FeepingCreature,37,1124,,
anonymous user #750627,38,1124,,
narpfel,39,1125,,
anonymous user #1510407,40,1127,14,1751
Timothy Mou,41,1135,,
juliand665,42,1136,76,2268
Erik Szalay,43,1145,19,1768
Misode,44,1152,,
Lewin Gan,45,1164,,
nthistle,46,1175,11,1671
Benjamin E. Iserman,47,1177,,
penteract,48,1184,60,2200
awychong,49,1193,,
Nathan Fenner,50,1204,,
Tobias-Glimmerfors,51,1205,,
Pedro Osório,52,1206,,
mangoqwq,53,1208,65,2213
Anish Singhani,54,1217,,
Loks-,55,1221,,
Paweł Kubiak,56,1222,77,2274
Ian DeHaan,57,1223,,
nim-ka,58,1226,,
Liwei Cai,59,1235,84,2337
Kroppeb,60,1246,,
Ben Jacobson,61,1246,,
Lydxn,62,1248,,
connorjayr,63,1259,16,1753
Bennett Marsh,64,1260,,
Cyprien Mangin,65,1262,,
tckmn,66,1263,22,1820
Balint R,67,1272,,
skaldskaparmal,68,1275,,
leijurv,69,1276,23,1905
tbodt,70,1290,,
Alexander Pivovarov,71,1301,,
zacharybarbanell,72,1304,,
Ivan Lukyanov,73,1305,41,2133
Paul Draper,74,1305,13,1742
Max Murin,75,1308,,
Ivan Wei,76,1310,,
qpwoeirut,77,1312,,
1234abcdcba4321,78,1322,,
Sean Yawning,79,1333,74,2256
Kirby703,80,1334,,
Chris Mohr,81,1344,,
jebouin,82,1346,,
abailey2020,83,1350,,
etotheipi1,84,1364,27,2026
0e4ef622,85,1376,,
milesman34,86,1385,,
Erik Amirell Eklöf,87,1386,,
Gerald Lee,88,1393,,
boboquack,89,1403,,
icemoon97,90,1409,,
quentinmit,91,1419,,
pppery,92,1419,,
John Smith,93,1424,,
Proximity Trigger,94,1426,,
Ivan Krasilnikov,95,1436,,
Waffle,96,1442,,
Adib Surani,97,1442,25,1959
PikMike,98,1444,85,2338
TimHuisman1703,99,1454,,
cmears,100,1454,,
Robert Xiao,,,26,2018
Sa-So,,,28,2045
indiana aruvi ,,,29,2075
Sean Watts,,,30,2079
athithya vengatesh ,,,31,2084
Ali Zahid Raja,,,32,2088
Craig Gidney,,,33,2089
Guna Teja Yadavalli,,,34,2094
Rohit Aahuja ,,,35,2110
rozbrajaczpoziomow,,,36,2112
anonymous user #2269680,,,37,2122
Dev Thiru,,,38,2124
Vijendra Reddy K ,,,40,2130
Muncho,,,42,2133
Yuvarajan ,,,44,2140
Ajit Karthikeyan ,,,45,2141
Muthu ,,,46,2141
D. Salgado,,,47,2143
anonymous user #2323408,,,48,2144
kacperchromik,,,49,2146
Swapnil Rane ,,,50,2148
Ashton Russell ,,,51,2150
Sathish Kumar J ,,,52,2157
anonymous user #6924,,,53,2158
Shanmukha rao ,,,54,2165
Aravinthan Thangaraju ,,,55,2166
umorjyoti ,,,56,2174
Justin Yokota,,,57,2176
Nishtha Paul,,,58,2179
Borichevskiy Kirill,,,61,2202
Pankaj Jain,,,63,2209
Ron Huang,,,64,2212
anonymous user #2291947,,,66,2214
Gaurav Kakkar ,,,68,2216
R Chambers,,,69,2216
mingmingrr,,,70,2242
coff33Overflow,,,71,2242
Raj Rusia ,,,72,2247
nostalgiaguy,,,75,2267
Arnav Jain,,,78,2280
Manikandan ,,,79,2286
VN_HH_01,,,80,2288
Senthil Kumar ,,,81,2310
Youssef,,,83,2330
Jayaram ,,,86,2344
Tomas Rokicki,,,87,2354
Josef Minařík,,,88,2361
andrewcarlotti,,,89,2364
Sawyer Welden,,,90,2370
paulkiplagat,,,91,2376
James Sorenson,,,92,2385
David Harmeyer ,,,93,2393
Nurmaan Ramoly,,,94,2397
Jonathan Ho ,,,95,2408
ENAILIS,,,96,2411
Youssef El Zamzamy,,,97,2423
hariharan L ,,,98,2428
Arputha Lazer Anthony Samy ,,,99,2430
Robert Spalek,,,100,2448
