user,p1_position,p1_time,p2_position,p2_time
nthistle,1,509,,
D. Salgado,2,521,11,1985
Patrick Hogg,3,577,,
Robert Xiao,4,604,,
Zack Lee,5,614,,
Xavier Cooney ,6,660,,
Jimmy Mårdell,7,743,31,2551
Michal Forišek,8,759,1,1300
betaveros,9,760,4,1524
glguy,10,769,46,2869
dan-simon,11,798,3,1350
int-e,12,802,95,3834
Ryan Hitchman,13,809,,
Joseph Durie,14,813,,
Tobias-Glimmerfors,15,830,,
Oskar Haarklou Veileborg,16,851,,
Erik Amirell Eklöf,17,852,2,1317
Zach Farr,18,857,,
Kyle Toom,19,896,,
Shik Chen,20,916,37,2703
David Wahler,21,918,6,1597
msullivan,22,943,,
anonymous user #1510407,23,956,21,2223
alcatrazEscapee,24,958,,
Antonio Molina,25,960,94,3812
quentinmit,26,965,8,1744
rHermes,27,971,,
Liwei Cai,28,982,,
brandtmaynard,29,992,,
Springo,30,996,,
cup2of2tea ,31,996,,
Brandon Lin,32,1002,,
Lewin Gan,33,1024,70,3310
Ivan Kazmenko,34,1033,55,3037
Alexander Viklund,35,1036,,
btnlq,36,1038,,
Lars Haulin ,37,1046,,
Carl Schildkraut,38,1055,,
Tim Vermeulen,39,1068,,
FillyAutomatic,40,1069,16,2108
jonathanpaulson,41,1072,,
Timothy Mou,42,1092,60,3141
Kelly Dance,43,1095,,
Nathan Fenner,44,1099,5,1556
tonghuikang,45,1100,12,2008
ndimov,46,1116,,
Thomas Feld,47,1131,,
vincentwoo,48,1157,,
ianhmarkowitz,49,1158,,
RootCubed,50,1159,73,3388
Paul Draper,51,1159,,
vhermecz,52,1168,,
TimHuisman1703,53,1178,15,2091
Ayman Eltemmsahy,54,1178,62,3184
Jan Verbeek,55,1187,,
anonymous user #60233,56,1189,,
nkitsaini,57,1190,,
Andrey Anurin ,58,1192,66,3219
AndersTornkvist,59,1194,,
Michael Goldwasser ,60,1201,,
Burlakov Nick,61,1220,,
Paweł Kubiak,62,1223,,
mangoqwq,63,1231,,
Måns Magnusson,64,1234,,
Zeyu Chen,65,1238,,
Kroppeb,66,1238,,
JacksonDonaldson,67,1240,,
qpwoeirut,68,1241,49,2905
raiju,69,1248,,
andrewcarlotti,70,1249,,
PoustouFlan,71,1256,17,2123
Adam Zacharski,72,1260,,
Henrik Ygge,73,1262,,
Steve Newman,74,1264,,
Михаил Минков ,75,1281,,
Ambrose Feinstein,76,1281,13,2030
Roman Elizarov,77,1282,,
anonymous user #643312,78,1289,25,2366
coolcomputery,79,1292,,
anonymous user #217709,80,1316,,
Noble Mushtak,81,1316,,
Larry,82,1320,,
Nick Liu,83,1323,38,2713
VasilyDK,84,1332,24,2360
Lucas M.,85,1333,7,1694
Ryan Croucher,86,1337,,
Katharine Berry,87,1342,,
Tomas Rokicki,88,1344,9,1810
Erik Szalay,89,1346,,
Samuel Ren,90,1347,,
Murray Edwards,91,1352,,
Xiongqi ZHANG ,92,1377,51,2950
anonymous user #18180,93,1378,,
Taavi Repän,94,1390,,
zacharybarbanell,95,1404,57,3095
1234abcdcba4321,96,1405,,
darklordwonton,97,1405,63,3208
hakiobo,98,1421,48,2903
Tom Sirgedas,99,1430,,
WutPu,100,1433,,
tckmn,,,10,1973
Craig Gidney,,,14,2073
sun-bachung,,,18,2170
Markus Himmel,,,19,2186
andriigrynenko,,,20,2194
Yiming Li,,,22,2284
Den Mukhametianov,,,23,2311
Nikita Gaevoy,,,26,2389
matthewmisiaszek,,,27,2458
twattanawaroon,,,28,2470
sparik,,,29,2483
Mathijs Vogelzang,,,30,2545
jebouin,,,32,2554
LegionMammal978,,,33,2594
bluepichu,,,34,2632
ruuddotorg,,,35,2652
Vince7778,,,36,2679
Victor Chen,,,39,2716
thuustalu,,,40,2742
Meow Meow,,,41,2780
anonymous user #2412806,,,42,2800
Kami Leon,,,43,2809
key,,,44,2833
jorendorff,,,45,2859
Ben Jacobson,,,47,2887
Jared Hughes,,,50,2930
Andres Alumets,,,52,2979
Hiep Trinh,,,53,3011
aropan ,,,54,3013
Axel Brisse ,,,56,3054
Manish Kundu,,,58,3099
noryb009 ,,,59,3119
rakslice,,,61,3146
electraminer,,,64,3214
juliand665,,,65,3217
Dave Buchfuhrer ,,,67,3249
alexandre-clement-46,,,68,3252
Kenneth Jensen,,,69,3298
Hunter Staiger,,,71,3325
Eric Yang,,,72,3371
wkoder,,,74,3432
4atj,,,75,3448
harpocrates,,,76,3455
Justin Yokota,,,77,3524
Darragh Griffin,,,78,3526
anonymous user #851347,,,79,3532
jkseppan,,,80,3546
Luiz Silva,,,81,3558
Shuang Du,,,82,3566
anonymous user #1053748,,,83,3596
Sam Hindess,,,84,3632
Pedro Osório,,,85,3670
Josef Minařík,,,86,3672
Maxim Buzdalov,,,87,3679
Søren Fuglede Jørgensen,,,88,3683
Kian Chou,,,89,3704
Martin Camacho,,,90,3715
Andy Li,,,91,3786
kwaters,,,92,3789
jorisvr,,,93,3809
Wallunen,,,96,3836
WildUtah,,,97,3846
jimscchen,,,98,3847
the-chenergy,,,99,3848
Craig White,,,100,3857
