user,p1_position,p1_time,p2_position,p2_time
Ritwin Narra,1,89,78,570
Kevin Sheng,2,121,,
anonymous user #1510407,3,122,52,524
Carl Schildkraut,4,123,23,441
Joshua Chen,5,126,8,339
Oliver Ni,6,139,,
Nathan Fenner,7,141,1,260
leijurv,8,148,,
mserrano,9,149,17,409
Ian DeHaan,10,159,6,325
Robert Xiao,11,169,12,362
Rowechen Zhong,12,170,46,509
Antonio Molina,13,170,3,290
anonymous user #44119,14,174,28,456
0e4ef622,15,177,,
Neal Wu,16,178,2,287
petertseng,17,191,,
Golovanov399,18,194,54,527
Vladislav Isenbaev,19,196,10,347
Oskar Haarklou Veileborg,20,196,5,319
Evan Zhang,21,197,80,576
Thomas Feld,22,201,92,598
Allen Pei,23,201,7,326
Brandon Lin,24,202,11,360
flashmt,25,202,,
jebouin,26,203,,
connorjayr,27,203,,
Jared Hughes,28,212,50,523
oparkerj,29,212,,
Ivan Galakhov,30,214,24,442
Robert Pham,31,217,21,429
Kroppeb,32,218,,
ansvonwa,33,220,,
boboquack,34,221,56,528
GregorKikelj,35,221,13,386
Måns Magnusson,36,222,,
Anish Singhani,37,223,73,553
Erik Amirell Eklöf,38,224,4,295
Max Murin,39,225,,
Jeffzycode,40,225,,
nkitsaini,41,227,,
Lydxn,42,227,,
Nikitosh,43,227,18,418
bcc32,44,228,30,461
AdamHe17 ,45,231,,
mdlu,46,233,,
dvbui,47,234,,
flocto,48,235,9,343
It's a Shill,49,235,,
hltk,50,235,20,423
Loks-,51,235,83,579
Ethan Olpin,52,236,49,518
Adib Surani,53,238,,
Patrik Ivarsson,54,239,,
Bennett Marsh,55,240,,
Andrei Dukhounik,56,241,,
David Wahler,57,241,96,607
coolcomputery,58,244,34,468
jakzo,59,244,,
David Harmeyer ,60,245,,
Sohom Sahaun,61,245,51,524
BjornMagn,62,247,,
LegionMammal978,63,247,33,468
D. Salgado,64,248,67,547
hyper-neutrino,65,248,76,564
Ahmed Siadomar,66,248,,
almasip,67,249,59,534
Milind Jain,68,249,,
Gabriel Wu,69,250,,
Mercerenies,70,251,,
tonghuikang,71,251,75,560
Dylan Smith,72,251,14,387
Kami Leon,73,251,,
xd y,74,253,43,498
Pedro Osório,75,253,65,542
Anthony Li,76,254,,
Miriam Vellacott,77,254,,
5space,78,254,22,440
Henrik Ygge,79,255,,
KevinL10,80,255,95,601
Samuel Wang,81,256,,
t6twotwo,82,258,71,550
Shashank Bhatt,83,260,35,476
Aaron ,84,260,19,421
Vince7778,85,260,26,451
Axel Brisse ,86,261,61,537
Kye W. Shi,87,261,,
Minh Nguyen Quang,88,263,44,507
bradleysigma,89,264,,
Verulean,90,264,38,492
Shea Janke,91,265,,
anonymous user #637942,92,265,,
Sam Wang,93,266,66,544
xnkvbo,94,266,81,578
matthewmisiaszek,95,267,,
Balint R,96,267,16,395
Nikhil Vijai,97,267,53,525
anonymous user #1047278,98,269,27,456
The Penguin,99,269,,
andy-k,100,270,,
bluepichu,,,15,390
dan-simon,,,25,446
tluo5458,,,29,458
mangoqwq,,,31,462
Coby Tran,,,32,464
dllu,,,36,481
joefarebrother,,,37,484
Lewin Gan,,,39,493
Brian Dean,,,40,494
Joe L.,,,41,497
Victor Chen,,,42,498
yuizumi,,,45,507
danvolchek,,,47,516
monkeynova,,,48,516
Henri Devillez,,,55,528
Tanner Hoke,,,57,531
Waffle,,,58,531
Springo,,,60,536
Sean Yawning,,,62,537
Andreas Björklund,,,63,541
HexDecimal,,,64,541
Tim Vermeulen,,,68,548
robinz62,,,69,548
dwhatley19,,,70,549
val tron,,,72,550
David Lee,,,74,554
Allen Wu,,,77,568
Himanshu Jaju,,,79,574
DayDun,,,82,579
FillyAutomatic,,,84,581
alyssaruth,,,85,582
anonymous user #387166,,,86,582
periodically-makes-puns,,,87,584
anonymous user #1087784,,,88,584
blepabyte,,,89,591
Martin Camacho,,,90,596
a5a7,,,91,597
Katie Siegel,,,93,600
mrkeldon,,,94,601
Epiphane,,,97,608
tjleing,,,98,610
seligman99,,,99,611
anonymous user #975121,,,100,612
