user,p1_position,p1_time,p2_position,p2_time
Carl Schildkraut,1,129,2,356
leijurv,2,143,11,462
Evan Zhang,3,152,4,389
anonymous user #1510407,4,162,53,628
LegionMammal978,5,176,19,510
anonymous user #637942,6,182,27,530
dan-simon,7,185,5,390
Özgün Özusta,8,202,,
Ryan Hitchman,9,202,3,379
Hunter Staiger,10,213,,
Paul Badour,11,214,,
Epiphane,12,215,56,633
Kirby703,13,216,21,516
Ritwin Narra,14,216,59,646
Carson Graham,15,216,8,439
Matteo Biasielli,16,228,,
Anthony Li,17,228,35,575
@koutaharu_,18,228,10,449
David Wahler,19,229,1,355
Andrey Akhmetov ,20,229,16,477
tckmn,21,230,18,501
Daniel Ng,22,232,47,613
Ian DeHaan,23,232,63,654
Oliver Ni,24,233,13,471
Sneed's Feeduck and Seeduck,25,235,60,647
sahilbansal17,26,235,,
anonymous user #60233,27,235,52,624
Noble Mushtak,28,237,29,537
Martin Camacho,29,245,25,526
Lewin Gan,30,246,6,419
Niklas Sandén,31,248,,
miriam-rittenberg,32,248,62,651
jonathanpaulson,33,249,7,431
Ananthram Vijayaraj,34,250,,
phucthg,35,252,,
Max Sun,36,252,,
Joe L.,37,254,,
StarGazingHomies,38,254,,
yann-a,39,255,82,714
Thomas Neill,40,256,,
Springo,41,260,,
Jérémy Guillot,42,260,,
Ben Hollows,43,261,24,519
nim-ka,44,264,14,472
InternetPerson10,45,265,31,555
Andrew X. ,46,265,,
Sohom Sahaun,47,268,,
matthewmisiaszek,48,270,30,541
anonymous user #385893,49,270,17,497
betaveros,50,270,9,444
FillyAutomatic,51,275,20,515
Michal Forišek,52,277,22,517
Max Murin,53,278,55,632
Gorane7,54,279,,
Jordan H,55,281,,
Gabriel Wu,56,281,64,662
Robert Pham,57,282,80,697
vstrimaitis,58,282,75,688
Patrick Hogg,59,283,72,679
mserrano,60,284,12,465
Alex Wen,61,284,,
mdlu,62,285,,
anonymous user #1087784,63,286,,
Matthew Ramina,64,287,79,694
rhendric,65,287,15,474
btnlq,66,287,100,737
Marie Payne,67,287,,
David Sharick,68,289,,
Jeremy Lee,69,293,,
anonymous user #647522,70,294,,
Justin Yokota,71,294,70,672
Ethan Tillison,72,295,44,609
harrison truscott,73,295,,
crazymerlyn,74,296,58,635
Grazen0,75,297,88,720
mrkeldon,76,298,26,528
mangoqwq,77,299,73,679
key,78,300,,
WW92030,79,300,,
Brandon Lin,80,301,61,647
Tunaki,81,302,,
adrian-stanciu,82,303,,
the-glu ,83,303,89,721
jmfan2002,84,304,,
Cedric,85,304,,
Lukáš Folwarczný,86,304,,
jorisvr,87,305,78,693
Tim Vermeulen,88,305,,
drougge,89,306,28,530
Oleg Rudenko,90,307,,
Larry,91,310,67,670
Nicholas Currault,92,311,,
Bargann,93,313,,
Toni Fadjukoff ,94,313,,
A5rocks,95,313,,
skaldskaparmal,96,313,,
nkitsaini,97,314,,
e513131,98,316,,
icicl,99,317,,
tomstephen,100,317,51,622
Ethan Chapman,,,23,519
anonymous user #171829,,,32,561
anonymous user #217709,,,33,561
Neal Wu,,,34,570
noblematt,,,36,581
Akimitsu Hogge,,,37,581
0sq,,,38,590
Max Bowman,,,39,592
D. Salgado,,,40,600
qpwoeirut,,,41,603
anonymous user #44119,,,42,605
TLSM,,,43,607
grhkm21,,,45,610
Tom van Dijk,,,46,612
Bradley He,,,48,615
periodically-makes-puns,,,49,618
Markus Himmel,,,50,622
Joshua Wise,,,54,628
Georg Rottensteiner,,,57,635
richzli,,,65,663
Paul Zagieboylo ,,,66,667
Lawrence Kesteloot,,,68,670
Ash,,,69,672
F2 ,,,71,673
Paweł Kubiak,,,74,687
NoHax JustPi,,,76,688
Looking for blog readers!,,,77,691
Eric Wang,,,81,710
Percy Wong,,,83,715
tbodt,,,84,715
Golovanov399,,,85,718
Eric Yang,,,86,719
Ivan Kazmenko,,,87,720
anonymous user #387166,,,90,722
anonymous user #1067586,,,91,723
seligman99,,,92,726
Laurent Bucher,,,93,728
anominos,,,94,729
David Robinson,,,95,730
Andrey Anurin ,,,96,735
JackMacWindows,,,97,736
Marko Tsengov,,,98,736
Talchas,,,99,737
