user,p1_position,p1_time,p2_position,p2_time
tckmn,1,161,72,783
leijurv,2,210,,
Tris Emmy Wilson ,3,223,,
betaveros,4,244,15,541
dan-simon,5,261,1,360
connorjayr,6,274,11,506
boboquack,7,279,,
xiaowuc1,8,284,3,446
Tim Vermeulen,9,291,,
LegionMammal978,10,296,16,546
Marcus Takvam Lexander,11,296,,
Antonio Molina,12,302,4,482
Maxwell Zen,13,303,,
Max Murin,14,311,5,486
5space,15,313,29,612
nim-ka,16,313,14,536
hyper-neutrino,17,319,,
SeanRBurton,18,320,2,433
Andrey Akhmetov ,19,322,,
David Wahler,20,322,18,564
Davis Yoshida,21,324,9,499
Patrick Hogg,22,324,,
PoustouFlan,23,331,13,520
Markus Himmel,24,333,8,494
Kirby703,25,333,7,490
seligman99,26,334,,
asottile,27,334,,
xnkvbo,28,337,,
Golovanov399,29,339,,
dtinth,30,339,,
periodically-makes-puns,31,340,,
Waffle,32,343,,
Alex Wice,33,343,,
alcatrazEscapee,34,346,,
D. Salgado,35,351,12,514
JulesD,36,352,,
SalomonT82,37,356,,
mangoqwq,38,358,10,501
andy-k,39,370,55,741
FillyAutomatic,40,370,62,767
Michael Truell,41,371,,
David Sharick,42,373,,
phucthg,43,382,24,585
lilweege,44,384,,
Martin “Cifko” Štefček,45,385,42,682
Joshua Chen,46,386,,
RundownRhino,47,387,,
jonathanpaulson,48,387,6,489
Akimitsu Hogge,49,393,28,611
Talchas,50,394,81,805
Ivan Kazmenko,51,395,,
anominos,52,395,19,567
Kroppeb,53,398,,
Sander van den Bergh,54,398,,
Steve Newman,55,401,20,570
Joseph Durie,56,402,51,723
Sophie,57,405,,
Alexander Pfanne,58,407,,
Kye W. Shi,59,410,33,638
yuizumi,60,411,,
Nathan Ye,61,414,,
rec,62,415,,
Victor Minden,63,418,,
artem6,64,419,,
sciyoshi,65,420,23,578
mrphlip,66,422,32,623
lethan3,67,422,,
Bradley He,68,423,22,577
F2 ,69,424,,
tonghuikang,70,426,,
anonymous user #1565212,71,426,,
Oskar Haarklou Veileborg,72,427,21,576
Eric Yang,73,428,,
Brian Zhou ,74,429,,
Sunny Guan,75,429,,
crazymerlyn,76,429,92,826
blaumeise20,77,429,26,604
petertseng,78,430,,
Thomas Draper,79,431,,
Egor Kulikov ,80,432,,
Starwort,81,433,17,560
anonymous user #750627,82,433,88,820
JacksonDonaldson,83,433,,
SizableShrimp,84,433,59,753
Daniel Strizhevsky,85,436,,
Shashank Bhatt,86,436,,
Chris Mohr,87,440,,
jimscchen,88,440,,
vstrimaitis,89,443,,
Ryan Hitchman,90,443,,
geoffrey-wu,91,444,,
William Y. Feng,92,446,25,596
Max Jäger ,93,448,36,655
Ian DeHaan,94,448,27,608
David Grosdemange,95,449,44,691
Qiqi Impact,96,449,,
TimHuisman1703,97,450,45,698
Christofer Ohlsson ,98,452,,
David McGrath,99,452,,
evanphoward,100,452,,
Mercerenies,,,30,614
Tobias-Glimmerfors,,,31,616
nthistle,,,34,641
Brett Math,,,35,650
matthewmisiaszek,,,37,661
vash3r,,,38,663
tenth,,,39,665
Craig Gidney,,,40,674
etotheipi1,,,41,677
Max Friedman,,,43,688
Justin Jaffray,,,46,701
Michal Forišek,,,47,706
twattanawaroon,,,48,709
Nathan Fenner,,,49,718
Yoshiap,,,50,720
Verulean,,,52,726
kjsatz,,,53,737
Brandon Lin,,,54,737
Noble Mushtak,,,56,743
anonymous user #60233,,,57,751
Pedro Osório,,,58,752
Lewin Gan,,,60,755
Lauri Kenttä ,,,61,765
zacharybarbanell,,,63,769
abailey2020,,,64,769
Özgün Özusta,,,65,773
hakiobo,,,66,777
Philipp Lenk,,,67,777
It's a Shill,,,68,781
Etienne Vouga,,,69,782
Carl Schildkraut,,,70,782
drougge,,,71,782
phoyh,,,73,786
Zeyu Chen,,,74,787
George Zhou,,,75,792
jorisvr,,,76,793
glguy,,,77,793
Daniel Ng,,,78,796
Pavel Egorov,,,79,803
Jan Verbeek,,,80,804
Loks-,,,82,811
noblematt,,,83,814
Erik Amirell Eklöf,,,84,814
Josh Deprez,,,85,815
msullivan,,,86,815
cup2of2tea ,,,87,818
Søren Fuglede Jørgensen,,,89,820
MeepMoop,,,90,822
thuustalu,,,91,825
Eric Tzeng,,,93,827
WW92030,,,94,828
Mattéo Delabre,,,95,829
A5rocks,,,96,831
val tron,,,97,834
hamzahasann,,,98,843
Théo Lecerf,,,99,843
drysle,,,100,848
