user,p1_position,p1_time,p2_position,p2_time
asymmetricia,1,1169,,
zacharybarbanell,2,1218,38,3085
dkesler,3,1316,,
lukechampine,4,1327,1,1469
jonathanpaulson,5,1372,5,2158
Noble Mushtak,6,1427,13,2492
5space,7,1430,2,1533
mayoff,8,1505,,
Yiming Li,9,1521,7,2206
Erik Amirell Eklöf,10,1551,,
Jeremy Barton,11,1554,,
Talchas,12,1623,26,2726
dvbui,13,1689,3,1812
Josh Deprez,14,1718,,
Oskar Haarklou Veileborg,15,1730,4,2121
ianhmarkowitz,16,1779,12,2460
Akimitsu Hogge,17,1782,,
hakiobo,18,1818,19,2618
twattanawaroon,19,1852,,
Kami Leon,20,1896,15,2531
Jacob Smith,21,1902,20,2630
jorendorff,22,1913,11,2458
vstrimaitis,23,1942,77,3341
Jimmy Mårdell,24,1947,,
AxlLind,25,2004,,
Sam Hindess,26,2005,6,2163
xnkvbo,27,2058,,
Antonio Molina,28,2064,91,3409
electraminer,29,2065,,
andriigrynenko,30,2070,10,2405
Theodore Spaide,31,2114,69,3300
Giacomo Stevanato,32,2114,14,2494
Maxwell Zen,33,2129,42,3101
F2 ,34,2137,95,3422
Jan Verbeek,35,2141,8,2351
Derek Liu,36,2161,,
Tony Jiang,37,2164,92,3410
Patrick Hogg,38,2167,,
evanphoward,39,2174,9,2403
KevinL10,40,2178,,
dgarceau-spiria,41,2217,,
yuizumi,42,2231,17,2538
glguy,43,2312,27,2753
Erik Szalay,44,2315,31,2933
Chris Dziemborowicz,45,2340,,
Xavier Cooney ,46,2349,,
mserrano,47,2365,,
JackMacWindows,48,2379,18,2570
Tim Vermeulen,49,2381,25,2711
The0x539,50,2382,,
TecTrixer,51,2383,88,3404
Proximity Trigger,52,2392,24,2709
Ayman Eltemmsahy,53,2396,,
monkeynova,54,2403,,
amri123,55,2409,23,2709
Marcus Oscarsson,56,2421,,
tonghuikang,57,2421,22,2703
mb64,58,2441,,
Nathan Fenner,59,2444,41,3100
andrewcarlotti,60,2450,37,3081
ud2,61,2459,,
David Philipson,62,2459,,
Chris Mohr,63,2461,,
4atj,64,2469,21,2702
James Berglund,65,2477,,
dan-simon,66,2486,16,2532
Dovydas Vadišius,67,2490,,
Jared Hughes,68,2494,,
Benjamin Yu,69,2495,,
Solq r,70,2506,,
Joseph Gleason ,71,2551,,
lavoiecsh,72,2582,30,2791
rotanov,73,2584,,
Roland Meertens ,74,2587,32,2976
Michal Forišek,75,2599,49,3150
Etienne Vouga,76,2603,,
noryb009 ,77,2604,,
Kelly Dance,78,2635,,
Shixuan Fan,79,2638,,
Justin Yokota,80,2659,,
jsgroth,81,2675,,
Kirby703,82,2687,28,2766
Wilco Kusee,83,2687,89,3406
CatThingy,84,2692,29,2782
Axel Brisse ,85,2694,,
fryb0rt,86,2745,,
Murray Edwards,87,2746,,
wincss,88,2747,,
RundownRhino,89,2747,,
Ben,90,2786,,
Indiana Kernick,91,2788,,
Sreeram Ramachandran,92,2811,,
etotheipi1,93,2812,43,3115
Joshua Wise,94,2814,,
jonesnicholas,95,2814,94,3417
Chicken-Bones,96,2822,,
Springo,97,2824,,
ElementalAlchemist,98,2830,,
Tom van Dijk,99,2847,,
Ezra Indrastata,100,2907,,
Jason Wallace,,,33,3055
HansAnonymous,,,34,3073
Youssef,,,35,3074
Dev Thiru,,,36,3080
Ali Zahid Raja,,,39,3089
Sean Watts,,,40,3099
Farhaan Beeharry,,,44,3128
Wallunen,,,45,3131
benni petur,,,46,3132
R Chambers,,,47,3135
Youssef El Zamzamy,,,48,3140
VN_HH_01,,,50,3150
anonymous user #2298442,,,51,3168
Abhimanyu Rathore,,,52,3174
Aliaksei Danchanka ,,,53,3196
Isaac Kilbourne,,,54,3197
Nurmaan Ramoly,,,55,3198
Sobhan Mohammadpour,,,56,3198
Michael Broughton,,,57,3208
Ansab Gillani,,,58,3212
anonymous user #6924,,,59,3212
Arpit Shukla,,,61,3226
Gregory M.,,,62,3228
yusent,,,63,3235
Tamil Mani ,,,64,3235
Herman,,,65,3237
Manikandan Krishnamoorthy ,,,66,3238
@shivamm17058529 ,,,67,3262
Arnav Jain,,,68,3262
Ikenna,,,70,3300
anonymous user #2291947,,,71,3303
anonymous user #439987,,,72,3306
David Whittaker ,,,73,3310
Bahnschrift,,,74,3320
akmez muhammad,,,75,3333
Andrei Dukhounik,,,76,3336
Apollo,,,78,3342
rozbrajaczpoziomow,,,79,3350
Morgan Ericsson,,,80,3357
Adrien Pyke,,,81,3363
Valokoodari,,,82,3367
kacperchromik,,,83,3377
Mihai Maruseac,,,84,3387
ericlovesmath,,,85,3393
Harm Smits ,,,86,3396
Mathijs Vogelzang,,,87,3401
Nishtha Paul,,,90,3406
anonymous user #60233,,,93,3411
Riley,,,96,3424
David BRUN ,,,97,3435
Starwort,,,98,3457
llyyr,,,99,3463
James Sorenson,,,100,3465
