user,p1_position,p1_time,p2_position,p2_time
ostwilkens,1,10,2,145
max-sixty,2,30,81,307
Darragh Griffin,3,37,34,250
dtinth,4,64,25,236
5space,5,84,1,137
tckmn,6,95,3,154
ZED.Charley William Thairo,7,96,8,198
hyper-neutrino,8,98,30,242
Avarayr,9,102,,
boboquack,10,111,6,193
bluepichu,11,111,10,208
Martin Camacho,12,112,4,174
Oliver Ni,13,115,33,249
David Wahler,14,115,40,262
dan-simon,15,119,5,175
Larry,16,120,16,225
PoustouFlan,17,123,19,229
Evan Zhang,18,124,26,236
leijurv,19,127,9,205
bcc32,20,128,13,216
Tanner Hoke,21,128,,
Robert Xiao,22,129,28,240
betaveros,23,129,7,197
Carl Schildkraut,24,130,15,223
KevinL10,25,130,52,280
anonymous user #1510407,26,131,24,235
mserrano,27,133,37,255
Thomas Feld,28,133,,
Lewin Gan,29,133,20,229
anonymous user #2348523,30,134,11,210
hltk,31,134,47,275
LegionMammal978,32,134,99,323
Ryan Hitchman,33,137,76,300
Miriam Vellacott,34,138,32,247
zacharybarbanell,35,140,,
Nick Frost,36,141,,
kevinmchung,37,143,12,211
Ivan Galakhov,38,143,18,225
Kroppeb,39,144,21,230
Patrick Hogg,40,146,48,277
Zeyu Chen,41,146,31,247
Bradley He,42,147,,
thunder-red-star,43,148,,
mangoqwq,44,148,,
mdlu,45,149,29,241
anonymous user #44119,46,150,36,254
Erik Amirell Eklöf,47,151,,
Kevin Yap,48,151,49,279
Adavya Goyal,49,152,60,286
Verulean,50,152,57,284
Anish Singhani,51,152,27,236
D. Salgado,52,153,17,225
Lydxn,53,153,,
GregorKikelj,54,154,46,272
ruuddotorg,55,154,,
Defelo,56,157,42,264
Ethan C,57,159,84,312
rhendric,58,159,,
Javier Blazquez,59,159,,
cefqrn,60,160,39,261
nim-ka,61,160,,
Colter,62,160,93,319
Brandon Lin,63,161,78,305
Craig Gidney,64,161,56,283
Sunny Guan,65,161,73,299
Andrew X. ,66,162,75,300
Kami Leon,67,162,22,231
Gabriel Wu,68,164,43,264
Shakya Majumdar,69,164,,
Buck4437,70,164,96,321
nthistle,71,165,23,232
Zack Chroman,72,165,14,218
Ian DeHaan,73,167,51,280
Nathan Fenner,74,167,44,266
Cyprien Mangin,75,168,61,288
icicl,76,168,,
Neal Wu,77,168,38,257
xnkvbo,78,170,,
mrphlip,79,171,35,251
Vladislav Isenbaev,80,171,55,283
Maxwell Zen,81,171,,
mrkeldon,82,174,,
Max Murin,83,175,,
Tim Vermeulen,84,175,87,314
Jasper van Merle,85,176,80,306
Sean Yawning,86,177,,
WolfgangJacobson,87,177,,
Michael Goldwasser ,88,177,,
VJsong02,89,178,,
awychong,90,178,69,294
msullivan,91,178,83,311
Geronimo,92,179,79,306
Lief,93,179,,
LK,94,179,,
anonymous user #1565212,95,179,,
Jan Verbeek,96,181,65,291
MikeXander,97,181,,
Max Jäger ,98,182,,
Brian Bucklew,99,183,,
anominos,100,183,,
HiggstonRainbird,,,41,262
Xavier Cooney ,,,45,268
jonathanpaulson,,,50,280
Coby Tran,,,53,281
Oskar Haarklou Veileborg,,,54,282
paiv,,,58,285
connorjayr,,,59,285
Utkarsh Kukreti,,,62,290
qpwoeirut,,,63,290
4yn,,,64,290
Bennett Marsh,,,66,292
ggzor,,,67,292
LyricLy,,,68,293
William Y. Feng,,,70,295
Kye W. Shi,,,71,298
DY J (JDY),,,72,299
andersonw,,,74,300
Gorane7,,,77,301
Tis_awesomeness,,,82,307
Tris Emmy Wilson ,,,85,312
TimHuisman1703,,,86,313
rbuch,,,88,314
SizableShrimp,,,89,315
FillyAutomatic,,,90,316
Arrowbounce,,,91,316
chunkybanana,,,92,319
Bahnschrift,,,94,320
Daniel Tse,,,95,320
Toni Fadjukoff ,,,97,321
ganhongyao,,,98,322
Peter Dowdy,,,100,324
