user,p1_position,p1_time,p2_position,p2_time
Robert Xiao,1,466,16,2935
Neal Wu,2,490,32,3489
Ian DeHaan,3,593,,
Balint R,4,598,63,4070
jonathanpaulson,5,603,,
hyper-neutrino,6,615,,
Nathan Fenner,7,632,,
5space,8,633,3,2367
Kami Leon,9,636,,
Antonio Molina,10,650,9,2516
msullivan,11,665,,
leijurv,12,668,24,3209
Jared Hughes,13,670,,
David Wahler,14,687,80,4308
Tobias-Glimmerfors,15,715,31,3407
dtinth,16,731,50,3935
abailey2020,17,754,14,2884
seligman99,18,767,,
Gabriel Wu,19,771,,
anonymous user #1510407,20,775,11,2574
Patrick Hogg,21,788,12,2659
joefarebrother,22,791,,
LegionMammal978,23,802,59,4027
Tim Vermeulen,24,804,96,4437
nthistle,25,817,89,4397
Carl Schildkraut,26,819,85,4369
Jasper van Merle,27,827,83,4347
mrphlip,28,841,1,1556
alcatrazEscapee,29,844,,
PikMike,30,849,30,3392
anonymous user #44119,31,852,37,3628
Joshua Chen,32,864,,
mangoqwq,33,867,70,4182
andriigrynenko,34,869,,
Looking for blog readers!,35,871,,
mayoff,36,873,,
Hafnium780,37,878,,
Adib Surani,38,879,5,2455
Xavier Cooney ,39,880,,
Joel Jonsson,40,884,,
nmutalik,41,886,,
mrkeldon,42,892,,
Zack Lee,43,897,35,3566
asottile,44,899,,
anonymous user #194064,45,908,,
Michal Forišek,46,935,17,2950
glguy,47,940,,
Thomas Feld,48,942,10,2527
Josef Minařík,49,957,40,3733
Ethan,50,962,,
StarGazingHomies,51,967,,
zacharybarbanell,52,968,,
Arcwise,53,983,,
Samuel Huang,54,986,,
Lydxn,55,987,,
ruuddotorg,56,991,25,3284
tckmn,57,994,74,4197
Kirby703,58,996,,
Craig Gidney,59,1000,,
Gábor Ferenc Kovács,60,1001,,
Jan Verbeek,61,1005,,
llyyr,62,1008,,
vstrimaitis,63,1008,38,3696
tbodt,64,1017,,
Anish Singhani,65,1022,,
Karl Jiang,66,1030,21,3094
Sam Hindess,67,1031,,
Kroppeb,68,1032,,
Özgün Özusta,69,1034,81,4313
Maxwell Zen,70,1037,22,3106
Ivan Kazmenko,71,1046,45,3800
Toni Fadjukoff ,72,1050,,
Ryan Hitchman,73,1052,,
Vladislav Dunaev,74,1057,,
andy-k,75,1058,,
Roman Elizarov,76,1061,13,2850
thuustalu,77,1064,,
narpfel,78,1066,,
nim-ka,79,1075,,
kevinmchung,80,1076,,
anonymous user #637942,81,1083,4,2384
monkeynova,82,1090,,
wincss,83,1091,26,3295
Larry,84,1092,,
Jimmy Mårdell,85,1093,72,4186
Dylan Smith,86,1094,,
Timothy Mou,87,1098,,
Hyrum,88,1099,62,4065
dllu,89,1101,2,2351
Zach Farr,90,1102,,
Andrey Anurin ,91,1103,61,4047
Golovanov399,92,1111,,
Martin “Cifko” Štefček,93,1116,,
Chicken-Bones,94,1121,82,4323
eniraa,95,1122,,
coolcomputery,96,1123,48,3903
Ambrose Feinstein,97,1123,,
qpwoeirut,98,1124,,
Ivan Lyzhin,99,1136,,
anonymous user #657240,100,1144,,
Verulean,,,6,2474
Derek Liu,,,7,2480
Joseph Durie,,,8,2498
skaldskaparmal,,,15,2890
bluepichu,,,18,3038
F2 ,,,19,3083
Drew Boyuka,,,20,3087
Ilia Larchenko,,,23,3147
andrewcarlotti,,,27,3320
int-e,,,28,3335
Graham White,,,29,3351
Lawrence Kesteloot,,,33,3505
Paweł Kubiak,,,34,3539
evanphoward,,,36,3615
FillyAutomatic,,,39,3705
D. Salgado,,,41,3772
Blaž Peterlin ,,,42,3778
1234abcdcba4321,,,43,3783
Chris Battey,,,44,3799
gilgamec,,,46,3868
dan-simon,,,47,3890
n1punp,,,49,3923
Brandon Lin,,,51,3944
hakiobo,,,52,3947
boboquack,,,53,3947
TimHuisman1703,,,54,3965
Péter Gerencsér (gerpetya) ,,,55,3970
vash3r,,,56,3989
Doug Zongker,,,57,4000
electraminer,,,58,4004
Andrew,,,60,4039
Oliver Ni,,,64,4075
Herman,,,65,4098
sparkyb,,,66,4143
Simone Stefani,,,67,4158
Måns Magnusson,,,68,4159
Apollo,,,69,4165
Michael Broughton,,,71,4183
Schobers ,,,73,4195
Clancy Woodburn,,,75,4210
Abhi Tripathi,,,76,4227
cmears,,,77,4233
rhendric,,,78,4279
Evgeniy Krasko,,,79,4293
Paul Draper,,,84,4352
etotheipi1,,,86,4371
Valokoodari,,,87,4377
penteract,,,88,4384
David Whittaker ,,,90,4406
Bahnschrift,,,91,4408
Henrik Ygge,,,92,4419
Abhimanyu Rathore,,,93,4421
Ansab Gillani,,,94,4431
Jonathan Ho ,,,95,4431
Harsha Aduri,,,97,4439
Borichevskiy Kirill,,,98,4448
Jean-Noël Monette ,,,99,4460
mingmingrr,,,100,4471
