user,p1_position,p1_time,p2_position,p2_time
dtinth,1,39,1,68
lemonsoc,2,45,2,71
tckmn,3,57,4,74
Zack Lee,4,59,5,74
betaveros,5,60,3,73
Matthew Low,6,61,6,78
sumeet,7,63,,
Kevin Sheng,8,63,22,103
bjebert,9,65,7,79
Brandon Lin,10,65,8,83
Kirby703,11,67,,
Phillip Rossi,12,68,21,103
Martin Camacho,13,68,9,86
boboquack,14,68,12,90
Oskar Haarklou Veileborg,15,69,15,94
Joshua Chen,16,70,,
hyper-neutrino,17,70,10,88
Ian DeHaan,18,72,17,97
jonathanpaulson,19,74,24,106
leijurv,20,75,11,88
Kevin Yap,21,75,16,95
D. Salgado,22,76,13,92
clemdatacrunch,23,76,,
Anango Prabhat,24,80,14,93
Verulean,25,80,18,97
Jasper van Merle,26,80,23,105
Spyabo,27,81,,
Ryan Hitchman,28,81,,
Axel Brisse ,29,85,25,109
Larry,30,86,19,101
Rohin Garg,31,87,32,112
LyricLy,32,87,,
Søren Fuglede Jørgensen,33,88,,
Zeyu Chen,34,88,26,110
Sunny Guan,35,89,33,112
jebouin,36,91,29,110
connorjayr,37,91,30,110
Oof,38,92,,
Oliver Ni,39,92,20,102
KevinL10,40,92,,
Tanner Hoke,41,92,31,110
Henrik Lehtonen,42,92,53,125
Akimitsu Hogge,43,93,41,118
Paul Draper,44,94,40,118
Tim Vermeulen,45,94,28,110
Colter,46,95,80,137
The Friendly Enemy,47,95,27,110
Roman Chesnokov,48,95,,
RootCubed,49,95,69,133
A5rocks,50,96,38,116
Bahnschrift,51,96,57,127
Neal Wu,52,97,66,130
Willem Kaufmann,53,97,,
twright0,54,97,70,133
rhendric,55,97,56,127
tenth,56,99,37,114
Colton Pauderis,57,99,34,113
Paul McMullin,58,99,72,133
jputlock,59,99,97,144
Antonio Molina,60,100,39,117
Dylan Weber,61,100,,
Ivan Galakhov,62,101,,
UnrelatedString,63,101,48,122
nthistle,64,101,35,114
tluo5458,65,101,,
xnkvbo,66,102,44,119
Kami Leon,67,102,36,114
Timothy Mou,68,102,50,124
btrotta,69,102,,
jkseppan,70,103,65,130
Joseph Durie,71,103,,
Lewin Gan,72,103,43,119
bluepichu,73,104,47,121
hamzahasann,74,104,75,134
Aaron ,75,104,55,125
Miriam Vellacott,76,104,62,130
Sudo-Ivan,77,105,91,142
David Wahler,78,105,45,120
vtjeng,79,105,46,121
btnlq,80,106,78,137
nim-ka,81,106,42,118
lethan3,82,106,73,134
Cyprien Mangin,83,107,61,129
Craig Gidney,84,107,52,124
JulesD,85,107,58,128
Jau Tung Chan,86,107,,
Patrick Ammons ,87,108,74,134
jakzo,88,108,49,123
miriam-rittenberg,89,108,64,130
Gorane7,90,108,51,124
petertseng,91,109,81,138
Utkarsh Kukreti,92,109,,
Gabriel Wu,93,111,,
mserrano,94,111,54,125
Ritwin Narra,95,111,85,140
Lief,96,111,,
anonymous user #2375057,97,111,68,132
Waleed Khan,98,112,,
Erik Amirell Eklöf,99,112,,
jaeheonshim,100,112,,
anonymous user #1565212,,,59,128
Robert Xiao,,,60,129
kjsatz,,,63,130
AdamHe17 ,,,67,131
anonymous user #1510407,,,71,133
Carson Graham,,,76,136
whaatt,,,77,137
Pedro Osório,,,79,137
dan-simon,,,82,138
LegionMammal978,,,83,138
Ethan Tillison,,,84,139
Lionel Foxcroft,,,86,140
msullivan,,,87,141
Jimmy Chen,,,88,141
chrwoods,,,89,141
Anish Singhani,,,90,142
crazymerlyn,,,92,142
Kevin Wang,,,93,142
Nathan Fenner,,,94,143
Davis Yoshida,,,95,143
Joshua Dunbrack,,,96,143
Tristan Lee,,,98,145
Matt Gruskin ,,,99,145
Alex Wice,,,100,145
