user,p1_position,p1_time,p2_position,p2_time
hyper-neutrino,1,293,1,356
anonymous user #1510407,2,316,2,458
dan-simon,3,335,3,464
Nathan Fenner,4,373,5,504
mserrano,5,373,9,529
SeanRBurton,6,384,21,580
betaveros,7,389,4,486
tckmn,8,398,6,513
GregorKikelj,9,401,10,537
Maxwell Zen,10,405,14,549
bluepichu,11,406,47,714
evanphoward,12,420,8,524
D. Salgado,13,431,13,544
jonathanpaulson,14,431,17,563
Tim Vermeulen,15,434,69,770
leijurv,16,436,7,514
Craig Gidney,17,439,12,543
Epiphane,18,450,18,566
boboquack,19,454,24,613
Gorane7,20,455,11,543
Lydxn,21,462,33,645
nthistle,22,469,60,752
Noble Mushtak,23,472,,
Steve Newman,24,477,23,588
Vince7778,25,479,16,558
connorjayr,26,480,15,550
Thomas Neill,27,482,26,623
anonymous user #60233,28,486,19,569
oparkerj,29,487,,
Guillaume AMBAL,30,489,50,725
Antonio Molina,31,492,20,572
zacharybarbanell,32,492,35,657
dtinth,33,496,70,774
Erik Amirell Eklöf,34,496,29,630
Jeffzycode,35,498,25,623
Joseph Durie,36,502,,
Paul Draper,37,508,22,587
nim-ka,38,511,28,630
Jared Hughes,39,513,59,750
grhkm21,40,514,41,691
Alex Wice,41,527,32,640
RexBerry,42,531,30,632
Tanner Hoke,43,532,,
Patrick Hogg,44,534,45,711
Ian DeHaan,45,535,39,681
anonymous user #637942,46,541,62,757
Kirby703,47,543,57,744
John Kesler,48,545,,
VasilyDK,49,546,66,764
Sunny Guan,50,549,46,712
Max Murin,51,553,48,723
Andrey Anurin ,52,553,37,662
Arcwise,53,554,43,701
LegionMammal978,54,555,36,658
ZED.Charley William Thairo,55,559,55,738
PoustouFlan,56,564,38,673
Lewin Gan,57,566,31,638
Ryan Hitchman,58,566,58,747
Robert Xiao,59,570,27,626
Michal Forišek,60,573,40,682
PCSwingle,61,576,,
Markus Himmel,62,578,34,648
FillyAutomatic,63,578,49,724
mangoqwq,64,586,,
HertzDevil,65,586,99,833
JoeStrout,66,588,,
Colter,67,589,88,819
xnkvbo,68,590,,
Zack Lee,69,591,65,764
ruuddotorg,70,593,56,739
Nick Liu,71,595,44,708
Mercerenies,72,600,42,700
Anthony Li,73,602,92,824
drougge,74,603,51,725
aropan ,75,604,53,728
Jan Verbeek,76,606,64,761
JacksonDonaldson,77,606,,
SizableShrimp,78,607,93,824
Tris Emmy Wilson ,79,608,,
Danny Lin,80,611,73,779
Ivan Galakhov,81,611,,
JackMacWindows,82,612,72,776
Carl Schildkraut,83,613,,
Dylan Smith,84,614,54,737
Akimitsu Hogge,85,617,86,814
kevinmchung,86,617,,
whaatt,87,618,85,812
Max Jäger ,88,618,,
Prabowo Djonatan,89,620,,
Murray Edwards,90,620,,
TimHuisman1703,91,621,67,766
Tobias-Glimmerfors,92,622,71,775
Måns Magnusson,93,625,61,753
F2 ,94,626,90,823
iCalculated,95,627,,
Robert Pham,96,628,76,784
David Wahler,97,630,77,786
Ross Newman,98,632,84,811
Yiming Li,99,632,83,809
Jimmy Mårdell,100,633,52,728
petertseng,,,63,758
coolcomputery,,,68,768
Bradley He,,,74,780
PikMike,,,75,783
Kroppeb,,,78,794
It's a Shill,,,79,796
penteract,,,80,803
Oliver Ni,,,81,803
bcc32,,,82,803
MeepMoop,,,87,815
anonymous user #44119,,,89,819
andy-k,,,91,824
mrphlip,,,94,825
Utkarsh Kukreti,,,95,827
Ivan Kazmenko,,,96,828
Jonathan Wase,,,97,829
Kye W. Shi,,,98,831
Eldar Bogdanov,,,100,834
